run,basis,jaccard,binary_agreement,cohen_kappa
1,fused,0.6842105263157895,0.922077922077922,0.7635619242579325
2,fused,0.55,0.8831168831168831,0.6373626373626373
3,fused,0.5909090909090909,0.8831168831168831,0.6673067690830533
4,fused,0.6111111111111112,0.9090909090909091,0.7065868263473054
5,fused,0.7222222222222222,0.935064935064935,0.7985347985347986
1,raw,0.5238095238095238,0.8701298701298701,0.6091370558375635
2,raw,0.5,0.8571428571428571,0.5767116441779111
3,raw,0.4166666666666667,0.8181818181818182,0.4736328125
4,raw,0.55,0.8831168831168831,0.6388744137571651
5,raw,0.6842105263157895,0.922077922077922,0.7654822335025381
