model,basis,run_a,run_b,jaccard
deepseek,fused,1,2,1.0
deepseek,fused,1,3,0.9444444444444444
deepseek,fused,1,4,0.9444444444444444
deepseek,fused,1,5,1.0
deepseek,fused,2,3,0.9444444444444444
deepseek,fused,2,4,0.9444444444444444
deepseek,fused,2,5,1.0
deepseek,fused,3,4,0.8947368421052632
deepseek,fused,3,5,0.9444444444444444
deepseek,fused,4,5,0.9444444444444444
deepseek,raw,1,2,0.9473684210526315
deepseek,raw,1,3,0.9
deepseek,raw,1,4,0.9473684210526315
deepseek,raw,1,5,0.9
deepseek,raw,2,3,0.9473684210526315
deepseek,raw,2,4,1.0
deepseek,raw,2,5,0.9473684210526315
deepseek,raw,3,4,0.9473684210526315
deepseek,raw,3,5,0.9
deepseek,raw,4,5,0.9473684210526315
kimi,fused,1,2,0.7058823529411765
kimi,fused,1,3,0.6842105263157895
kimi,fused,1,4,0.625
kimi,fused,1,5,0.8125
kimi,fused,2,3,0.8235294117647058
kimi,fused,2,4,0.6666666666666666
kimi,fused,2,5,0.6470588235294118
kimi,fused,3,4,0.5555555555555556
kimi,fused,3,5,0.631578947368421
kimi,fused,4,5,0.6666666666666666
kimi,raw,1,2,0.6470588235294118
kimi,raw,1,3,0.5555555555555556
kimi,raw,1,4,0.5294117647058824
kimi,raw,1,5,0.7333333333333333
kimi,raw,2,3,0.5789473684210527
kimi,raw,2,4,0.47368421052631576
kimi,raw,2,5,0.5555555555555556
kimi,raw,3,4,0.4
kimi,raw,3,5,0.47368421052631576
kimi,raw,4,5,0.625
