patent_number,topic,topic_label,app_year,country_code
WO2026151412A1,68,T68,2025,Other
CN122353527A,-1,Noise,2026,CN
CN122353549A,9,T9,2026,CN
CN122353550A,12,T12,2026,CN
CN122353572A,32,T32,2026,CN
CN122353585A,1,T1,2026,CN
CN122353628A,-1,Noise,2026,CN
CN122353641A,-1,Noise,2025,CN
CN122353665A,-1,Noise,2026,CN
CN122354669A,9,T9,2026,CN
CN122360416A,7,T7,2026,CN
CN122362891A,5,T5,2026,CN
CN122362977A,1,T1,2026,CN
CN122363235A,17,T17,2026,CN
CN122363238A,27,T27,2026,CN
CN122363295A,3,T3,2026,CN
CN122369453A,2,T2,2026,CN
CN224476207U,9,T9,2025,CN
CN224476993U,-1,Noise,2025,CN
CN224476994U,-1,Noise,2025,CN
CN224481552U,0,T0,2025,CN
IN202641082192A,65,T65,2026,IN
JP2026116655A,18,T18,2025,JP
CN121209388B,6,T6,2025,CN
CN121223770B,-1,Noise,2025,CN
CN121477955B,-1,Noise,2025,CN
CN122069115B,17,T17,2026,CN
CN122125731B,1,T1,2026,CN
CN122154749B,-1,Noise,2026,CN
CN122342909A,52,T52,2026,CN
CN122343385A,36,T36,2026,CN
CN122343440A,-1,Noise,2026,CN
CN122343461A,57,T57,2026,CN
CN122343466A,-1,Noise,2026,CN
CN122343484A,-1,Noise,2025,CN
CN122343485A,-1,Noise,2025,CN
CN122346125A,52,T52,2026,CN
CN122346163A,33,T33,2026,CN
CN122349000A,-1,Noise,2026,CN
CN224464722U,-1,Noise,2025,CN
CN224465593U,-1,Noise,2025,CN
CN117565998B,30,T30,2023,CN
CN121232883B,73,T73,2025,CN
CN121374700B,12,T12,2025,CN
CN121782237B,16,T16,2025,CN
CN121782939B,52,T52,2026,CN
CN121977581B,-1,Noise,2026,CN
CN122323097A,13,T13,2026,CN
CN122323140A,-1,Noise,2026,CN
CN122323197A,-1,Noise,2026,CN
CN122323205A,5,T5,2026,CN
CN122323265A,12,T12,2026,CN
CN122324149A,0,T0,2026,CN
CN122324154A,-1,Noise,2026,CN
CN122327614A,30,T30,2026,CN
CN122331290A,3,T3,2026,CN
CN122331468A,10,T10,2026,CN
CN122331584A,3,T3,2026,CN
CN122333824A,-1,Noise,2026,CN
CN122336465A,17,T17,2026,CN
CN122340352A,-1,Noise,2025,CN
CN224446014U,12,T12,2025,CN
CN224446030U,12,T12,2025,CN
CN224447959U,0,T0,2025,CN
CN224447969U,9,T9,2025,CN
IN202621048411A,21,T21,2026,IN
DE102025144738A1,2,T2,2025,DE
US20260186494A1,-1,Noise,2022,US
US20260186507A1,56,T56,2026,US
CN119260728B,5,T5,2024,CN
CN120763686B,47,T47,2025,CN
CN121093995B,2,T2,2025,CN
CN121132640B,32,T32,2025,CN
CN121143009B,3,T3,2025,CN
CN121391718B,10,T10,2025,CN
CN121552375B,17,T17,2025,CN
CN121670746B,16,T16,2025,CN
CN121934612B,3,T3,2026,CN
CN121977565B,-1,Noise,2026,CN
CN122018332B,6,T6,2026,CN
CN122299574A,3,T3,2026,CN
CN122299623A,38,T38,2026,CN
CN122299633A,-1,Noise,2026,CN
CN122299638A,10,T10,2026,CN
CN122299643A,10,T10,2026,CN
CN122299648A,5,T5,2026,CN
CN122299660A,5,T5,2026,CN
CN122299681A,10,T10,2026,CN
CN122299728A,-1,Noise,2026,CN
CN122299733A,16,T16,2026,CN
CN122303459A,-1,Noise,2026,CN
CN122308221A,6,T6,2026,CN
CN122308353A,15,T15,2026,CN
CN122308377A,6,T6,2026,CN
CN122308621A,32,T32,2026,CN
CN122309520A,21,T21,2026,CN
CN122311848A,30,T30,2026,CN
CN122312338A,17,T17,2026,CN
CN122312944A,33,T33,2026,CN
CN122315225A,-1,Noise,2026,CN
CN224425616U,9,T9,2025,CN
