bertopic_id,bertopic_name,safety_score,safety_category,decay_probability,trend_direction,current_state_name,lifecycle_stage,tmi,fit_reliable,bertopic_count,dim_safety,dim_temporal_decay,dim_lifecycle_risk,cascade_score,risk_level
0,0_leg_end_wheel_connected,2,stability_balance,0.01,growing,mature,mature,0.2149,True,431,0.4,0.01,0.35,0.013999999999999999,LOW
1,1_humanoid robot_humanoid_joint_robot,2,safe_control,0.01,growing,mature,mature,0.3193,True,185,0.4,0.01,0.35,0.013999999999999999,LOW
2,2_voice_user_emotion_expression,0,not_safety,0.01,growing,mature,mature,0.3068,True,182,0.0,0.01,0.35,0.0,NON_SAFETY
3,3_foot_robot_foot robot_leg,2,stability_balance,0.01,mature,mature,growing,0.1452,True,117,0.4,0.01,0.1,0.004,LOW
4,4_finger_thumb_palm_knuckle,0,not_safety,0.01,growing,mature,mature,0.428,True,127,0.0,0.01,0.35,0.0,NON_SAFETY
5,5_learning_training_strategy_network,1,not_safety,0.01,growing,mature,growing,0.1497,True,51,0.2,0.01,0.1,0.002,NON_SAFETY
6,6_network_learning_foot_strategy,0,not_safety,0.01,mature,mature,growing,0.0,True,72,0.0,0.01,0.1,0.0,NON_SAFETY
7,7_vehicle_lane_driving_lane changing,2,collision_protection,0.24999999998845923,declining,declining,mature,0.0238,True,99,0.4,0.24999999998845923,0.35,0.3499999999838429,HIGH
8,8_patient_medical_device_user,1,fault_detection,0.01,mature,mature,mature,0.2273,True,111,0.2,0.01,0.35,0.006999999999999999,NON_SAFETY
9,9_hip_thigh_joint_second,0,not_safety,0.01,growing,mature,growing,0.1341,True,72,0.0,0.01,0.1,0.0,NON_SAFETY
10,10_grabbing_hand_task_humanoid,0,not_safety,0.01,mature,mature,growing,0.1596,True,56,0.0,0.01,0.1,0.0,NON_SAFETY
11,11_toy_left_doll_game,0,not_safety,0.01,growing,growing,saturated,0.3085,True,80,0.0,0.01,0.6,0.0,NON_SAFETY
12,12_bearing_shaft_motor_output,2,fail_safe_emergency,0.01,growing,mature,saturated,0.2553,True,36,0.4,0.01,0.6,0.024,MEDIUM
13,13_connecting_shell_piece_second,0,not_safety,0.01,growing,mature,growing,0.179,True,60,0.0,0.01,0.1,0.0,NON_SAFETY
14,14_training_target_target body_plate,0,not_safety,0.01,mature,mature,mature,0.2349,True,86,0.0,0.01,0.35,0.0,NON_SAFETY
15,15_point_point cloud_cloud_map,2,safe_control,0.01,mature,mature,growing,0.0683,True,49,0.4,0.01,0.1,0.004,LOW
16,16_test_testing_plate_device,1,stability_balance,0.01,growing,growing,growing,0.1469,True,51,0.2,0.01,0.1,0.002,NON_SAFETY
17,17_data_task_semantic_humanoid robot,0,not_safety,0.01,growing,mature,mature,0.2584,True,22,0.0,0.01,0.35,0.0,NON_SAFETY
18,18_plate_bridge_ladder_rod,1,stability_balance,0.01,growing,growing,saturated,0.0,True,73,0.2,0.01,0.6,0.012,NON_SAFETY
19,19_joint_wrist_connecting_knee joint,0,not_safety,0.01,mature,mature,growing,0.2219,True,51,0.0,0.01,0.1,0.0,NON_SAFETY
20,20_layer_skin_textile_bionic,0,not_safety,0.01,growing,mature,mature,0.3072,True,48,0.0,0.01,0.35,0.0,NON_SAFETY
21,21_decision_semantic information_semantic_information,0,not_safety,0.01,mature,mature,growing,0.136,True,41,0.0,0.01,0.1,0.0,NON_SAFETY
22,22_force_external force_human robot_robot,5,collision_protection,0.01,growing,growing,saturated,0.3241,True,45,1.0,0.01,0.6,0.06,MEDIUM
23,23_image_vehicle_images_camera,0,not_safety,0.01,mature,mature,mature,0.4398,True,63,0.0,0.01,0.35,0.0,NON_SAFETY
24,24_massage_mi_bed_mi mi,0,not_safety,0.0,declining,declining,mature,0.2053,True,64,0.0,0.0,0.35,0.0,NON_SAFETY
25,25_industrial robot_industrial_tool_work,4,risk_assessment,0.700000000011626,declining,declining,declining,0.0,True,37,0.8,0.700000000011626,1.0,5.600000000093008,HIGH
26,26_face_image_video_frame,0,not_safety,2.8742270657752435e-54,declining,declining,growing,0.2179,True,48,0.0,2.8742270657752435e-54,0.1,0.0,NON_SAFETY
27,27_path_navigation_obstacle_point,3,safe_control,0.01,growing,mature,mature,0.0714,True,25,0.6,0.01,0.35,0.020999999999999998,MEDIUM
28,28_tobacco_robotic_operation_shelf,2,safe_control,0.01,growing,mature,growing,0.1598,True,29,0.4,0.01,0.1,0.004,LOW
29,29_module_intelligent_service_display,3,collision_protection,1.0592781966453525e-40,declining,declining,mature,0.2212,True,51,0.6,1.0592781966453525e-40,0.35,2.22448421295524e-40,LOW
30,30_inspection_detection_disease_tunnel,1,thermal_management,0.01,mature,mature,growing,0.0,True,33,0.2,0.01,0.1,0.002,NON_SAFETY
31,31_lamp_light_display_led,0,not_safety,0.01,nascent,nascent,mature,0.2635,True,54,0.0,0.01,0.35,0.0,NON_SAFETY
32,32_action_data_sequence_motion,2,safe_control,0.01,growing,mature,growing,0.2341,True,11,0.4,0.01,0.1,0.004,LOW
33,33_path_grid_map_point,2,collision_protection,0.01,growing,mature,growing,0.0,True,22,0.4,0.01,0.1,0.004,LOW
34,34_commands_position sensor_position velocity_velocity,0,not_safety,0.01,growing,growing,declining,0.0,True,8,0.0,0.01,1.0,0.0,NON_SAFETY
35,35_image_chess_point cloud_cloud,0,not_safety,0.01,growing,mature,growing,0.1235,True,22,0.0,0.01,0.1,0.0,NON_SAFETY
36,36_welding_welding robot_straightening_mechanical,0,not_safety,0.01,growing,mature,growing,0.0937,True,25,0.0,0.01,0.1,0.0,NON_SAFETY
37,37_foot_sole_heel_arch,2,stability_balance,0.01,mature,mature,growing,0.2115,True,23,0.4,0.01,0.1,0.004,LOW
38,38_control_robot_core_nios,0,not_safety,0.01,mature,mature,growing,0.1739,True,26,0.0,0.01,0.1,0.0,NON_SAFETY
39,39_picking_mechanism_device_cake,0,not_safety,0.01,growing,growing,saturated,0.0,True,36,0.0,0.01,0.6,0.0,NON_SAFETY
40,40_wheel_leg_wheel leg_wheel legged,3,stability_balance,0.3333333333333333,declining,declining,mature,0.0449,True,24,0.6,0.3333333333333333,0.35,0.7,HIGH
41,41_image_detection_human_human shape,0,not_safety,0.01,growing,growing,mature,0.032,True,29,0.0,0.01,0.35,0.0,NON_SAFETY
42,42_service_user_information_module,0,not_safety,0.01,growing,mature,saturated,0.0,True,33,0.0,0.01,0.6,0.0,NON_SAFETY
43,43_monitoring_image_camera_area,1,thermal_management,0.01,growing,mature,growing,0.2085,True,31,0.2,0.01,0.1,0.002,NON_SAFETY
44,44_control_module_communication_humanoid robot,1,fail_safe_emergency,0.01,growing,mature,saturated,0.5117,True,21,0.2,0.01,0.6,0.012,NON_SAFETY
45,45_legged robot_legged_desired trajectory_trajectory,0,not_safety,0.9333333333320998,declining,declining,growing,0.0625,True,18,0.0,0.9333333333320998,0.1,0.0,NON_SAFETY
46,46_module_signal_household_internet things,0,not_safety,0.01,nascent,nascent,mature,0.3149,True,34,0.0,0.01,0.35,0.0,NON_SAFETY
47,47_fault_health_state_data,4,fault_detection,0.01,growing,growing,growing,0.2912,True,14,0.8,0.01,0.1,0.008,LOW
48,48_rehabilitation_exoskeleton_training_module,0,not_safety,0.01,growing,growing,growing,0.2028,True,20,0.0,0.01,0.1,0.0,NON_SAFETY
49,49_circuit_power_battery_supply,0,not_safety,0.01,growing,growing,saturated,0.0817,True,18,0.0,0.01,0.6,0.0,NON_SAFETY
50,50_image_detection_monitoring_human,0,not_safety,0.01,mature,mature,mature,0.0012,True,28,0.0,0.01,0.35,0.0,NON_SAFETY
51,51_pedestrian_video_target_image,0,not_safety,0.01,growing,mature,saturated,0.0,True,26,0.0,0.01,0.6,0.0,NON_SAFETY
52,52_dog_robot dog_box_shaped cover,1,stability_balance,0.01,growing,mature,growing,0.0,True,20,0.2,0.01,0.1,0.002,NON_SAFETY
53,53_image_detection_human_target,1,stability_balance,0.9230769230766458,declining,declining,mature,0.0,True,28,0.2,0.9230769230766458,0.35,0.646153846153652,NON_SAFETY
54,54_unmanned_aerial_unmanned aerial_unmanned boat,0,not_safety,0.01,mature,mature,mature,0.2454,True,27,0.0,0.01,0.35,0.0,NON_SAFETY
55,55_respective object_respective_self location_object,0,not_safety,0.01,growing,growing,declining,0.0,True,8,0.0,0.01,1.0,0.0,NON_SAFETY
