bertopic_id,bertopic_name,n_years_active,hmm_fitted,current_state,current_state_name,decay_probability,trend_direction,viterbi_path,hmm_score
0,0_leg_end_wheel_connected,17,True,3,mature,0.01,growing,"0,0,0,0,0,0,0,2,1,2,1,2,3,3,3,2,3,3",1.739601657521166
1,1_humanoid robot_humanoid_joint_robot,19,True,3,mature,0.01,growing,"1,2,2,2,1,2,2,2,2,2,2,3,3,2,3,3,2,3,3",0.9618616414612655
2,2_voice_user_emotion_expression,19,True,3,mature,0.01,growing,"0,0,0,0,0,0,2,0,2,1,2,3,2,2,1,2,1,2,3",1.558157661921957
3,3_foot_robot_foot robot_leg,15,True,3,mature,0.01,mature,"1,1,1,1,1,2,2,2,2,0,3,3,3,3,3",1.7533250560880107
4,4_finger_thumb_palm_knuckle,19,True,3,mature,0.01,growing,"1,0,2,0,3,2,1,0,2,3,2,1,2,3,3,2,1,0,3",0.8810276836223846
5,5_learning_training_strategy_network,12,True,3,mature,0.01,growing,"2,0,0,0,0,0,0,0,0,1,2,2,1,2,3,1,2,3,3",1.6903230292972165
6,6_network_learning_foot_strategy,7,True,3,mature,0.01,mature,"1,2,1,2,2,3,2,3",0.9429061312309753
7,7_vehicle_lane_driving_lane changing,12,True,4,declining,0.24999999998845923,declining,"2,2,2,2,2,2,2,2,2,4,4,1,4,3,4,3,3,4",1.7364859454055874
8,8_patient_medical_device_user,16,True,3,mature,0.01,mature,"1,2,0,1,2,0,1,2,0,1,2,2,2,2,3,3,3,3,3",1.118079849929162
9,9_hip_thigh_joint_second,12,True,3,mature,0.01,growing,"0,0,0,0,0,1,2,2,2,2,3,0,1,2,2,3",1.166699202835901
10,10_grabbing_hand_task_humanoid,13,True,3,mature,0.01,mature,"1,1,2,0,0,0,0,0,1,3,1,2,3,1,3,2,3,2,3",0.7435747118898243
11,11_toy_left_doll_game,19,True,2,growing,0.01,growing,"0,2,1,0,2,1,0,2,1,0,2,1,2,3,1,2,1,0,2",-0.08578629818553776
12,12_bearing_shaft_motor_output,12,True,3,mature,0.01,growing,"1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,3,3",1.5292967262492114
13,13_connecting_shell_piece_second,11,True,3,mature,0.01,growing,"2,2,2,2,3,2,2,3,2,2,3,2,2,3",0.009417921419972398
14,14_training_target_target body_plate,15,True,3,mature,0.01,mature,"2,2,2,2,1,2,2,2,3,2,3,2,1,3,3,2,3",1.5246744411224589
15,15_point_point cloud_cloud_map,11,True,3,mature,0.01,mature,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3",2.268051987355128
16,16_test_testing_plate_device,12,True,2,growing,0.01,growing,"2,2,2,2,2,2,2,2,2,2,2,2,3,2",1.8672494557967585
17,17_data_task_semantic_humanoid robot,9,True,3,mature,0.01,growing,"2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3",1.6300503661531185
18,18_plate_bridge_ladder_rod,15,True,2,growing,0.01,growing,"1,1,1,1,1,1,1,1,2,2,3,3,3,3,2,2,2,1,2",1.6806644082310451
19,19_joint_wrist_connecting_knee joint,14,True,3,mature,0.01,mature,"1,0,0,0,0,0,0,0,2,2,0,2,1,3,3,3,3",1.400848515129416
20,20_layer_skin_textile_bionic,15,True,3,mature,0.01,growing,"2,0,1,2,0,1,2,0,3,3,1,2,0,2,3,3",0.9625283173130242
21,21_decision_semantic information_semantic_information,12,True,3,mature,0.01,mature,"2,1,2,1,3,2,1,2,1,3,2,3,2,3,2,3",0.8665181880947082
22,22_force_external force_human robot_robot,15,True,2,growing,0.01,growing,"2,2,2,2,2,2,2,2,3,2,3,2,3,2,3,2,3,2",1.1028261767383847
23,23_image_vehicle_images_camera,15,True,3,mature,0.01,mature,"1,3,2,3,1,2,1,2,1,2,1,3,3,2,3",1.0546192686235887
24,24_massage_mi_bed_mi mi,16,True,4,declining,0.0,declining,"0,0,0,0,0,0,0,1,4,1,4,2,1,3,2,3,2,1,4",1.655028818797192
25,25_industrial robot_industrial_tool_work,14,True,4,declining,0.700000000011626,declining,"4,4,4,4,4,3,2,3,4,3,4,4,4,4,2,3,4",1.7593309008854128
26,26_face_image_video_frame,13,True,4,declining,2.8742270657752435e-54,declining,"3,2,4,0,4,0,4,0,4,2,4,2,3,2,4",0.6065873893370815
27,27_path_navigation_obstacle_point,9,True,3,mature,0.01,growing,"2,0,1,2,0,3,2,3,2,2,3",1.5096733198911814
28,28_tobacco_robotic_operation_shelf,10,True,3,mature,0.01,growing,"1,2,2,1,2,2,1,2,2,3,2,3,3",0.19492018884509849
