bertopic_id,bertopic_name,n_years_active,hmm_fitted,current_state,current_state_name,decay_probability,trend_direction,viterbi_path,hmm_score
0,0_leg_end_wheel_connected,19,True,4,declining,5.0583007775951016e-15,declining,"1,1,1,1,1,1,1,4,2,4,2,4,2,3,2,4,2,3,2,4",1.0103545644017693
1,1_humanoid robot_humanoid_joint_robot,21,True,3,mature,0.01,mature,"0,0,0,0,0,0,2,0,2,1,2,3,3,2,3,3,1,2,3,3,3",1.6634557044734648
2,2_voice_user_emotion_expression,21,True,2,growing,0.01,growing,"0,0,0,0,0,0,2,0,2,1,2,3,2,2,1,2,2,1,2,3,2",1.7045083851040854
3,3_foot_robot_foot robot_leg,17,True,3,mature,0.01,growing,"0,0,0,0,0,2,1,2,3,0,2,1,2,3,1,2,3",0.05981484147000374
4,4_finger_thumb_palm_knuckle,21,True,4,declining,7.696974880029628e-148,declining,"1,2,3,2,3,2,4,1,2,3,2,3,2,3,3,2,3,2,3,2,4",-0.5443596236478597
5,5_learning_training_strategy_network,14,True,3,mature,0.01,mature,"0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,1,2,2,3,3,3",1.4333473657427922
6,6_network_learning_foot_strategy,9,True,3,mature,0.01,mature,"1,2,0,1,2,3,2,3,2,3",-0.1447358571852894
7,7_vehicle_lane_driving_lane changing,14,True,4,declining,0.9090914354845782,declining,"4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,3,2,3,4",1.5584937830254446
8,8_patient_medical_device_user,18,True,4,declining,0.0,declining,"1,1,1,1,1,1,1,1,1,1,2,4,2,4,3,3,3,3,3,3,4",1.949725570793464
9,9_hip_thigh_joint_second,14,True,3,mature,0.01,mature,"0,0,0,0,0,0,0,1,2,2,3,0,1,2,2,3,2,3",1.3455956392732942
10,10_grabbing_hand_task_humanoid,15,True,3,mature,0.01,mature,"0,0,0,0,0,0,0,0,1,2,1,2,3,2,3,2,3,2,3,2,3",0.8415956020817874
11,11_toy_left_doll_game,20,True,4,declining,2.569987137274221e-130,declining,"4,2,3,4,2,2,4,2,2,4,2,3,1,3,1,1,2,4,2,2,4",0.38610476787676296
12,12_bearing_shaft_motor_output,14,True,3,mature,0.01,mature,"2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,3,3,3",1.4894393615783896
13,13_connecting_shell_piece_second,13,True,3,mature,0.01,mature,"1,0,1,0,2,1,0,2,1,0,2,1,0,3,3,3",0.7756527884616092
14,14_training_target_target body_plate,16,True,4,declining,0.5713809880784972,declining,"4,4,4,2,4,4,2,2,3,2,3,2,4,2,3,2,3,4,4",0.9687625292451191
15,15_point_point cloud_cloud_map,13,True,3,mature,0.01,mature,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3",2.1665302410028575
16,16_test_testing_plate_device,14,True,3,mature,0.01,mature,"2,2,1,2,2,1,2,2,1,2,2,3,3,3,3,3",1.279409009100413
17,17_data_task_semantic_humanoid robot,11,True,3,mature,0.01,mature,"2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3",1.8729185527077021
18,18_plate_bridge_ladder_rod,16,True,4,declining,0.7777959378009404,declining,"4,4,4,4,4,4,4,4,2,2,3,3,3,3,2,2,2,4,2,2,4",1.23564958030035
19,19_joint_wrist_connecting_knee joint,16,True,3,mature,0.01,growing,"2,0,0,0,0,0,0,0,2,1,0,2,0,2,1,3,2,3,3",1.5798219665400477
20,20_layer_skin_textile_bionic,17,True,3,mature,0.01,mature,"1,1,1,1,1,1,1,1,3,3,1,2,0,2,3,3,3,3",1.750709156198675
21,21_decision_semantic information_semantic_information,14,True,3,mature,0.01,mature,"0,0,0,0,0,0,0,0,1,2,2,2,2,3,2,3,2,3",1.2465758560771112
22,22_force_external force_human robot_robot,17,True,4,declining,0.8000000000021171,declining,"4,4,4,4,4,4,4,4,3,3,2,3,2,4,3,3,3,2,4,4",1.8406051106599335
23,23_image_vehicle_images_camera,16,True,4,declining,0.21917738415090687,declining,"2,3,2,3,4,1,2,4,1,2,4,3,3,2,3,4,4",1.187064209785843
24,24_massage_mi_bed_mi mi,18,True,4,declining,0.6363636363616778,declining,"4,4,4,4,4,4,4,4,2,4,2,2,4,3,2,3,2,4,2,2,4",1.6886261340617654
25,25_industrial robot_industrial_tool_work,15,True,2,growing,0.01,growing,"2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,3,2,2,2",1.8694887654379462
26,26_face_image_video_frame,15,True,2,growing,0.01,growing,"3,2,1,1,1,1,1,1,1,2,2,3,3,2,2,3,2",1.4487697977546288
27,27_path_navigation_obstacle_point,11,True,3,mature,0.01,mature,"1,2,0,1,2,2,1,2,2,2,3,3,3",0.8903058338515457
28,28_tobacco_robotic_operation_shelf,12,True,4,declining,1.5568876512848212e-34,declining,"1,2,0,1,2,4,0,1,2,4,0,3,4,3,4",0.2950266645962862
29,29_module_intelligent_service_display,15,True,4,declining,2.393872018177671e-29,declining,"4,2,0,4,2,0,4,2,2,4,2,2,4,2,2,3,2,4,2,2,4",0.42377573614754654
30,30_inspection_detection_disease_tunnel,11,True,3,mature,0.01,mature,"1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3",1.9353630146067258
31,31_lamp_light_display_led,16,True,0,nascent,0.01,nascent,"0,1,0,1,2,0,1,3,2,3,2,3,2,1,3,0,1,0",0.37132315452918063
32,32_action_data_sequence_motion,7,True,3,mature,0.01,growing,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3",2.1426075860974194
33,33_path_grid_map_point,9,True,3,mature,0.01,growing,"0,0,0,0,1,2,2,2,2,3,3",1.494201997534106
34,34_commands_position sensor_position velocity_velocity,4,True,2,growing,0.01,growing,"2,3,2,2,2,2,2,2,2,2,2,2,2",2.398140713186447
