family_doc_id,简单同族ID,Publication No,Application Date,application_date,source_row,topic,app_year
0,CN202610759692.020260529,CN122353527A,2026-05-29,2026-05-29,1,-1,2026
1,CN202610816025.120260608,CN122353549A,2026-06-08,2026-06-08,2,9,2026
2,CN202610821095.620260609,CN122353550A,2026-06-09,2026-06-09,3,12,2026
3,CN202610460778.320260409,CN122353572A,2026-04-09,2026-04-09,4,32,2026
4,CN202610555860.420260424,CN122353585A,2026-04-24,2026-04-24,5,1,2026
5,CN202610818543.720260608,CN122353628A,2026-06-08,2026-06-08,6,-1,2026
6,CN202510063771.320250115,CN122353641A,2025-01-15,2025-01-15,7,-1,2025
7,CN202610639550.020260511,CN122353665A,2026-05-11,2026-05-11,8,-1,2026
8,CN202610596679.820260430,CN122354669A,2026-04-30,2026-04-30,9,9,2026
9,CN202610419661.020260401,CN122360416A,2026-04-01,2026-04-01,10,7,2026
10,CN202610807252.820260605,CN122362891A,2026-06-05,2026-06-05,11,5,2026
11,CN202610393094.620260327,CN122362977A,2026-03-27,2026-03-27,12,1,2026
12,CN202610647064.320260512,CN122363235A,2026-05-12,2026-05-12,13,17,2026
13,CN202610672260.620260515,CN122363238A,2026-05-15,2026-05-15,14,27,2026
14,CN202610437642.020260403,CN122363295A,2026-04-03,2026-04-03,15,3,2026
15,CN202610829251.320260610,CN122369453A,2026-06-10,2026-06-10,16,2,2026
16,CN202521234480.820250616,CN224476207U,2025-06-16,2025-06-16,17,9,2025
17,CN202521280011.X20250620,CN224476993U,2025-06-20,2025-06-20,18,-1,2025
18,CN202521280021.320250620,CN224476994U,2025-06-20,2025-06-20,19,-1,2025
19,CN202521277179.520250620,CN224481552U,2025-06-20,2025-06-20,20,0,2025
20,420230457,IN202641082192A,2026-07-03,2026-07-03,21,65,2026
21,400737580,JP2026116655A,2025-05-12,2025-05-12,22,18,2025
22,411858816,CN121209388B,2025-11-26,2025-11-26,23,6,2025
23,411719671,CN121223770B,2025-09-25,2025-09-25,24,-1,2025
24,413529534,CN121477955B,2025-11-25,2025-11-25,25,-1,2025
25,417843274,CN122069115B,2026-04-20,2026-04-20,26,17,2026
26,418428328,CN122125731B,2026-05-08,2026-05-08,27,1,2026
27,418607657,CN122154749B,2026-04-30,2026-04-30,28,-1,2026
28,420019807,CN122342909A,2026-04-16,2026-04-16,29,52,2026
29,420024381,CN122343385A,2026-06-08,2026-06-08,30,36,2026
30,420026665,CN122343440A,2026-04-13,2026-04-13,31,-1,2026
31,420024615,CN122343461A,2026-05-28,2026-05-28,32,57,2026
32,420024806,CN122343466A,2026-05-19,2026-05-19,33,-1,2026
33,420025619,CN122343484A,2025-01-06,2025-01-06,34,-1,2025
34,420025654,CN122343485A,2025-01-06,2025-01-06,35,-1,2025
35,420068189,CN122346125A,2026-03-27,2026-03-27,36,52,2026
36,420071464,CN122346163A,2026-06-05,2026-06-05,37,33,2026
37,420067780,CN122349000A,2026-04-16,2026-04-16,38,-1,2026
38,420015611,CN224464722U,2025-08-05,2025-08-05,39,-1,2025
39,420027270,CN224465593U,2025-07-17,2025-07-17,40,-1,2025
40,382073692,CN117565998B,2023-12-09,2023-12-09,41,30,2023
41,411747073,CN121232883B,2025-10-09,2025-10-09,42,73,2025
42,412899210,CN121374700B,2025-10-24,2025-10-24,43,12,2025
43,415901888,CN121782237B,2025-12-31,2025-12-31,44,16,2025
44,415913776,CN121782939B,2026-02-24,2026-02-24,45,52,2026
45,417266909,CN121977581B,2026-04-07,2026-04-07,46,-1,2026
46,419865031,CN122323097A,2026-03-06,2026-03-06,47,13,2026
47,419868148,CN122323140A,2026-03-17,2026-03-17,48,-1,2026
48,419866901,CN122323197A,2026-05-19,2026-05-19,49,-1,2026
49,419867419,CN122323205A,2026-05-28,2026-05-28,50,5,2026
50,419871309,CN122323265A,2026-05-19,2026-05-19,51,12,2026
51,419887793,CN122324149A,2026-06-05,2026-06-05,52,0,2026
52,419888070,CN122324154A,2026-04-13,2026-04-13,53,-1,2026
53,419852315,CN122327614A,2026-03-27,2026-03-27,54,30,2026
54,419925128,CN122331290A,2026-04-16,2026-04-16,55,3,2026
55,419927625,CN122331468A,2026-04-08,2026-04-08,56,10,2026
56,419930829,CN122331584A,2026-04-16,2026-04-16,57,3,2026
57,419853556,CN122333824A,2026-06-04,2026-06-04,58,-1,2026
58,419911807,CN122336465A,2026-04-08,2026-04-08,59,17,2026
59,419863032,CN122340352A,2025-01-02,2025-01-02,60,-1,2025
60,419903668,CN224446014U,2025-08-07,2025-08-07,61,12,2025
61,419904672,CN224446030U,2025-07-15,2025-07-15,62,12,2025
62,419939533,CN224447959U,2025-07-25,2025-07-25,63,0,2025
63,419940152,CN224447969U,2025-09-22,2025-09-22,64,9,2025
64,419981574,IN202621048411A,2026-04-16,2026-04-16,65,21,2026
65,419816289,DE102025144738A1,2025-10-31,2025-10-31,66,2,2025
66,387484395,US20260186494A1,2022-12-05,2022-12-05,67,-1,2022
67,419805569,US20260186507A1,2026-02-20,2026-02-20,68,56,2026
68,396983257,CN119260728B,2024-11-11,2024-11-11,69,5,2024
69,408408986,CN120763686B,2025-06-13,2025-06-13,70,47,2025
70,410910415,CN121093995B,2025-08-28,2025-08-28,71,2,2025
71,411172959,CN121132640B,2025-09-04,2025-09-04,72,32,2025
72,411172140,CN121143009B,2025-09-26,2025-09-26,73,3,2025
73,412888542,CN121391718B,2025-09-17,2025-09-17,74,10,2025
74,414200265,CN121552375B,2025-12-30,2025-12-30,75,17,2025
75,415102393,CN121670746B,2025-12-16,2025-12-16,76,16,2025
76,416911649,CN121934612B,2026-03-30,2026-03-30,77,3,2026
77,417265975,CN121977565B,2026-01-23,2026-01-23,78,-1,2026
78,417508701,CN122018332B,2026-04-10,2026-04-10,79,6,2026
79,419680571,CN122299574A,2026-04-30,2026-04-30,80,3,2026
80,419678351,CN122299623A,2026-03-22,2026-03-22,81,38,2026
81,419679095,CN122299633A,2026-04-02,2026-04-02,82,-1,2026
82,419679472,CN122299638A,2026-04-07,2026-04-07,83,10,2026
83,419679845,CN122299643A,2026-04-10,2026-04-10,84,10,2026
84,419680192,CN122299648A,2026-04-22,2026-04-22,85,5,2026
85,419681074,CN122299660A,2026-05-15,2026-05-15,86,5,2026
86,419682449,CN122299681A,2026-06-01,2026-06-01,87,10,2026
87,419679684,CN122299728A,2026-05-31,2026-05-31,88,-1,2026
88,419680040,CN122299733A,2026-06-01,2026-06-01,89,16,2026
89,419652537,CN122303459A,2026-04-29,2026-04-29,90,-1,2026
90,419757798,CN122308221A,2026-04-10,2026-04-10,91,6,2026
91,419763170,CN122308353A,2026-02-09,2026-02-09,92,15,2026
92,419758098,CN122308377A,2026-04-13,2026-04-13,93,6,2026
93,419766739,CN122308621A,2026-05-20,2026-05-20,94,32,2026
94,419651631,CN122309520A,2026-04-14,2026-04-14,95,21,2026
95,419702787,CN122311848A,2026-03-25,2026-03-25,96,30,2026
96,419714063,CN122312338A,2026-03-26,2026-03-26,97,17,2026
97,419727345,CN122312944A,2026-04-06,2026-04-06,98,33,2026
98,419778255,CN122315225A,2026-05-06,2026-05-06,99,-1,2026
99,419726428,CN224425616U,2025-07-09,2025-07-09,100,9,2025
100,419753192,CN224427278U,2025-09-11,2025-09-11,101,0,2025
101,419640227,CN224427616U,2025-06-20,2025-06-20,102,9,2025
102,419640643,CN224427624U,2025-08-06,2025-08-06,103,0,2025
103,419746961,CN224433157U,2025-04-22,2025-04-22,104,12,2025
104,420000425,KR1020260100240A,2026-06-10,2026-06-10,105,22,2026
105,405431423,CN120363183B,2025-04-10,2025-04-10,106,6,2025
106,408038642,CN120717223B,2025-07-25,2025-07-25,107,28,2025
107,411484486,CN121180324B,2025-11-19,2025-11-19,108,0,2025
108,412286057,CN121300450B,2025-09-01,2025-09-01,109,27,2025
109,412287490,CN121300473B,2025-09-02,2025-09-02,110,3,2025
110,412893200,CN121392348B,2025-08-26,2025-08-26,111,27,2025
111,415205712,CN121704883B,2026-02-12,2026-02-12,112,32,2026
112,416801861,CN121918613B,2026-03-24,2026-03-24,113,6,2026
113,417081209,CN121946543B,2026-04-01,2026-04-01,114,1,2026
114,419510682,CN122274330A,2025-12-04,2025-12-04,115,36,2025
115,419512117,CN122274582A,2025-12-11,2025-12-11,116,-1,2025
116,419519056,CN122274926A,2026-05-25,2026-05-25,117,19,2026
117,419519925,CN122274939A,2026-02-26,2026-02-26,118,1,2026
118,419520044,CN122274941A,2026-03-02,2026-03-02,119,1,2026
119,419519107,CN122274989A,2026-05-06,2026-05-06,120,10,2026
120,419520037,CN122275003A,2026-05-20,2026-05-20,121,29,2026
121,419521224,CN122275023A,2026-05-29,2026-05-29,122,1,2026
122,419521271,CN122275024A,2026-03-24,2026-03-24,123,9,2026
123,419518628,CN122275058A,2026-05-18,2026-05-18,124,-1,2026
124,419540831,CN122276047A,2026-04-22,2026-04-22,125,9,2026
125,419557411,CN122281926A,2026-05-13,2026-05-13,126,33,2026
126,419469429,CN122283593A,2026-05-09,2026-05-09,127,30,2026
127,419473178,CN122283746A,2026-04-01,2026-04-01,128,15,2026
128,419484791,CN122284520A,2026-03-26,2026-03-26,129,65,2026
129,419485543,CN122284596A,2026-03-17,2026-03-17,130,3,2026
130,419487745,CN122284637A,2026-04-03,2026-04-03,131,-1,2026
131,419484954,CN122284661A,2026-05-09,2026-05-09,132,3,2026
132,419480024,CN122290189A,2026-03-13,2026-03-13,133,26,2026
133,419485039,CN122290568A,2026-05-27,2026-05-27,134,2,2026
134,419464625,CN224407616U,2025-07-25,2025-07-25,135,-1,2025
135,419465220,CN224407640U,2025-04-17,2025-04-17,136,12,2025
136,419499182,CN224409118U,2025-07-25,2025-07-25,137,0,2025
137,419425761,US20260179318A1,2026-02-19,2026-02-19,139,-1,2026
138,419455303,WO2026135573A1,2025-12-19,2025-12-19,142,42,2025
139,400705928,EP4761885A1,2024-09-30,2024-09-30,143,-1,2024
140,419410934,JP2026103405A,2024-12-12,2024-12-12,144,14,2024
141,385269637,JP7879790B2,2022-11-02,2022-11-02,145,-1,2022
142,360092887,CN115311620B,2022-08-08,2022-08-08,146,50,2022
143,415602245,CN121746555B,2026-02-28,2026-02-28,147,68,2026
144,419382633,CN122250292A,2026-02-10,2026-02-10,148,39,2026
145,419319255,CN122253153A,2026-05-09,2026-05-09,149,15,2026
146,419319989,CN122253163A,2026-02-05,2026-02-05,150,1,2026
147,419320211,CN122253166A,2026-02-14,2026-02-14,151,5,2026
148,419320532,CN122253170A,2026-03-11,2026-03-11,152,5,2026
149,419320711,CN122253257A,2026-05-25,2026-05-25,153,19,2026
150,419337228,CN122253988A,2026-04-07,2026-04-07,154,13,2026
151,419343405,CN122258919A,2026-04-01,2026-04-01,155,-1,2026
152,419343612,CN122258922A,2026-04-09,2026-04-09,156,33,2026
153,419343277,CN122259079A,2026-03-25,2026-03-25,157,20,2026
154,419345621,CN122259112A,2024-12-20,2024-12-20,158,1,2024
155,419372698,CN122260507A,2026-02-28,2026-02-28,159,29,2026
156,419375121,CN122260767A,2026-03-12,2026-03-12,160,-1,2026
157,419379712,CN122260837A,2026-03-20,2026-03-20,161,57,2026
158,419377005,CN122260870A,2026-05-07,2026-05-07,162,3,2026
159,419381023,CN122260935A,2026-02-25,2026-02-25,163,5,2026
160,419379032,CN122260964A,2026-03-26,2026-03-26,164,1,2026
161,419379262,CN122260968A,2026-03-27,2026-03-27,165,-1,2026
162,419383864,CN122261029A,2026-04-01,2026-04-01,166,49,2026
163,419384043,CN122261101A,2026-03-13,2026-03-13,167,17,2026
164,419385248,CN122261194A,2026-04-07,2026-04-07,168,1,2026
165,419373751,CN122265711A,2026-03-19,2026-03-19,169,10,2026
166,419319333,CN122268066A,2026-03-26,2026-03-26,170,13,2026
167,419374006,CN224391171U,2025-07-09,2025-07-09,171,13,2025
168,419374106,CN224391173U,2025-08-04,2025-08-04,172,-1,2025
169,419296111,CN224392340U,2025-08-06,2025-08-06,173,0,2025
170,419305048,CN224392803U,2025-08-22,2025-08-22,174,0,2025
171,419344115,CN224399750U,2025-09-09,2025-09-09,175,2,2025
172,384089569,US12664684B2,2022-09-30,2022-09-30,177,-1,2022
173,TR202600843120260526,TR2026008431A2,2026-05-26,2026-05-26,178,2,2026
174,382270562,CN117589161B,2023-11-24,2023-11-24,179,15,2023
175,402914896,CN120036246B,2025-01-16,2025-01-16,180,61,2025
176,413516400,CN121483768B,2025-12-30,2025-12-30,181,36,2025
177,417216589,CN121979267B,2026-04-07,2026-04-07,182,27,2026
178,417891403,CN122058378B,2026-04-20,2026-04-20,183,10,2026
179,419148158,CN122230311A,2026-03-20,2026-03-20,184,14,2026
180,419178598,CN122231822A,2026-03-24,2026-03-24,185,9,2026
181,419175067,CN122231839A,2026-05-25,2026-05-25,186,19,2026
