app_year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
2006,0,1,1,0,1,2,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0
2007,3,1,2,0,2,0,0,1,3,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2008,4,5,3,0,6,0,0,0,0,0,2,2,1,0,2,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
2009,0,2,3,0,4,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,2,3,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,2,0,6,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0
2011,4,2,2,1,5,0,0,1,1,0,0,3,0,1,4,0,1,0,0,1,2,0,2,8,1,0,4,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
2012,6,8,4,3,4,1,0,0,1,1,0,2,1,0,1,0,3,0,1,0,1,1,2,4,1,1,1,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,1,1,0,0,4,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
2013,7,2,2,2,2,0,0,0,3,0,1,7,2,0,1,0,1,1,1,2,2,2,1,7,1,10,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,0
2014,13,7,8,2,6,0,0,0,2,0,1,3,1,0,3,1,0,1,4,1,0,0,2,1,3,3,2,1,1,5,0,2,0,0,2,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,2,1
2015,12,11,11,7,12,1,0,1,2,3,4,1,2,4,5,0,0,0,4,2,2,0,6,4,2,5,2,1,1,3,0,1,1,0,4,0,0,0,0,2,0,0,2,0,2,0,0,0,0,1,1,0,1,0,2,0,0,0,3,1,0,3,0,3,1,0,1,0,0,0,3,0,0,0,0,0,2
2016,22,8,20,6,7,4,0,5,7,3,0,13,4,3,9,1,2,2,10,3,2,1,4,3,5,1,0,0,2,3,1,7,2,1,0,1,1,1,0,1,1,0,4,1,2,0,0,0,0,4,0,3,0,0,1,0,0,0,1,3,0,2,0,1,1,0,2,2,0,1,1,0,4,0,0,0,1
2017,33,16,18,6,5,2,4,5,5,4,3,8,1,3,6,1,3,1,8,5,7,1,3,1,9,4,2,0,2,4,1,5,0,0,0,0,0,0,1,2,0,1,3,2,2,0,6,1,0,0,0,3,0,1,0,0,0,2,0,1,1,0,0,1,2,0,1,0,0,2,2,0,2,0,0,3,0
2018,34,15,16,4,6,1,0,4,10,4,3,6,1,5,13,2,4,0,10,2,6,3,4,1,2,1,2,1,0,3,0,5,0,1,0,2,4,2,1,1,1,1,5,1,0,0,0,0,0,3,0,3,1,1,2,4,1,1,0,4,2,4,3,0,3,0,1,0,0,2,2,1,1,2,0,2,0
2019,49,8,13,3,12,4,1,6,10,5,1,7,12,6,6,2,3,1,8,4,2,3,3,4,9,0,4,4,0,3,1,4,0,0,0,1,1,2,2,8,3,3,4,2,0,1,3,0,5,1,1,3,0,2,4,1,0,0,0,2,1,2,1,0,2,0,1,0,0,2,1,1,0,4,0,1,0
2020,36,16,9,11,12,6,6,14,16,2,6,3,0,2,2,4,3,5,5,2,4,4,0,2,8,1,3,2,3,9,2,5,0,1,0,0,1,0,0,4,0,3,3,2,0,1,5,3,2,3,3,3,2,2,2,1,1,0,0,5,0,1,0,0,1,1,0,0,0,2,0,1,3,1,3,0,0
2021,55,18,16,10,5,1,7,12,11,2,3,6,0,9,12,5,3,3,5,6,2,4,4,7,8,1,7,4,4,6,3,4,1,3,0,2,0,2,0,6,4,6,3,5,0,1,2,0,3,1,9,3,1,7,2,0,1,1,0,2,4,3,1,1,5,1,0,1,2,0,1,1,1,3,1,1,0
2022,34,12,12,13,12,2,11,20,14,4,8,4,0,1,8,5,7,0,6,6,4,6,4,6,6,3,9,3,0,6,4,2,0,2,0,2,1,3,6,4,6,4,1,3,1,7,3,0,0,1,4,0,1,6,4,0,0,0,0,0,0,2,0,0,2,1,0,2,1,0,0,2,1,0,5,0,0
2023,54,13,15,29,2,5,9,18,13,7,3,1,4,3,5,14,8,0,3,8,5,4,5,5,2,4,4,3,4,3,8,8,0,7,0,4,4,2,3,1,4,5,2,3,4,5,3,2,3,3,2,2,5,5,2,1,0,1,0,1,0,1,1,0,0,2,0,1,2,3,1,1,0,0,2,2,0
2024,63,38,24,19,15,22,34,12,11,35,20,9,6,23,9,12,13,7,6,6,7,11,3,7,3,1,2,6,10,4,12,2,6,7,2,8,12,6,8,6,4,4,4,4,4,1,3,2,2,0,6,5,9,2,5,0,5,2,0,1,5,3,2,0,3,1,2,1,2,1,4,8,2,4,2,1,0
2025,85,67,58,40,21,65,41,24,15,40,33,6,45,26,0,19,12,36,10,10,10,16,2,0,8,1,6,23,19,4,11,0,19,12,2,10,14,8,14,2,2,6,7,4,11,1,2,7,9,11,2,1,7,1,1,0,4,7,0,2,3,4,1,0,2,9,11,4,4,2,5,4,6,2,0,2,0
