bertopic_id,safety_score,cascade_score_full,risk_level_full,bertopic_count,cascade_score_family,risk_level_family,trend_direction_full,decay_probability_full,trend_direction_family,decay_probability_family,lifecycle_stage_full,lifecycle_stage_family,risk_changed,trend_changed,lifecycle_changed
0,2,1.2515062400342963e-17,LOW,530,7.081621088633141e-15,LOW,declining,8.939330285959259e-18,declining,5.0583007775951016e-15,mature,mature,False,False,False
1,2,0.004,LOW,298,0.004,LOW,mature,0.01,mature,0.01,growing,growing,False,False,False
2,0,0.0,NON_SAFETY,264,0.0,NON_SAFETY,mature,0.01,growing,0.01,mature,growing,False,True,True
3,2,0.004,LOW,176,0.004,LOW,growing,0.01,growing,0.01,growing,growing,False,False,False
4,0,0.0,NON_SAFETY,152,0.0,NON_SAFETY,declining,0.1262239547855318,declining,7.696974880029628e-148,mature,mature,False,False,False
5,1,0.002,NON_SAFETY,151,0.002,NON_SAFETY,mature,0.01,mature,0.01,growing,growing,False,False,False
6,0,0.0,NON_SAFETY,140,0.0,NON_SAFETY,mature,0.01,mature,0.01,mature,mature,False,False,False
7,2,1.2727269907747967,HIGH,128,1.2727280096784093,HIGH,declining,0.9090907076962834,declining,0.9090914354845782,mature,mature,False,False,False
8,1,7.895506671624595e-21,NON_SAFETY,134,0.0,NON_SAFETY,declining,1.1279295245177992e-20,declining,0.0,mature,mature,False,False,False
9,0,0.0,NON_SAFETY,122,0.0,NON_SAFETY,mature,0.01,mature,0.01,growing,growing,False,False,False
10,0,0.0,NON_SAFETY,101,0.0,NON_SAFETY,mature,0.01,mature,0.01,growing,growing,False,False,False
11,0,0.0,NON_SAFETY,86,0.0,NON_SAFETY,declining,7.97994752409462e-83,declining,2.569987137274221e-130,saturated,saturated,False,False,False
12,2,0.004,LOW,90,0.004,LOW,mature,0.01,mature,0.01,growing,growing,False,False,False
13,0,0.0,NON_SAFETY,95,0.0,NON_SAFETY,growing,0.01,mature,0.01,growing,growing,False,True,False
14,0,0.0,NON_SAFETY,87,0.0,NON_SAFETY,declining,0.599996161565582,declining,0.5713809880784972,saturated,saturated,False,False,False
15,2,0.013999999999999999,LOW,78,0.004,LOW,mature,0.01,mature,0.01,mature,growing,False,False,True
16,1,0.002,NON_SAFETY,68,0.002,NON_SAFETY,mature,0.01,mature,0.01,growing,growing,False,False,False
17,0,0.0,NON_SAFETY,65,0.0,NON_SAFETY,mature,0.01,mature,0.01,growing,growing,False,False,False
18,1,0.9818015662096962,NON_SAFETY,83,0.9333551253611284,NON_SAFETY,declining,0.8181679718414135,declining,0.7777959378009404,saturated,saturated,False,False,False
