简单同族ID,source_row_first,topic_first,app_year_first,source_row_earliest,topic_earliest,app_year_earliest
411918764,0,68,2025,3008,68,2025
CN202610759692.020260529,1,-1,2026,1,-1,2026
CN202610816025.120260608,2,9,2026,2,9,2026
CN202610821095.620260609,3,12,2026,3,12,2026
CN202610460778.320260409,4,32,2026,4,32,2026
CN202610555860.420260424,5,1,2026,5,1,2026
CN202610818543.720260608,6,-1,2026,6,-1,2026
CN202510063771.320250115,7,-1,2025,7,-1,2025
CN202610639550.020260511,8,-1,2026,8,-1,2026
CN202610596679.820260430,9,9,2026,9,9,2026
CN202610419661.020260401,10,7,2026,10,7,2026
CN202610807252.820260605,11,5,2026,11,5,2026
CN202610393094.620260327,12,1,2026,12,1,2026
CN202610647064.320260512,13,17,2026,13,17,2026
CN202610672260.620260515,14,27,2026,14,27,2026
CN202610437642.020260403,15,3,2026,15,3,2026
CN202610829251.320260610,16,2,2026,16,2,2026
CN202521234480.820250616,17,9,2025,17,9,2025
CN202521280011.X20250620,18,-1,2025,18,-1,2025
CN202521280021.320250620,19,-1,2025,19,-1,2025
CN202521277179.520250620,20,0,2025,20,0,2025
420230457,21,65,2026,21,65,2026
400737580,22,18,2025,22,18,2025
411858816,23,6,2025,23,6,2025
411719671,24,-1,2025,24,-1,2025
413529534,25,-1,2025,25,-1,2025
417843274,26,17,2026,26,17,2026
418428328,27,1,2026,27,1,2026
418607657,28,-1,2026,28,-1,2026
420019807,29,52,2026,29,52,2026
420024381,30,36,2026,30,36,2026
420026665,31,-1,2026,31,-1,2026
420024615,32,57,2026,32,57,2026
420024806,33,-1,2026,33,-1,2026
420025619,34,-1,2025,34,-1,2025
420025654,35,-1,2025,35,-1,2025
420068189,36,52,2026,36,52,2026
420071464,37,33,2026,37,33,2026
420067780,38,-1,2026,38,-1,2026
420015611,39,-1,2025,39,-1,2025
420027270,40,-1,2025,40,-1,2025
382073692,41,30,2023,41,30,2023
411747073,42,73,2025,42,73,2025
412899210,43,12,2025,43,12,2025
415901888,44,16,2025,44,16,2025
415913776,45,52,2026,45,52,2026
417266909,46,-1,2026,46,-1,2026
419865031,47,13,2026,47,13,2026
419868148,48,-1,2026,48,-1,2026
419866901,49,-1,2026,49,-1,2026
419867419,50,5,2026,50,5,2026
419871309,51,12,2026,51,12,2026
419887793,52,0,2026,52,0,2026
419888070,53,-1,2026,53,-1,2026
419852315,54,30,2026,54,30,2026
419925128,55,3,2026,55,3,2026
419927625,56,10,2026,56,10,2026
419930829,57,3,2026,57,3,2026
419853556,58,-1,2026,58,-1,2026
419911807,59,17,2026,59,17,2026
419863032,60,-1,2025,60,-1,2025
419903668,61,12,2025,61,12,2025
419904672,62,12,2025,62,12,2025
419939533,63,0,2025,63,0,2025
419940152,64,9,2025,64,9,2025
419981574,65,21,2026,65,21,2026
419816289,66,2,2025,66,2,2025
387484395,67,-1,2022,67,-1,2022
419805569,68,56,2026,68,56,2026
396983257,69,5,2024,69,5,2024
408408986,70,47,2025,70,47,2025
410910415,71,2,2025,71,2,2025
411172959,72,32,2025,72,32,2025
411172140,73,3,2025,73,3,2025
412888542,74,10,2025,74,10,2025
414200265,75,17,2025,75,17,2025
415102393,76,16,2025,76,16,2025
416911649,77,3,2026,77,3,2026
417265975,78,-1,2026,78,-1,2026
417508701,79,6,2026,79,6,2026
419680571,80,3,2026,80,3,2026
419678351,81,38,2026,81,38,2026
419679095,82,-1,2026,82,-1,2026
419679472,83,10,2026,83,10,2026
419679845,84,10,2026,84,10,2026
419680192,85,5,2026,85,5,2026
419681074,86,5,2026,86,5,2026
419682449,87,10,2026,87,10,2026
419679684,88,-1,2026,88,-1,2026
419680040,89,16,2026,89,16,2026
419652537,90,-1,2026,90,-1,2026
419757798,91,6,2026,91,6,2026
419763170,92,15,2026,92,15,2026
419758098,93,6,2026,93,6,2026
419766739,94,32,2026,94,32,2026
419651631,95,21,2026,95,21,2026
419702787,96,30,2026,96,30,2026
419714063,97,17,2026,97,17,2026
419727345,98,33,2026,98,33,2026
419778255,99,-1,2026,99,-1,2026
419726428,100,9,2025,100,9,2025
419753192,101,0,2025,101,0,2025
419640227,102,9,2025,102,9,2025
419640643,103,0,2025,103,0,2025
419746961,104,12,2025,104,12,2025
420000425,105,22,2026,105,22,2026
405431423,106,6,2025,106,6,2025
408038642,107,28,2025,107,28,2025
411484486,108,0,2025,108,0,2025
412286057,109,27,2025,109,27,2025
412287490,110,3,2025,110,3,2025
412893200,111,27,2025,111,27,2025
415205712,112,32,2026,112,32,2026
416801861,113,6,2026,113,6,2026
417081209,114,1,2026,114,1,2026
419510682,115,36,2025,115,36,2025
419512117,116,-1,2025,116,-1,2025
419519056,117,19,2026,117,19,2026
419519925,118,1,2026,118,1,2026
419520044,119,1,2026,119,1,2026
419519107,120,10,2026,120,10,2026
419520037,121,29,2026,121,29,2026
419521224,122,1,2026,122,1,2026
419521271,123,9,2026,123,9,2026
419518628,124,-1,2026,124,-1,2026
419540831,125,9,2026,125,9,2026
419557411,126,33,2026,126,33,2026
419469429,127,30,2026,127,30,2026
419473178,128,15,2026,128,15,2026
419484791,129,65,2026,129,65,2026
419485543,130,3,2026,130,3,2026
419487745,131,-1,2026,131,-1,2026
419484954,132,3,2026,132,3,2026
419480024,133,26,2026,133,26,2026
419485039,134,2,2026,134,2,2026
