"doc_id","dominant_topic","max_prob"
6,5,0.853473554339377
7,4,0.41868636522197
9,4,0.457431611192167
11,4,0.424881542566005
12,4,0.821507097692096
16,1,0.526261386806331
25,4,0.803594812904343
26,6,0.304915258456706
28,8,0.39904977818912
30,4,0.352374244143173
32,5,0.597333746981728
36,4,0.602917256381143
39,1,0.760008955800608
43,8,0.410609788798375
45,4,0.48248252744585
48,4,0.424291708737747
54,11,0.462623176516634
62,5,0.661599811499535
68,12,0.408595148765374
76,11,0.678746361435724
81,11,0.592070256979085
83,10,0.319524103669701
88,1,0.473819232258487
92,6,0.484058376105254
95,9,0.317002280829527
96,4,0.785292794122512
99,5,0.605871575142643
102,5,0.749420004040883
107,1,0.671272263520954
110,12,0.21936300785953
119,10,0.31932948951567
121,11,0.311926442806411
123,2,0.26455883197314
128,4,0.678470889736873
130,11,0.511371598266186
133,4,0.923459266973755
135,5,0.616386723064624
137,4,0.45181167326855
138,4,0.345972103184366
144,1,0.734374374165638
146,2,0.452722950799037
148,12,0.457365095850816
154,11,0.674587133674607
155,4,0.614573416344278
156,9,0.417950936095146
159,2,0.473976305197455
167,1,0.508831546553853
176,2,0.322240717100522
180,5,0.774808876303976
185,2,0.432949353493291
186,2,0.408238424759371
188,4,0.719329309464896
190,5,0.536195742804315
198,4,0.518315891914386
202,4,0.540977404222679
203,7,0.265708705965367
204,4,0.437621099660119
205,4,0.532015412859058
213,5,0.199340505952085
216,4,0.605195144438182
219,4,0.345902712567898
222,4,0.411952723089851
223,4,0.587919121257001
229,4,0.404992461212202
233,6,0.565266807079437
234,4,0.321293889596986
235,9,0.409728413553872
245,5,0.546261648373452
246,7,0.439733206472799
247,2,0.45183792499346
255,8,0.335365774623198
257,1,0.455792984136269
259,11,0.351091543920477
260,11,0.416092072740383
264,4,0.774461453914851
269,4,0.42538170199301
283,4,0.663907529988119
287,5,0.313519410397233
288,4,0.647948198135693
292,11,0.262389244397623
296,5,0.791302340101554
300,2,0.395300777232689
302,4,0.331626596831581
304,11,0.689237184936553
307,11,0.511506763636982
313,4,0.34180153392944
315,10,0.519483582611079
316,1,0.759720845686972
320,4,0.654690419390846
325,4,0.881664329343605
329,4,0.769614971245861
333,4,0.662755806288085
339,8,0.913571145845297
343,4,0.648045586778728
349,1,0.422934950211901
352,11,0.916830361565984
358,4,0.33843432897164
361,11,0.303274649026212
372,1,0.537971443502232
373,6,0.380698731796064
374,11,0.338359528983804
380,6,0.432348967131166
393,4,0.374802271158769
402,1,0.483447303004014
406,4,0.622389729926594
409,5,0.545154509574509
410,1,0.843431921413985
411,7,0.978022346790672
416,2,0.660083923346828
418,10,0.508748419709127
419,7,0.304534554254118
424,4,0.658758674985384
425,9,0.473759918030651
427,4,0.53034726213759
430,1,0.443154844098576
434,6,0.213020818635013
435,9,0.439601470824219
436,11,0.400908121216509
440,10,0.896464494364238
441,5,0.80882056674626
442,4,0.706718923735687
444,4,0.610584762528106
448,2,0.372823252695825
455,10,0.654169298774234
456,8,0.419736067673241
457,7,0.473729593281533
459,4,0.448762967027996
461,5,0.759541115293903
462,5,0.448044735556962
472,4,0.608902483463872
473,10,0.400426944351948
475,1,0.965699239897864
477,1,0.509172367122165
478,1,0.55124528582409
480,4,0.48362774374675
481,11,0.454712895283876
484,11,0.536396745394289
485,4,0.557060593983804
492,11,0.665028347235736
495,5,0.792364036199426
497,4,0.455671217208162
501,1,0.74374164958146
508,7,0.30400672166075
514,11,0.357268495837036
515,1,0.379668730320346
517,2,0.48783067475907
518,9,0.524968900158214
519,9,0.282324552434925
524,11,0.328713950220703
528,2,0.622698981274965
532,4,0.726191261110113
544,9,0.719380535259415
546,6,0.40587818278141
551,4,0.376323853373427
557,6,0.607702055685955
559,2,0.343916606298981
565,1,0.464067610217385
570,6,0.306431317075565
572,11,0.393821099698139
575,7,0.782577762847079
576,7,0.446394791803461
581,9,0.362016788341437
582,4,0.296235059677111
586,1,0.405466644367397
587,5,0.451680652307962
590,4,0.560406981050721
593,4,0.388616324249108
599,5,0.613127475797375
603,6,0.44446907301565
