"topic","covariate","coefficient","std_error","t_value","p_value","ci_lower","ci_upper"
1,"C1_std",0.103142842329073,0.0425088847321336,2.42638316622559,0.0153402017439877,0.0197752665576538,0.186510418100492
1,"C2_std",0.0269892238206072,0.00879224942708071,3.06966084668601,0.00217252972777531,0.00974603983842939,0.0442324078027849
1,"C3_std",-0.00733122985001392,0.0064216608839854,-1.14164076591102,0.253743398614833,-0.0199252629256293,0.00526280322560143
1,"C4_std",0.00893111366882501,0.0303470902254744,0.294298847186606,0.768560844951839,-0.0505849936051412,0.0684472209427912
1,"C5_std",-0.12027400345862,0.0134863004894547,-8.91823547552314,1.06358556570006e-18,-0.146723066637189,-0.0938249402800498
1,"C6_std",-0.0122766194926801,0.00915301209926863,-1.34126551560672,0.179990293721767,-0.0302273240225891,0.00567408503722902
1,"C7_std",-0.00218199257045811,0.00983878954013009,-0.221774493860071,0.824512634202126,-0.0214776301213959,0.0171136449804796
1,"C8_std",-0.165172943941248,0.0337770466164544,-4.89009432401896,1.09033219207814e-06,-0.231415813187907,-0.0989300746945888
1,"C9_std",-0.0205041601345321,0.00792295247954997,-2.58794435375646,0.00972667702658265,-0.0360424963043571,-0.00496582396470704
1,"C10_std",0.00600363141164608,0.00832725929606076,0.720961266870376,0.471019679878685,-0.0103276232121154,0.0223348860354075
2,"C1_std",-0.0164460784414082,0.0241516235042986,-0.680951259383496,0.495983099088585,-0.0638117601144296,0.0309196032316133
2,"C2_std",0.00729244322416224,0.0049953580117857,1.45984396052434,0.144493875858927,-0.002504353143871,0.0170892395921955
2,"C3_std",-0.00989709800855075,0.00364849694174774,-2.7126507618257,0.00673334257915979,-0.0170524573448313,-0.00274173867227021
2,"C4_std",-0.00762508379330158,0.0172418425511548,-0.442242977841766,0.65836238237652,-0.0414394410595533,0.0261892734729501
2,"C5_std",0.0430038668442406,0.00766230527899334,5.61239278238342,2.28075832404706e-08,0.0279767067586375,0.0580310269298438
2,"C6_std",-0.00594038150700962,0.00520032702680436,-1.14230921947615,0.253465605163885,-0.0161391590137634,0.00425839599974411
2,"C7_std",0.016895802741568,0.00558995471672838,3.02252944751163,0.00253932653612362,0.00593289519077603,0.0278587102923601
2,"C8_std",0.0332470331449082,0.0191905884642296,1.73246553678534,0.0833486607925621,-0.0043891656867304,0.0708832319765468
2,"C9_std",0.000433436127364478,0.00450146284792769,0.0962878384221291,0.923301853868011,-0.00839474290912665,0.00926161516385561
2,"C10_std",-0.00613886588336355,0.0047311716740736,-1.29753606638372,0.19460012075316,-0.0154175452820673,0.00313981351534025
3,"C1_std",0.0408153652467,0.0205905257659713,1.9822400705354,0.0475924025157583,0.000433637337702138,0.0811970931556978
3,"C2_std",0.00119306675388072,0.00425880470659116,0.280141221792646,0.779398843588887,-0.00715921598206287,0.0095453494898243
3,"C3_std",-0.000870376721604908,0.00311053500286444,-0.279815761855562,0.779648505256807,-0.00697069584724237,0.00522994240403255
3,"C4_std",-0.0320279175205124,0.0146995750922991,-2.17883287914161,0.0294633312233267,-0.0608564306192941,-0.00319940442173075
3,"C5_std",-0.0447465101385417,0.00653251713060903,-6.84981137345597,9.87542779324826e-12,-0.0575579522710723,-0.0319350680060112
3,"C6_std",0.00672118663312215,0.00443355154231491,1.51598251852346,0.129685685589679,-0.00197380610709033,0.0154161793733346
3,"C7_std",0.00246584320714105,0.00476572958355874,0.517411482105059,0.604927571933366,-0.0068806104734725,0.0118122968877546
3,"C8_std",-0.0293352379005896,0.0163609831929743,-1.79299969656999,0.0731277419895037,-0.0614220713856406,0.00275159558446139
3,"C9_std",0.00198876641762147,0.00383773317509363,0.518213832719871,0.60436781547211,-0.00553771924016982,0.00951525207541276
3,"C10_std",-0.0118544786225215,0.00403357199738176,-2.9389530248168,0.00333189036559953,-0.0197650394673936,-0.00394391777764934
4,"C1_std",-0.000451061010326018,0.0393052048297156,-0.0114758595529568,0.990844962511074,-0.0775356437393446,0.0766335217186926
