doc_id,source_doc_id,text,year,ipc_section,authority,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,simple_family_id,bertopic_topic,publication_number
0,1,"The present invention belongs to the field of humanoid robot technology A wheeled humanoid robot is disclosed Comprises a chassis mechanism,  a lifting mechanism and a body mechanism The lifting mechanism is installed on the top of the chassis mechanism The body mechanism includes a trunk structure,  a head structure is installed on the trunk structure Arm structures are provided on both sides of the trunk structure along the second direction The chassis mechanism comprises a chassis,  the chassis is equipped with radar,  the chassis is equipped with obstacle detection parts,  the lifting mechanism is equipped with a left camera and a right camera The trunk structure is equipped with a waist camera. The head structure is equipped with a head camera. The angle of view of the waist camera intersects with the angle of view of the radar,  the angle of view of the head camera intersects with the angle of view of the waist camera,  the projection distance between the edge of the angle of view of the left camera and the edge of the angle of view of the right camera on the plane where the shoulder of the trunk structure is located is W1,  the width of the shoulder of the trunk structure is W0,  and W1 > W0 The invention has high global obstacle avoidance ability. nan",2026,B,China,,1.3797634691195797,,,,20.0,,,,1.0,0.7247619047619048,1.3797634691195797,0.0,0.4348571428571429,0.0,1.3797634691195797,1.3797634691195797,0.0,,,0.0,0.6,1.3442847364818618,0.2,CN202610759692.020260529,-1,CN122353527A
1,2,"The invention relates to the technical field of humanoid robots,  and discloses a trunk and waist rotation linkage adjustment device of a humanoid robot,  which includes a lower trunk mounting plate,  a central rotation axis,  a middle connecting bracket,  a left hip connecting seat and a right hip connecting seat; the lower trunk mounting plate is horizontally arranged at the bottom of the robot trunk The central rotating shaft is arranged along the vertical direction,  and the upper end of the central rotating shaft is coaxially and fixedly connected with the lower surface of the trunk lower mounting plate; the middle connecting bracket is sleeved in the middle of the central rotating shaft and is rotationally connected with the central rotating shaft; and the left hip connecting seat and the right hip connecting seat are symmetrically arranged at the lower ends of the two sides of the middle connecting bracket The invention realizes the synchronous adjustment of the trunk waist rotation and the lower limb posture through the mechanical linkage structure,  can adjust the lower limb posture in time during the waist rotation process,  effectively offset the center of gravity shift caused by the trunk rotation,  and improve the balance stability of the robot in dynamic motion scenarios. nan",2026,B,China,,1.0512483574244416,,,,20.0,,,,1.0,0.95125,1.0512483574244416,0.0,0.57075,0.0,1.0512483574244416,1.0512483574244416,0.0,,,0.0,0.6,,0.2,CN202610816025.120260608,9,CN122353549A
2,3,"The invention discloses a linear actuator Comprises a joint shell,  a brushless hollow cup motor,  a reverse planetary roller lead screw assembly and a main control board,  wherein the brushless hollow cup motor,  the reverse planetary roller lead screw assembly and the main control board are arranged in the joint shell; guide blocks and tension and pressure sensors are arranged at two ends of the shell; the brushless hollow cup motor is coaxially nested at the periphery of the lead screw assembly; magnetic steel of the brushless hollow cup motor is fixed on the outer wall of a lead screw nut; and the lead screw nut drives a lead screw shaft to realize linear motion through a roller An O-shaped ring is arranged between the guide block and the front end cover to form an upper limit buffer,  and a rubber buffer pad is arranged at the end part of the screw nut to realize the lower limit buffer The main control board drives the motor according to the feedback of the tension pressure sensor and the motor speed and angle information to achieve thrust closed-loop control,  and conducts heat to the entire shell through thermally conductive silica gel and the rear end cover slot. The linear actuator of the present invention has the advantages of compact structure,  high rigidity,  impact resistance,  good heat dissipation and modular assembly,  and is suitable for flexible wrist joints of humanoid robots and high-precision linear motion scenes. nan",2026,B,China,,1.0183968462549278,,,,20.0,,,,1.0,0.9819354838709676,1.0183968462549278,0.0,0.4909677419354839,0.0,1.0183968462549278,1.0183968462549278,0.0,,,0.0,0.5,1.456536618754278,0.2,CN202610821095.620260609,12,CN122353550A
3,4,"The invention discloses a VLA-based aircraft control method,  a VLA-based aircraft control system and a VLA-based aircraft control storage medium applied to a humanoid robot and the humanoid robot The method comprises the following steps of :  acquiring multi-modal data including image data,  voice data,  action data and state data,  and preprocessing the multi-modal data; input the pre-processed multi-modal data into the trained VLA large model to obtain the end pose increment and clamp control instructions; obtain the target end pose based on the end pose increment,  solve the corresponding target joint angle based on the target end pose,  generate an initial trajectory from the current joint angle to the target joint angle,  and perform trajectory optimization and constraints on the initial trajectory to obtain the optimized joint trajectory. The invention can break the interactive limitations of aircraft control,  has multi-modal perception capabilities,  and improves adaptive decision-making capabilities and safety. nan",2026,B,China,,3.0223390275952693,,,,20.0,,,,1.0,0.3308695652173913,3.0223390275952693,0.0,0.2316086956521739,0.0,3.0223390275952693,3.0223390275952693,0.0,,,0.0,0.7,9.297741273100616,0.2,CN202610460778.320260409,32,CN122353572A
4,5,"The invention relates to a dual-arm humanoid robot trajectory tracking method based on an improved terminal sliding mode algorithm The method aims at the problems that the controller is easy to induce high-frequency vibration and the robustness is reduced due to neglect of joint flexibility in the prior art,  and the instantaneous vibration frequency and damping characteristic parameters of the system are extracted on line by establishing a state space model containing flexibility dynamics Using these characteristic parameters to dynamically construct an adaptive non-singular terminal sliding mode surface with frequency avoidance and damping injection capabilities; combined with linear expansion state observer,  the lumped disturbance of the system is estimated in real time and feedforward compensated,  and a continuous and smooth composite control law is designed The above steps are integrated through the closed-loop execution process to achieve high-precision tracking of the desired trajectory,  while effectively suppressing the residual vibration of the flexible joint,  significantly improving the stability and robustness of the system under complex working conditions. nan",2026,B,China,,2.5295663600525624,,,,20.0,,,,1.0,0.3953246753246753,2.5295663600525624,0.0,0.1976623376623376,0.0,2.5295663600525624,2.5295663600525624,0.0,,,0.0,0.5,20.66255989048597,0.2,CN202610555860.420260424,1,CN122353585A
5,6,"The invention discloses a control method and system for preventing a humanoid robot arm from falling,  belonging to the technical field of robot control The method comprises collecting temperature data and output torque data of each joint of the humanoid robot,  and current posture and load information of the arm; based on the above data,  determine the remaining time for each joint temperature to rise to the safe upper limit and the shortest movement time for the arm to move from the current posture to the safe position; compare the remaining time with the shortest movement time,  dynamically adjust the output torque limit of each joint according to the comparison results,  and generate a smooth and slow-down control command for the arm based on the output torque limit. The invention can realize active graded protection of joint overheating,  prevent arms from falling out of control,  and at the same time generate a slow-down trajectory without mechanical impact and automatically continue operations after the temperature is restored,  which significantly improves the safety of robot operation,  operation continuity and equipment service life. nan",2026,B,China,,1.0512483574244416,,,,20.0,,,,1.0,0.95125,1.0512483574244416,0.0,0.4756249999999999,0.0,1.0512483574244416,1.0512483574244416,0.0,,,0.0,0.5,,0.2,CN202610818543.720260608,-1,CN122353628A
6,7,"The invention discloses a humanoid robot astronaut,  wherein the arm includes a large arm base,  a first shoulder driving component and a second shoulder driving component; the first shoulder driving component realizes the heading movement and rolling movement of the shoulder joint of the arm through the linear push-pull stroke difference; the shoulder second drive assembly achieves pitching motion of the shoulder joint of the arm by converting linear motion into rotational motion; the elbow converts linear motion into rotational motion in the form of a linear actuator plus a slider. The leg includes a thigh base,  a first hip drive assembly,  and a second hip drive assembly; the hip first driving component realizes the pitching movement and rolling movement of the hip joint of the thigh through the linear push-pull stroke difference; the hip second drive assembly converts linear motion into crank-link rotation to achieve heading motion of the hip joint of the leg. The knee converts linear motion into rotational motion in the form of a linear actuator plus a slider. The humanoid robot astronaut joints in the embodiment of the present invention use linear actuators to realize main movements The structure is relatively simple,  the shoulder and hip movement is closer to the human shoulder and hip movement,  the mechanical efficiency and reliability are high,  and during the movement,  the joint movements of the hip,  shoulder,  knee and elbow do not exceed the shape envelope,  achieving a bionic robot design that is closer to the human shape size. nan",2025,B,China,,17.772667542706962,,,,20.0,,,,0.9835742444152432,0.0553419593345656,5.0,0.0,0.0337597042513863,0.0,17.772667542706962,17.772667542706962,0.0,,,0.0,0.5901445466491458,,0.2,CN202510063771.320250115,-1,CN122353641A
7,8,"The invention is applicable to the technical field of industrial robot control Provides a multi-modal collaborative decision-making method and device for humanoid robots in industrial scenes The industrial scene humanoid robot multi-modal collaborative decision-making method comprises the following steps of :  calculating a manipulator acceleration limit value through a preset acceleration limit model according to the weight of a workpiece,  the estimated friction coefficient,  the current actual clamping pressure,  the comprehensive damage risk index and the real-time deformation rate of the workpiece obtained in real time The invention provides a multi-modal collaborative decision-making method for an industrial scene humanoid robot. In the fourth step and the fifth step,  the application realizes the collaborative calculation of the manipulator pressure optimization value and the acceleration limit value. While increasing the clamping pressure to cope with the slip risk,  the pressure optimization model will take into account the stiffness of the workpiece and the comprehensive damage risk to avoid excessive pressure. nan",2026,B,China,,1.971090670170828,,,,20.0,,,,1.0,0.5073333333333334,1.971090670170828,0.0,0.2536666666666667,0.0,1.971090670170828,1.971090670170828,0.0,,,0.0,0.5,5.399041752224504,0.2,CN202610639550.020260511,-1,CN122353665A
8,9,"The invention relates to the technical field of robot lifting Specifically,  it relates to a leg lifting structure of a wheel-arm robot,  which includes a leg lifting mechanism,  a chassis and a humanoid upper body. The upper part of the chassis is equipped with a leg lifting mechanism,  and the upper part of the leg lifting mechanism is connected to the humanoid upper body. The leg lifting mechanism includes a leg base,  lower connecting rod,  foot joint motor,  lower elastic member,  knee joint motor,  upper connecting rod and upper elastic member; the foot joint motor is installed at the hinge of the leg base and the lower connecting rod; the lower elastic member is fixed between the leg base and the lower connecting rod,  and when the lower elastic member is in a stretched state,  the lower connecting rod can swing upward; the knee joint motor is installed at the hinge of the lower connecting rod and the upper connecting rod; one end of the upper elastic member is fixed between the lower connecting rod and the upper connecting rod. When the upper elastic member is in a stretched state,  it can make the upper connecting rod swing upward. The invention realizes lifting and pitching actions,  and at the same time reduces the load of the motor through the assistance of elastic parts,  reduces energy consumption and manufacturing costs,  and improves operating stability. nan",2026,B,China,,2.33245729303548,,,,20.0,,,,1.0,0.4287323943661972,2.33245729303548,0.0,0.2143661971830986,0.0,2.33245729303548,2.33245729303548,0.0,,,0.0,0.5,8.334017796030116,0.2,CN202610596679.820260430,9,CN122354669A
9,10,"The invention discloses a robot navigation method and system based on semantic perception and multi-level cost maps This invention abandons the limitation of traditional path planning technology that only relies on geometric obstacle information and ignores the physical attributes of the road surface The ability to perceive the depth of environmental pavement materials using visual semantic segmentation technology By constructing a multi-level cost map that integrates physical attribute weights and quantifying the ""traffic risk"" of the road surface into the resistance value of the search algorithm,  intelligent trade-offs and adaptive speed control of path length and traffic safety are achieved,  which significantly improves the performance of mobile robots in complex The operational safety and robustness in unstructured environments End-to-end intelligent decision-making from ""environment perception"" to ""motion control"" was achieved. Not only can it automatically learn the humanoid driving strategy of ""slowing down"" or ""detour avoidance"" when encountering areas with low adhesion or high vibration,  it also significantly improves the robot's adaptive ability and navigation in unknown unstructured environments. Safety. nan",2026,G,China,,3.28515111695138,,,,20.0,,,,1.0,0.3044,3.28515111695138,0.0,0.21308,0.0,3.28515111695138,3.28515111695138,0.0,,,0.0,0.7,5.234770704996578,0.2,CN202610419661.020260401,7,CN122360416A
