"","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12"
"T1",1,-0.679482973619236,0.343884966646593,-0.756885860974321,0.768915656907385,-0.481939746084968,-0.522822550958341,0.598756085395001,-0.0689543430835545,0.531640846454282,-0.133266203017774,-0.21677975023589
"T2",-0.679482973619236,1,-0.203840792811628,0.672738152635041,-0.457157109374758,0.597144109163616,0.431551547663842,-0.339484581006417,0.0583624929329506,-0.199106950043858,0.53004359439206,0.400783950638942
"T3",0.343884966646593,-0.203840792811628,1,-0.0152199271073824,0.121202432982259,0.0574451751874439,0.330569987993188,0.550790016660137,0.512759650261606,0.361333679771419,-0.184713311388759,0.296980706696864
"T4",-0.756885860974321,0.672738152635041,-0.0152199271073824,1,-0.67966433759659,0.644752375494018,0.607371808182662,-0.307728356123105,0.323512389165839,-0.202171813871048,0.246028633876751,0.449242893918616
"T5",0.768915656907385,-0.457157109374758,0.121202432982259,-0.67966433759659,1,-0.491741873549437,-0.669821271415846,0.397520058153414,-0.0937773643663415,0.502170150976883,0.0426538296073671,-0.171023107991303
"T6",-0.481939746084968,0.597144109163616,0.0574451751874439,0.644752375494018,-0.491741873549437,1,0.549486513239116,-0.0608456386253815,0.212174102978462,-0.128662300000953,0.347689433255029,0.555514253755961
"T7",-0.522822550958341,0.431551547663842,0.330569987993188,0.607371808182662,-0.669821271415846,0.549486513239116,1,-0.101176732476746,0.378400107836672,-0.235973210260992,-0.112254239411913,0.502859882368938
"T8",0.598756085395001,-0.339484581006417,0.550790016660137,-0.307728356123105,0.397520058153414,-0.0608456386253815,-0.101176732476746,1,0.351972855985658,0.682610991305021,-0.177380925204831,0.00783344322383602
"T9",-0.0689543430835545,0.0583624929329506,0.512759650261606,0.323512389165839,-0.0937773643663415,0.212174102978462,0.378400107836672,0.351972855985658,1,0.186186069435307,-0.101315728386674,0.298497604835811
"T10",0.531640846454282,-0.199106950043858,0.361333679771419,-0.202171813871048,0.502170150976883,-0.128662300000953,-0.235973210260992,0.682610991305021,0.186186069435307,1,0.0841641921848077,0.105371018338034
"T11",-0.133266203017774,0.53004359439206,-0.184713311388759,0.246028633876751,0.0426538296073671,0.347689433255029,-0.112254239411913,-0.177380925204831,-0.101315728386674,0.0841641921848077,1,0.283157445525425
"T12",-0.21677975023589,0.400783950638942,0.296980706696864,0.449242893918616,-0.171023107991303,0.555514253755961,0.502859882368938,0.00783344322383602,0.298497604835811,0.105371018338034,0.283157445525425,1
