"topic","prob_words","frex_words"
1,"connect, plate, fix, end, side","connect, plate, fix, end, side"
2,"control, valu, state, paramet, current","control, valu, state, paramet, current"
3,"devic, bodi, head, model, test","devic, bodi, head, model, test"
4,"data, robot, model, base, generat","data, robot, model, base, generat"
5,"connect, joint, drive, first, motor","connect, joint, drive, first, motor"
6,"path, vehicl, obstacl, step, plan","path, vehicl, obstacl, step, plan"
7,"imag, target, detect, frame, obtain","imag, target, detect, frame, obtain"
8,"mechan, air, devic, set, pipe","mechan, air, devic, set, pipe"
9,"modul, control, robot, system, unit","modul, control, robot, system, unit"
10,"forc, flexibl, sensor, layer, pressur","forc, flexibl, sensor, layer, pressur"
11,"robot, leg, joint, control, foot","robot, leg, joint, control, foot"
12,"robot, arm, point, system, coordin","robot, arm, point, system, coordin"
