bertopic_id,bertopic_name,safety_score,decay_probability_full,lifecycle_stage_full,cascade_score_full,risk_level_full,trend_direction_full,decay_probability_c2024,lifecycle_stage_c2024,cascade_score_c2024,risk_level_c2024,trend_direction_c2024,bertopic_count,risk_changed,trend_changed,lifecycle_changed
0,0_leg_end_wheel_connected,2,5.0583007775951016e-15,mature,7.081621088633141e-15,LOW,declining,0.01,mature,0.013999999999999999,LOW,growing,431,False,True,False
1,1_humanoid robot_humanoid_joint_robot,2,0.01,growing,0.004,LOW,mature,0.01,mature,0.013999999999999999,LOW,growing,185,False,True,True
2,2_voice_user_emotion_expression,0,0.01,growing,0.0,NON_SAFETY,growing,0.01,mature,0.0,NON_SAFETY,growing,182,False,False,True
3,3_foot_robot_foot robot_leg,2,0.01,growing,0.004,LOW,growing,0.01,growing,0.004,LOW,mature,117,False,True,False
4,4_finger_thumb_palm_knuckle,0,7.696974880029628e-148,mature,0.0,NON_SAFETY,declining,0.01,mature,0.0,NON_SAFETY,growing,127,False,True,False
5,5_learning_training_strategy_network,1,0.01,growing,0.002,NON_SAFETY,mature,0.01,growing,0.002,NON_SAFETY,growing,51,False,True,False
6,6_network_learning_foot_strategy,0,0.01,mature,0.0,NON_SAFETY,mature,0.01,growing,0.0,NON_SAFETY,mature,72,False,False,True
7,7_vehicle_lane_driving_lane changing,2,0.9090914354845782,mature,1.2727280096784093,HIGH,declining,0.24999999998845923,mature,0.3499999999838429,HIGH,declining,99,False,False,False
8,8_patient_medical_device_user,1,0.0,mature,0.0,NON_SAFETY,declining,0.01,mature,0.006999999999999999,NON_SAFETY,mature,111,False,True,False
9,9_hip_thigh_joint_second,0,0.01,growing,0.0,NON_SAFETY,mature,0.01,growing,0.0,NON_SAFETY,growing,72,False,True,False
10,10_grabbing_hand_task_humanoid,0,0.01,growing,0.0,NON_SAFETY,mature,0.01,growing,0.0,NON_SAFETY,mature,56,False,False,False
11,11_toy_left_doll_game,0,2.569987137274221e-130,saturated,0.0,NON_SAFETY,declining,0.01,saturated,0.0,NON_SAFETY,growing,80,False,True,False
12,12_bearing_shaft_motor_output,2,0.01,growing,0.004,LOW,mature,0.01,saturated,0.024,MEDIUM,growing,36,True,True,True
13,13_connecting_shell_piece_second,0,0.01,growing,0.0,NON_SAFETY,mature,0.01,growing,0.0,NON_SAFETY,growing,60,False,True,False
14,14_training_target_target body_plate,0,0.5713809880784972,saturated,0.0,NON_SAFETY,declining,0.01,mature,0.0,NON_SAFETY,mature,86,False,True,True
15,15_point_point cloud_cloud_map,2,0.01,growing,0.004,LOW,mature,0.01,growing,0.004,LOW,mature,49,False,False,False
16,16_test_testing_plate_device,1,0.01,growing,0.002,NON_SAFETY,mature,0.01,growing,0.002,NON_SAFETY,growing,51,False,True,False
17,17_data_task_semantic_humanoid robot,0,0.01,growing,0.0,NON_SAFETY,mature,0.01,mature,0.0,NON_SAFETY,growing,22,False,True,True
18,18_plate_bridge_ladder_rod,1,0.7777959378009404,saturated,0.9333551253611284,NON_SAFETY,declining,0.01,saturated,0.012,NON_SAFETY,growing,73,False,True,False
