variant,bertopic_id,D_j,R_j,risk_level,is_high
full_2026_raw,7,0.9090914354845782,1.2727280096784093,HIGH,True
full_2026_raw,22,0.8000000000021171,4.8000000000127026,HIGH,True
full_2026_raw,25,0.01,0.08,HIGH,True
full_2026_raw,29,2.393872018177671e-29,5.027131238173109e-29,LOW,False
full_2026_raw,40,0.01,0.020999999999999998,MEDIUM,False
cut_2025,7,0.01,0.013999999999999999,LOW,False
cut_2025,22,0.7777777777777771,4.6666666666666625,HIGH,True
cut_2025,25,0.7272727272741281,5.8181818181930245,HIGH,True
cut_2025,29,0.01,0.020999999999999998,MEDIUM,False
cut_2025,40,0.01,0.020999999999999998,MEDIUM,False
cut_2024,7,0.24999999998845923,0.3499999999838429,HIGH,True
cut_2024,22,0.01,0.06,MEDIUM,False
cut_2024,25,0.700000000011626,5.600000000093008,HIGH,True
cut_2024,29,1.0592781966453525e-40,2.22448421295524e-40,LOW,False
cut_2024,40,0.3333333333333333,0.7,HIGH,True
annualized_2026,7,0.01,0.013999999999999999,LOW,False
annualized_2026,22,0.01,0.06,MEDIUM,False
annualized_2026,25,0.01,0.08,HIGH,True
annualized_2026,29,0.01,0.020999999999999998,MEDIUM,False
annualized_2026,40,0.01,0.020999999999999998,MEDIUM,False
