bertopic_id,bertopic_name,safety_score,safety_category,decay_probability,trend_direction,current_state_name,lifecycle_stage,tmi,fit_reliable,bertopic_count,dim_safety,dim_temporal_decay,dim_lifecycle_risk,cascade_score,risk_level,variant
0,0_leg_end_wheel_connected,2,stability_balance,5.0583007775951016e-15,declining,declining,mature,0.265,True,530,0.4,5.0583007775951016e-15,0.35,7.081621088633141e-15,LOW,full_2026_raw
1,1_humanoid robot_humanoid_joint_robot,2,safe_control,0.01,mature,mature,growing,0.1888,True,298,0.4,0.01,0.1,0.004,LOW,full_2026_raw
2,2_voice_user_emotion_expression,0,not_safety,0.01,growing,growing,growing,0.2739,True,264,0.0,0.01,0.1,0.0,NON_SAFETY,full_2026_raw
3,3_foot_robot_foot robot_leg,2,stability_balance,0.01,growing,mature,growing,0.1487,True,176,0.4,0.01,0.1,0.004,LOW,full_2026_raw
4,4_finger_thumb_palm_knuckle,0,not_safety,7.696974880029628e-148,declining,declining,mature,0.4373,True,152,0.0,7.696974880029628e-148,0.35,0.0,NON_SAFETY,full_2026_raw
5,5_learning_training_strategy_network,1,not_safety,0.01,mature,mature,growing,0.0,True,151,0.2,0.01,0.1,0.002,NON_SAFETY,full_2026_raw
6,6_network_learning_foot_strategy,0,not_safety,0.01,mature,mature,mature,0.0,True,140,0.0,0.01,0.35,0.0,NON_SAFETY,full_2026_raw
7,7_vehicle_lane_driving_lane changing,2,collision_protection,0.9090914354845782,declining,declining,mature,0.0595,True,128,0.4,0.9090914354845782,0.35,1.2727280096784093,HIGH,full_2026_raw
8,8_patient_medical_device_user,1,fault_detection,0.0,declining,declining,mature,0.2734,True,134,0.2,0.0,0.35,0.0,NON_SAFETY,full_2026_raw
9,9_hip_thigh_joint_second,0,not_safety,0.01,mature,mature,growing,0.085,True,122,0.0,0.01,0.1,0.0,NON_SAFETY,full_2026_raw
10,10_grabbing_hand_task_humanoid,0,not_safety,0.01,mature,mature,growing,0.114,True,101,0.0,0.01,0.1,0.0,NON_SAFETY,full_2026_raw
11,11_toy_left_doll_game,0,not_safety,2.569987137274221e-130,declining,declining,saturated,0.3619,True,86,0.0,2.569987137274221e-130,0.6,0.0,NON_SAFETY,full_2026_raw
12,12_bearing_shaft_motor_output,2,fail_safe_emergency,0.01,mature,mature,growing,0.1403,True,90,0.4,0.01,0.1,0.004,LOW,full_2026_raw
13,13_connecting_shell_piece_second,0,not_safety,0.01,mature,mature,growing,0.1329,True,95,0.0,0.01,0.1,0.0,NON_SAFETY,full_2026_raw
14,14_training_target_target body_plate,0,not_safety,0.5713809880784972,declining,declining,saturated,0.2242,True,87,0.0,0.5713809880784972,0.6,0.0,NON_SAFETY,full_2026_raw
15,15_point_point cloud_cloud_map,2,safe_control,0.01,mature,mature,growing,0.0949,True,78,0.4,0.01,0.1,0.004,LOW,full_2026_raw
16,16_test_testing_plate_device,1,stability_balance,0.01,mature,mature,growing,0.1738,True,68,0.2,0.01,0.1,0.002,NON_SAFETY,full_2026_raw
17,17_data_task_semantic_humanoid robot,0,not_safety,0.01,mature,mature,growing,0.0369,True,65,0.0,0.01,0.1,0.0,NON_SAFETY,full_2026_raw
