"doc_id","split"
0,"train"
1,"train"
2,"test"
3,"train"
4,"train"
5,"test"
6,"test"
7,"test"
8,"train"
9,"train"
10,"train"
11,"test"
12,"test"
13,"train"
14,"train"
15,"test"
16,"test"
17,"test"
18,"train"
19,"train"
20,"train"
21,"train"
22,"test"
23,"train"
24,"train"
25,"train"
26,"train"
27,"train"
28,"train"
29,"train"
30,"test"
31,"train"
32,"test"
33,"train"
34,"train"
35,"train"
36,"test"
37,"train"
38,"test"
39,"train"
40,"train"
41,"train"
42,"train"
43,"test"
44,"train"
45,"test"
46,"train"
47,"train"
48,"train"
49,"train"
50,"train"
51,"test"
52,"train"
53,"train"
54,"train"
55,"train"
56,"train"
57,"train"
58,"train"
59,"train"
60,"train"
61,"test"
62,"train"
63,"train"
64,"train"
65,"test"
66,"train"
67,"train"
68,"test"
69,"test"
70,"train"
71,"train"
72,"train"
73,"train"
74,"train"
75,"train"
76,"test"
77,"train"
78,"train"
79,"train"
80,"train"
81,"test"
82,"train"
83,"test"
84,"test"
85,"train"
86,"train"
87,"train"
88,"test"
89,"train"
90,"test"
91,"train"
92,"train"
93,"train"
94,"train"
95,"test"
96,"train"
97,"train"
98,"train"
99,"test"
100,"train"
101,"train"
102,"test"
103,"train"
104,"test"
105,"train"
106,"train"
107,"train"
108,"test"
109,"train"
110,"test"
111,"train"
112,"train"
113,"train"
114,"train"
115,"train"
116,"train"
117,"train"
118,"train"
119,"test"
120,"train"
121,"train"
122,"train"
123,"train"
124,"train"
125,"train"
126,"train"
127,"train"
128,"train"
129,"test"
130,"test"
131,"train"
132,"train"
133,"test"
134,"train"
135,"train"
136,"train"
137,"train"
138,"train"
139,"train"
140,"test"
141,"train"
142,"train"
143,"test"
144,"train"
145,"train"
146,"test"
147,"train"
148,"test"
149,"test"
150,"test"
151,"train"
152,"train"
153,"train"
154,"train"
155,"train"
156,"test"
157,"test"
158,"train"
159,"test"
160,"train"
161,"train"
162,"train"
163,"test"
164,"train"
165,"train"
166,"train"
167,"train"
168,"train"
169,"train"
170,"test"
171,"test"
172,"train"
173,"train"
174,"train"
175,"train"
176,"test"
177,"train"
178,"train"
179,"train"
