"","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12"
"T1",1,0.448753273389587,0.384532943417157,-0.137715501782948,-0.072827213626674,0.0602234700808921,0.173982655644536,0.270524429079787,0.751924639895858,0.288028667939025,0.418266732749457,0.423261884160685
"T2",0.448753273389587,1,-0.192331306907187,-0.40095593646558,-0.750994684692664,-0.473693660713932,0.732295479145102,0.598522088813322,0.56192799086152,-0.280978443490625,0.110488466166033,0.369377767270808
"T3",0.384532943417157,-0.192331306907187,1,-0.0394653812863095,0.450740258819292,0.223871226088679,-0.359137271902236,-0.167175293535095,0.335826178366445,0.603512458894876,0.601396433110026,0.260081990716827
"T4",-0.137715501782948,-0.40095593646558,-0.0394653812863095,1,0.387910666052027,0.57414541782352,-0.0442231319714204,-0.207819064132343,-0.238163761363297,-0.0635359878862313,-0.127183061332838,0.0781442082525871
"T5",-0.072827213626674,-0.750994684692664,0.450740258819292,0.387910666052027,1,0.552577027521405,-0.66962708789986,-0.494272596624345,-0.231921245857037,0.491818038219143,0.167506740600586,-0.0946937271048886
"T6",0.0602234700808921,-0.473693660713932,0.223871226088679,0.57414541782352,0.552577027521405,1,-0.425495842961664,-0.271719573640314,-0.224930566157393,0.480012402261147,0.0487208135222302,0.0247681929880414
"T7",0.173982655644536,0.732295479145102,-0.359137271902236,-0.0442231319714204,-0.66962708789986,-0.425495842961664,1,0.616918722507337,0.333282891064608,-0.563307463451193,0.0381884978947203,0.402562373987939
"T8",0.270524429079787,0.598522088813322,-0.167175293535095,-0.207819064132343,-0.494272596624345,-0.271719573640314,0.616918722507337,1,0.308685501264999,-0.20872417839001,-0.0624256502962619,0.359374874840965
"T9",0.751924639895858,0.56192799086152,0.335826178366445,-0.238163761363297,-0.231921245857037,-0.224930566157393,0.333282891064608,0.308685501264999,1,0.0297939970850309,0.43932430029357,0.366840680531602
"T10",0.288028667939025,-0.280978443490625,0.603512458894876,-0.0635359878862313,0.491818038219143,0.480012402261147,-0.563307463451193,-0.20872417839001,0.0297939970850309,1,0.330076360128512,-0.0216003945045718
"T11",0.418266732749457,0.110488466166033,0.601396433110026,-0.127183061332838,0.167506740600586,0.0487208135222302,0.0381884978947203,-0.0624256502962619,0.43932430029357,0.330076360128512,1,0.213252193704839
"T12",0.423261884160685,0.369377767270808,0.260081990716827,0.0781442082525871,-0.0946937271048886,0.0247681929880414,0.402562373987939,0.359374874840965,0.366840680531602,-0.0216003945045718,0.213252193704839,1
