"topic","prob_words","frex_words"
1,"devic, set, water, weld, tabl","devic, set, water, weld, tabl"
2,"connect, plate, fix, end, side","connect, plate, fix, end, side"
3,"unit, robot, control, signal, inform","unit, robot, control, signal, inform"
4,"robot, control, joint, method, motion","robot, control, joint, method, motion"
5,"data, model, base, obtain, robot","data, model, base, obtain, robot"
6,"point, robot, posit, path, target","point, robot, posit, path, target"
7,"joint, motor, leg, connect, drive","joint, motor, leg, connect, drive"
8,"first, second, connect, finger, drive","first, second, connect, finger, drive"
9,"layer, air, pressur, compris, caviti","layer, air, pressur, compris, caviti"
10,"detect, imag, target, human, frame","detect, imag, target, human, frame"
11,"modul, control, vehicl, drive, system","modul, control, vehicl, drive, system"
12,"arm, robot, mechan, humanoid, control","arm, robot, mechan, humanoid, control"
