scenario_idx,pooled_k25,safety_barrier_k25,safety_barrier_mass_k25,propagation_node_k25,propagation_node_mass_k25,other_k25,other_mass_k25,pooled_k50,safety_barrier_k50,safety_barrier_mass_k50,propagation_node_k50,propagation_node_mass_k50,other_k50,other_mass_k50,pooled_k100,safety_barrier_k100,safety_barrier_mass_k100,propagation_node_k100,propagation_node_mass_k100,other_k100,other_mass_k100
0,0.041360540829863957,0.0401702439955188,0.88097036,0.0011902968343451522,0.119029686,0.0,0.0,0.07184160233296616,0.07065444008460703,0.8433187,0.001187162248359133,0.15668128,0.0,0.0,0.13736049681901266,0.09298647209952271,0.7843172,0.0012915360316041,0.1682921,0.04308248868788588,0.047390707
1,0.07072796719366241,0.06993026557439062,0.8426956,0.0007977016192717888,0.15730438,0.0,0.0,0.055814073043268464,0.05540044422778262,0.82185894,0.00041362881548585227,0.17814103,0.0,0.0,0.08603840412088999,0.08524865622357371,0.7736851,0.0007897478973162643,0.22631483,0.0,0.0
2,0.04077043273100684,0.03997883496224841,0.9208402,0.0007915977687584317,0.079159774,0.0,0.0,0.08538038257043817,0.08477301595794129,0.8834112,0.0006073666124968912,0.11658868,0.0,0.0,0.14538683503816707,0.09212506831268491,0.76842403,0.0012621887908551331,0.17437655,0.05199957793462701,0.0571995
3,0.16336172223170858,0.16256194285267347,0.88162374,0.0007997793790351099,0.11837623,0.0,0.0,0.16740966865666765,0.149983062670266,0.8630117,0.00041619555623851175,0.11827684,0.01701041043016313,0.01871144,0.12334982766853972,0.10467438375029203,0.8049028,0.0012612535239449707,0.17594166,0.017414190394302725,0.019155597
4,0.009625283938502188,0.008839882307851455,0.8839883,0.0007854016306507303,0.11601176,0.0,0.0,0.009045348951151017,0.00806505546117853,0.8258117,0.0009802934899724874,0.17418821,0.0,0.0,0.03966561492204438,0.038488034680829085,0.84207505,0.0011775802412152918,0.15792501,0.0,0.0
5,0.16149798891399286,0.16070799010324022,0.8425117,0.0007899988107526285,0.1574883,0.0,0.0,0.13398090035666202,0.13338138236088848,0.8613219,0.000599517995773542,0.1386781,0.0,0.0,0.14638322537620307,0.10275776417110057,0.73716897,0.0006956422167913915,0.21560827,0.04292981898831113,0.047222774
6,0.040580396958283124,0.039807220894325625,0.92268246,0.0007731760639574995,0.0773176,0.0,0.0,0.05495944730893344,0.05455281809284297,0.9021846,0.0004066292160904725,0.097815335,0.0,0.0,0.07098813791972516,0.06992451332766134,0.8351167,0.0010636245920638216,0.16488323,0.0,0.0
7,0.03960153934674523,0.03881459007643414,0.8827399,0.000786949270311086,0.117260166,0.0,0.0,0.08455220729917752,0.08395660121303049,0.86263204,0.0005956060861470302,0.13736786,0.0,0.0,0.07852761211130621,0.07754714816112414,0.8229363,0.00098046395018206,0.17706373,0.0,0.0
8,0.03972060986540031,0.03893423825499828,0.92136294,0.0007863716104020259,0.07863716,0.0,0.0,0.08425564610266628,0.08346206124343679,0.84546244,0.0007935848592294984,0.15453753,0.0,0.0,0.10929216733966289,0.09940131809703996,0.7962226,0.0012675610951505018,0.19429186,0.008623288147472433,0.009485612
9,0.009212981653908471,0.008440661726768559,0.8440662,0.0007723199271399131,0.1559338,0.0,0.0,0.05300602488669051,0.052411801532324685,0.7657279,0.000594223354365821,0.23427223,0.0,0.0,0.06896260313110816,0.0681721721027833,0.67790395,0.0007904310283248704,0.322096,0.0,0.0
10,0.07216852429889004,0.0709844849148436,0.8039795,0.0011840393840464314,0.19602051,0.0,0.0,0.11628985486292626,0.11567490643968525,0.8023236,0.0006149484232409949,0.19767651,0.0,0.0,0.1102812455424838,0.10929386690671265,0.77224547,0.0009873786357711917,0.22775458,0.0,0.0
11,0.03977531472824925,0.038976758528039515,0.8815561,0.000798556200209735,0.11844389,0.0,0.0,0.05460419198291312,0.0541878379757369,0.8613409,0.0004163540071762229,0.13865907,0.0,0.0,0.0626842621735956,0.06189245990221749,0.8041134,0.0007918022713781261,0.19588664,0.0,0.0
12,0.04014379038271573,0.039365801743695784,0.9222012,0.0007779886390199548,0.077798866,0.0,0.0,0.05497078791062712,0.053997398989586755,0.8646383,0.000973388921040361,0.13536175,0.0,0.0,0.11145514589335692,0.08423804400484167,0.7871983,0.0014544499933196683,0.18446282,0.025762651895195596,0.0283389
