scenario_idx,pooled_k25,safety_barrier_k25,safety_barrier_mass_k25,propagation_node_k25,propagation_node_mass_k25,other_k25,other_mass_k25,pooled_k50,safety_barrier_k50,safety_barrier_mass_k50,propagation_node_k50,propagation_node_mass_k50,other_k50,other_mass_k50,pooled_k100,safety_barrier_k100,safety_barrier_mass_k100,propagation_node_k100,propagation_node_mass_k100,other_k100,other_mass_k100
0,0.04309853219901823,0.041550732609060795,0.8452201,0.0015477995899574296,0.15477996,0.0,0.0,0.0813542891149526,0.08054344918870666,0.9002611,0.0008108399262459381,0.099738814,0.0,0.0,0.12464308605856526,0.09789740662551041,0.8154691,0.0012764026912605272,0.15651475,0.025469276741794323,0.028016211
1,0.07747865798440318,0.07630959745115215,0.8830939,0.0011690605332510355,0.116906054,0.0,0.0,0.08525879664136157,0.0846541814745071,0.8243865,0.000604615166854475,0.17561337,0.0,0.0,0.11711843197575753,0.11642636026057022,0.8418939,0.0006920717151873081,0.15810609,0.0,0.0
2,0.042648851636327006,0.041483201443900206,0.88343495,0.0011656501924268052,0.11656502,0.0,0.0,0.09282230569790859,0.09202702083906153,0.92047155,0.0007952848588470661,0.07952848,0.0,0.0,0.12606142291066982,0.0910576704930566,0.8359423,0.000979327431177705,0.12663083,0.03402442498643552,0.037426874
3,0.17874377871563685,0.17793227363432335,0.9188495,0.0008115050813134924,0.08115051,0.0,0.0,0.2342345733475159,0.23361811830392773,0.9188142,0.0006164550435881534,0.08118584,0.0,0.0,0.17673767832543452,0.1672328499049957,0.8431548,0.0007905173098491755,0.14725941,0.00871431111058964,0.009585745
4,0.025267817631987596,0.02449239865866684,0.9224581,0.0007754189733207601,0.077541895,0.0,0.0,0.03418757730366003,0.03339439222828024,0.88278306,0.0007931850753797956,0.11721682,0.0,0.0,0.053649407491532144,0.05238349946891253,0.8342779,0.0012659080226196289,0.16572207,0.0,0.0
5,0.11158449175513262,0.11042092584972373,0.8445139,0.0011635659054088927,0.15548609,0.0,0.0,0.17078459971791654,0.1701794990192631,0.89958495,0.0006051006986534401,0.10041502,0.0,0.0,0.15008273589956775,0.14957566697067423,0.8619772,0.0005070689288935017,0.13802283,0.0,0.0
6,0.049852102351278654,0.048717493368645004,0.88653904,0.0011346089826336496,0.11346089,0.0,0.0,0.05587022928343525,0.055277517899008526,0.90315014,0.0005927113844267222,0.09684988,0.0,0.0,0.07956567546007136,0.07888093911920208,0.89287627,0.0006847363408692813,0.107123695,0.0,0.0
7,0.009999999771917772,0.009216873282403972,0.9216873,0.000783126489513801,0.07831265,0.0,0.0,0.04680577836392173,0.04620302337159295,0.8819581,0.0006027549923287876,0.11804179,0.0,0.0,0.09787965565357819,0.09699608720396519,0.8623492,0.0008835684496129818,0.13765079,0.0,0.0
8,0.03635723457898261,0.035203903187618964,0.8846668,0.001153331391363641,0.11533313,0.0,0.0,0.0693595555563272,0.06856573606752263,0.9017949,0.000793819488804564,0.09820526,0.0,0.0,0.09484879543185369,0.08557868281791249,0.86302966,0.0008906779499939741,0.127753,0.008379434663947208,0.009217381
9,0.02421340443241895,0.02382982528398853,0.9220352,0.00038357914843042273,0.0779648,0.0,0.0,0.05927235782255229,0.05868090194811325,0.78842026,0.0005914558744390338,0.2115796,0.0,0.0,0.1034621209299318,0.1023956849084816,0.72781193,0.0010664360214502051,0.27218807,0.0,0.0
10,0.09589540174468042,0.09472078687680807,0.8443437,0.0011746148678723597,0.15565617,0.0,0.0,0.09950638175440975,0.0987002275658616,0.84157884,0.0008061541885481567,0.15842116,0.0,0.0,0.13809060902025666,0.13747906457024375,0.80302334,0.0006115444500128718,0.1969766,0.0,0.0
11,0.01738293885592765,0.01621116629123674,0.8828228,0.0011717725646909103,0.117177255,0.0,0.0,0.05883260480780328,0.058224929718271,0.88112295,0.0006076750895322775,0.11887699,0.0,0.0,0.07833067990616088,0.07772919399421593,0.8806198,0.0006014859119449415,0.11938011,0.0,0.0
12,0.010000000092628929,0.009228788336150241,0.9228788,0.0007712117564786897,0.077121176,0.0,0.0,0.042152555644322874,0.0413644274520996,0.9024336,0.0007881281922232725,0.09756638,0.0,0.0,0.0981128973639203,0.08858022214905541,0.8542042,0.0010768121116605759,0.13649446,0.008455863103204326,0.009301451
13,0.017474354856838337,0.017474354856838337,1.0,0.0,0.0,0.0,0.0,0.043258200523767776,0.04266986670263901,0.94116664,0.0005883338211287703,0.058833383,0.0,0.0,0.13224594490089248,0.0722729024263805,0.8469572,0.0005901698519178953,0.08772156,0.05938287262259406,0.06532117
14,0.06278616384716817,0.06159220445537361,0.880604,0.0011939593917945608,0.11939594,0.0,0.0,0.17088060079995138,0.17026308525095418,0.91925853,0.0006175155489972167,0.08074153,0.0,0.0,0.1506833003586115,0.1498830700930534,0.90035963,0.0008002302655580996,0.09964028,0.0,0.0
15,0.04278474301493013,0.04158570464333616,0.88009614,0.0011990383715939604,0.11990384,0.0,0.0,0.06874316740157245,0.06774219365514435,0.8810622,0.001000973746428108,0.118937634,0.0,0.0,0.09691200207919233,0.09572484425328158,0.83324015,0.001187157825910762,0.16675977,0.0,0.0
16,0.03344580446518139,0.03228939878360517,0.73072565,0.0011564056815762194,0.26927435,0.0,0.0,0.07051975583308466,0.06972599851477769,0.7247944,0.0007937573183069497,0.27520564,0.0,0.0,0.1231272363738615,0.12204618418779692,0.75117296,0.0010810521860645957,0.2488271,0.0,0.0
17,0.05160263530917175,0.05043280228213351,0.8830167,0.0011698330270382442,0.1169833,0.0,0.0,0.07313322518179614,0.07252390969376385,0.88149375,0.0006093154880322869,0.11850621,0.0,0.0,0.07491798527553344,0.0740328976624337,0.84311664,0.0008850876130997181,0.15688334,0.0,0.0
18,0.01741091353081443,0.016250981184925562,0.8840068,0.0011599323458888718,0.11599324,0.0,0.0,0.033179119347291404,0.03257327084585658,0.9015979,0.000605848501434825,0.09840204,0.0,0.0,0.10161117261948456,0.1009174458280569,0.88209945,0.0006937267914276694,0.1179005,0.0,0.0
19,0.010000000304169903,0.008811605304512193,0.88116056,0.0011883949996577075,0.1188395,0.0,0.0,0.10553687676040173,0.10491448603133834,0.9001955,0.0006223907290633868,0.09980439,0.0,0.0,0.14503423118663236,0.13563130880873078,0.86260456,0.0008947541720002899,0.12803648,0.008508168205901275,0.009358987
20,0.032292828111429465,0.03115853065198505,0.8865702,0.0011342974594444135,0.113429755,0.0,0.0,0.046608622179014146,0.04582430906252874,0.88433844,0.0007843131164854097,0.11566154,0.0,0.0,0.07991646567759186,0.07875864818931039,0.81799984,0.001157817488281492,0.18200018,0.0,0.0
21,0.04245098640201741,0.04169354257688962,0.92425555,0.0007574438251277837,0.07574438,0.0,0.0,0.14948835662759066,0.13159911030156113,0.8839649,0.0005875684552061796,0.097003296,0.017301677870823342,0.01903185,0.17887806632243983,0.11706796553565096,0.8346553,0.0004967430365922262,0.09789999,0.06131335775019669,0.067444704
22,0.01731431437494749,0.016550875002422687,0.92365605,0.0007634393725248027,0.07634394,0.0,0.0,0.05572561848260765,0.055132389191029384,0.94067705,0.0005932292915782677,0.05932293,0.0,0.0,0.11230338574829707,0.10286223220013005,0.88447773,0.000872167008241057,0.10609631,0.008568986539925974,0.009425887
23,0.47031967862422475,0.46914261084264774,0.8822932,0.0011770677815769307,0.117706776,0.0,0.0,0.38877567695645093,0.3702786148321276,0.86177313,0.0009951762969444865,0.118974805,0.01750188582737882,0.019252079,0.3299772801176899,0.2848086905600971,0.8028327,0.001096609983460824,0.14868799,0.044071979574131843,0.04847919
24,0.06848379940497107,0.06732543000183376,0.8841631,0.0011583694031373124,0.11583694,0.0,0.0,0.059703227287529956,0.05909730123378352,0.8827597,0.0006059260537464457,0.117240235,0.0,0.0,0.09924864596578291,0.09864680699735441,0.8719659,0.0006018389684284798,0.12803409,0.0,0.0
25,0.06201591706936835,0.060868419603844356,0.8852503,0.0011474974655239915,0.114749745,0.0,0.0,0.11861083787893316,0.11800983244737961,0.93989944,0.0006010054315535403,0.06010054,0.0,0.0,0.14078702376808164,0.12306894819723184,0.8559249,0.000882000462926144,0.12555552,0.016836075107923648,0.018519687
26,0.04268189235068126,0.04149271012409291,0.7642461,0.0011891822265883444,0.23575379,0.0,0.0,0.07371631593121433,0.07310112840718797,0.8007012,0.0006151875240263617,0.19929892,0.0,0.0,0.06833865869969631,0.06792302361962238,0.8389541,0.0004156350800739241,0.1610459,0.0,0.0
27,0.024370103796955176,0.02398992174852279,0.9237436,0.0003801820484323866,0.076256335,0.0,0.0,0.07285490798024373,0.07134258207737305,0.7901808,0.0015123259028706492,0.20981911,0.0,0.0,0.07580246784291728,0.07462261111212153,0.75672895,0.001179856730795742,0.24327101,0.0,0.0
