scenario_idx,pooled_k25,safety_barrier_k25,safety_barrier_mass_k25,propagation_node_k25,propagation_node_mass_k25,other_k25,other_mass_k25,pooled_k50,safety_barrier_k50,safety_barrier_mass_k50,propagation_node_k50,propagation_node_mass_k50,other_k50,other_mass_k50,pooled_k100,safety_barrier_k100,safety_barrier_mass_k100,propagation_node_k100,propagation_node_mass_k100,other_k100,other_mass_k100
0,0.04309853219901823,0.041550732609060795,0.8452201,0.0015477995899574296,0.15477996,0.0,0.0,0.0813542891149526,0.06692653010288353,0.880808,0.000810839926245938,0.08108399,0.01361691908582313,0.038107935,0.12464308605856526,0.08393466105058804,0.7955219,0.0012764026912605267,0.12764026,0.03943202231671668,0.076837875
1,0.07747865798440318,0.04914091165833795,0.84428066,0.0011690605332510355,0.116906054,0.0271686857928142,0.038813166,0.08525879664136157,0.07060307032446385,0.8043131,0.000604615166854474,0.060461514,0.014051111150043252,0.13522527,0.11711843197575753,0.10250627970729294,0.8220078,0.0006920717151873072,0.06920717,0.013920080553277286,0.10878514
2,0.042648851636327006,0.041483201443900206,0.88343495,0.0011656501924268052,0.11656502,0.0,0.0,0.09282230569790859,0.07854970130354835,0.90121794,0.0007952848588470661,0.07952848,0.013477319535513168,0.01925369,0.12606142291066982,0.0705320602145884,0.8066195,0.000979327431177705,0.09793275,0.05455003526490375,0.09544784
3,0.17874377871563685,0.17793227363432335,0.9188495,0.0008115050813134924,0.08115051,0.0,0.0,0.2342345733475159,0.22010800089033022,0.8995136,0.0006164550435881534,0.061645504,0.013510117413597523,0.038840882,0.17673767832543452,0.15349292031608053,0.8235261,0.0007905173098491748,0.079051726,0.02245424069950481,0.09742229
4,0.025267817631987596,0.02449239865866684,0.9224581,0.0007754189733207601,0.077541895,0.0,0.0,0.03418757730366003,0.020181349271138183,0.863907,0.0007931850753797952,0.07931851,0.013213042957142056,0.056774464,0.053649407491532144,0.04543979025576558,0.82435805,0.0012659080226196287,0.1265908,0.006943709213146946,0.04905105
5,0.11158449175513262,0.0838558154036234,0.806563,0.0011635659054088923,0.1163566,0.02656511044610031,0.07708039,0.17078459971791654,0.15636458160374098,0.87984896,0.0006051006986534397,0.060510073,0.013814917415522135,0.059640937,0.15008273589956775,0.13554456198107273,0.84193236,0.0005070689288935009,0.05070689,0.014031104989601514,0.10736076
6,0.049852102351278654,0.048717493368645004,0.88653904,0.0011346089826336496,0.11346089,0.0,0.0,0.05587022928343525,0.04193444949227234,0.8840883,0.0005927113844267219,0.059271134,0.013343068406736191,0.056640632,0.07956567546007136,0.06507777678078622,0.8731571,0.0006847363408692809,0.06847363,0.013803162338415864,0.058369253
7,0.009999999771917772,0.009216873282403972,0.9216873,0.000783126489513801,0.07831265,0.0,0.0,0.04680577836392173,0.032522165986332736,0.8624137,0.000602754992328787,0.0602755,0.01368085738526021,0.077310756,0.09787965565357819,0.08309095618191231,0.8424844,0.0008835684496129812,0.088356845,0.013905131022052894,0.0691588
8,0.03635723457898261,0.008464671858556806,0.84646726,0.001153331391363641,0.11533313,0.026739231329062165,0.03819965,0.0693595555563272,0.041253448045445756,0.8627765,0.0007938194888045636,0.07938195,0.02731228802207688,0.05784163,0.09484879543185369,0.07116002999072613,0.8424311,0.0008906779499939738,0.089067794,0.022798087491133587,0.06850107
9,0.02421340443241895,0.02382982528398853,0.9220352,0.00038357914843042235,0.038357913,3.540590254140945e-19,0.039606884,0.05927235782255229,0.05868090194811325,0.78842026,0.0005914558744390324,0.059145585,1.3626581423702498e-18,0.15243402,0.1034621209299318,0.0957258501261698,0.7182834,0.0010664360214502038,0.10664361,0.006669834782311802,0.17507301
10,0.09589540174468042,0.06673365619700246,0.8043614,0.001174614867872359,0.11746149,0.027987130679805603,0.07817707,0.09950638175440975,0.07074096681882912,0.80163616,0.0008061541885481562,0.08061542,0.027959260747032488,0.11774832,0.13809060902025666,0.12286787794842449,0.78214985,0.0006115444500128707,0.061154447,0.014611186621819294,0.15669566
11,0.01738293885592765,0.01621116629123674,0.8828228,0.0011717725646909103,0.117177255,0.0,0.0,0.05883260480780328,0.045012851981627584,0.86224824,0.000607675089532277,0.06076751,0.013212077736643417,0.07698425,0.07833067990616088,0.07080154701570764,0.87072307,0.000601485911944941,0.06014859,0.006927646978508307,0.069128335
12,0.010000000092628929,0.009228788336150241,0.9228788,0.0007712117564786897,0.077121176,0.0,0.0,0.042152555644322874,0.0413644274520996,0.9024336,0.0007881281922232724,0.07881282,1.6764426753325038e-19,0.01875356,0.0981128973639203,0.06851643603998936,0.8255411,0.0010768121116605757,0.10768122,0.028519649212270383,0.066777796
13,0.017474354856838337,0.017474354856838337,1.0,0.0,0.0,0.0,0.0,0.043258200523767776,0.029623006062785246,0.9225279,0.0005883338211287703,0.058833383,0.013046860639853766,0.018638736,0.13224594490089248,0.05194735260506973,0.8179202,0.000590169851917895,0.059016984,0.07970842244390483,0.123062804
14,0.06278616384716817,0.03452322847397204,0.84193325,0.0011939593917945608,0.11939594,0.027068975981401573,0.03867072,0.17088060079995138,0.14285844887828988,0.8801083,0.0006175155489972166,0.061751556,0.027404636372664284,0.058140226,0.1506833003586115,0.12892111856107347,0.8704135,0.0008002302655580995,0.08002303,0.020961951531979946,0.04956348
15,0.04278474301493013,0.04158570464333616,0.88009614,0.0011990383715939604,0.11990384,0.0,0.0,0.06874316740157245,0.05401486145936011,0.86145145,0.0010009737464281077,0.10009737,0.013727332195784241,0.03845111,0.09691200207919233,0.08183154044344716,0.8133923,0.0011871578259107615,0.11871579,0.013893303809834416,0.067891955
