corpus_unit,model,omitted_topic,omitted_role,target_coef,target_p_value,target_sign
publication,DeepSeek,0,PROPAGATION_NODE,0.10395522747213815,0.1659898554315693,1
publication,KimiMV,0,PROPAGATION_NODE,0.05843268730861643,0.5554551292865768,1
publication,DeepSeek,1,SAFETY_BARRIER,-0.31252142691653784,0.00017242353749690403,-1
publication,KimiMV,1,SAFETY_BARRIER,-0.11596553846066125,0.26800617607352684,-1
publication,DeepSeek,3,SAFETY_BARRIER,-0.3175910548728093,0.00015688337571565102,-1
publication,KimiMV,3,SAFETY_BARRIER,-0.11041811819458973,0.2922251372551653,-1
publication,DeepSeek,12,SAFETY_BARRIER,-0.31712736490995697,0.00015850799148662704,-1
publication,KimiMV,12,SAFETY_BARRIER,-0.110607808726431,0.29169845154258045,-1
publication,DeepSeek,22,SAFETY_BARRIER,-0.3718754969519763,0.0010250777069222199,-1
publication,KimiMV,22,SAFETY_BARRIER,-0.20759179268188016,0.050037771372441475,-1
publication,DeepSeek,25,SAFETY_BARRIER,-0.17570832215567578,0.062237966693218516,-1
publication,KimiMV,25,SAFETY_BARRIER,0.0072909672063549286,0.9514883090370692,1
publication,DeepSeek,27,SAFETY_BARRIER,-0.31814296721934254,0.00015343085902270025,-1
publication,KimiMV,27,SAFETY_BARRIER,-0.11392204799700766,0.2767043113813098,-1
publication,DeepSeek,28,PROPAGATION_NODE,0.10395522747214105,0.1659898554370841,1
publication,KimiMV,28,PROPAGATION_NODE,0.05843268730861528,0.5554551292902041,1
publication,DeepSeek,29,SAFETY_BARRIER,-0.297655492463859,0.0008336812976802362,-1
publication,KimiMV,29,SAFETY_BARRIER,-0.12346111911986263,0.2418731097614889,-1
publication,DeepSeek,32,PROPAGATION_NODE,-0.02824048957964226,0.7743125826885968,-1
publication,KimiMV,32,PROPAGATION_NODE,0.04599928059119564,0.6831501936788733,1
publication,DeepSeek,33,SAFETY_BARRIER,-0.3172940917728462,0.00015698534296641834,-1
publication,KimiMV,33,SAFETY_BARRIER,-0.110460585536204,0.2920058877548496,-1
publication,DeepSeek,37,SAFETY_BARRIER,-0.28441288051029456,0.00036179707805027915,-1
publication,KimiMV,37,SAFETY_BARRIER,-0.1468441273740744,0.16776170881974184,-1
publication,DeepSeek,40,SAFETY_BARRIER,-0.28925517431650727,0.000432255299422952,-1
publication,KimiMV,40,SAFETY_BARRIER,-0.07491500607762931,0.46407913053038485,-1
publication,DeepSeek,47,SAFETY_BARRIER,-0.31527421058423866,0.00016037239417808022,-1
publication,KimiMV,47,SAFETY_BARRIER,-0.11871297285806565,0.2568198787263656,-1
publication,DeepSeek,65,PROPAGATION_NODE,0.17509767772734558,0.011555644545699663,1
publication,KimiMV,65,PROPAGATION_NODE,0.05324209155189146,0.5955571693060426,1
publication,DeepSeek,74,PROPAGATION_NODE,0.0761174872321206,0.3002879056900598,1
publication,KimiMV,74,PROPAGATION_NODE,0.04579539959802806,0.628329474430196,1
publication,DeepSeek,76,SAFETY_BARRIER,-0.31716076973286633,0.00015820186748526958,-1
publication,KimiMV,76,SAFETY_BARRIER,-0.1106904497455582,0.29130939414432333,-1
family,DeepSeek,0,PROPAGATION_NODE,-0.029504179268776656,0.7303027071071673,-1
family,KimiMV,0,PROPAGATION_NODE,0.04677085815692909,0.6274577437613127,1
family,DeepSeek,1,SAFETY_BARRIER,-0.21590341180098577,0.009979576355683587,-1
family,KimiMV,1,SAFETY_BARRIER,-0.08160343177700127,0.42858068418433504,-1
family,DeepSeek,3,SAFETY_BARRIER,-0.2153024234905124,0.01083348686506761,-1
family,KimiMV,3,SAFETY_BARRIER,-0.07916033100869199,0.44388673921898647,-1
family,DeepSeek,12,SAFETY_BARRIER,-0.2149112968472462,0.010945793046964074,-1
family,KimiMV,12,SAFETY_BARRIER,-0.07942911754286083,0.442488388187363,-1
family,DeepSeek,22,SAFETY_BARRIER,0.20799035912197797,0.11437068709381923,1
family,KimiMV,22,SAFETY_BARRIER,0.3832220149245782,0.03129363810003525,1
family,DeepSeek,25,SAFETY_BARRIER,-0.2145970756454807,0.011210779676347987,-1
family,KimiMV,25,SAFETY_BARRIER,-0.07914775962691553,0.44468168489716686,-1
family,DeepSeek,27,SAFETY_BARRIER,-0.21577102990914376,0.01070749416171087,-1
family,KimiMV,27,SAFETY_BARRIER,-0.07876476077258718,0.44595760470508117,-1
family,DeepSeek,28,PROPAGATION_NODE,-0.029504179268891498,0.7303027071025694,-1
family,KimiMV,28,PROPAGATION_NODE,0.04677085815677068,0.6274577437589515,1
family,DeepSeek,29,SAFETY_BARRIER,-0.2153123616529881,0.010787165253742036,-1
family,KimiMV,29,SAFETY_BARRIER,-0.07949496988107177,0.44198936305015846,-1
family,DeepSeek,32,PROPAGATION_NODE,-0.06815308176667138,0.42179589883641166,-1
family,KimiMV,32,PROPAGATION_NODE,-0.035951630455727246,0.72773011918926,-1
family,DeepSeek,33,SAFETY_BARRIER,-0.21498607740981318,0.010919385712295235,-1
family,KimiMV,33,SAFETY_BARRIER,-0.07908817596046257,0.44410848954938065,-1
family,DeepSeek,37,SAFETY_BARRIER,-0.21516814409601875,0.010711964786104996,-1
family,KimiMV,37,SAFETY_BARRIER,-0.07904297532684139,0.444156334936639,-1
family,DeepSeek,40,SAFETY_BARRIER,-0.2144298404423848,0.01107464887529767,-1
family,KimiMV,40,SAFETY_BARRIER,-0.07893054580239359,0.4450398507199188,-1
family,DeepSeek,47,SAFETY_BARRIER,-0.21793791087226733,0.009772105516817883,-1
family,KimiMV,47,SAFETY_BARRIER,-0.08316207286436532,0.42181363897331237,-1
family,DeepSeek,65,PROPAGATION_NODE,-0.009401731925953293,0.9115251465181321,-1
family,KimiMV,65,PROPAGATION_NODE,-0.0097627365820868,0.9229669772882014,-1
family,DeepSeek,74,PROPAGATION_NODE,-0.010886588308721992,0.8964038204854616,-1
family,KimiMV,74,PROPAGATION_NODE,0.11235005374480254,0.22367384133184165,1
