model,corpus_unit,role_scope,k,contrast,estimate,std_error,z_value,p_value,ci_lower,ci_upper,q_value
DeepSeek,publication,all_reviewed_roles,25,propagation_minus_barrier,0.24552825462952,0.11746038462082925,2.0903069185589955,0.036590238190094215,0.01530590077269467,0.4757506084863453,0.05488535728514132
DeepSeek,publication,all_reviewed_roles,50,propagation_minus_barrier,0.42111599720500736,0.1070958645657562,3.93214060050325,8.419279660369235e-05,0.21120810265612522,0.6310238917538895,0.0005051567796221541
DeepSeek,publication,all_reviewed_roles,100,propagation_minus_barrier,0.3171636076317312,0.10420642615826951,3.0436089147709633,0.0023375880741413704,0.11291901236152294,0.5214082029019395,0.007012764222424112
KimiMV,publication,all_reviewed_roles,25,propagation_minus_barrier,0.08332722196666904,0.1401807308731821,0.5944270760155548,0.5522265033873197,-0.1914270105447679,0.35808145447810596,0.5522265033873197
KimiMV,publication,all_reviewed_roles,50,propagation_minus_barrier,0.16912313705417348,0.1300156641061914,1.3007904718006957,0.19333018427526483,-0.08570756459396167,0.4239538387023086,0.2319962211303178
KimiMV,publication,all_reviewed_roles,100,propagation_minus_barrier,0.29186038550155247,0.1257166380783608,2.3215732616046583,0.02025592503039252,0.04545577486796529,0.5382649961351397,0.04051185006078504
DeepSeek,family,all_reviewed_roles,25,propagation_minus_barrier,0.3151783074770196,0.09516820048292504,3.311802743749142,0.0009269688152924574,0.1286486345304865,0.5017079804235527,0.0027809064458773724
DeepSeek,family,all_reviewed_roles,50,propagation_minus_barrier,0.18580818238409658,0.11125725096604712,1.6700770580858635,0.09490411857201342,-0.03225602950935577,0.40387239427754895,0.14235617785802013
DeepSeek,family,all_reviewed_roles,100,propagation_minus_barrier,0.40987720899963054,0.10398096016699798,3.941848664806997,8.085598944732134e-05,0.2060745270723145,0.6136798909269465,0.00048513593668392805
KimiMV,family,all_reviewed_roles,25,propagation_minus_barrier,0.11949438842765034,0.11846690035850835,1.008673208010276,0.3131313849185656,-0.11270073627502603,0.3516895131303267,0.33030641506074176
KimiMV,family,all_reviewed_roles,50,propagation_minus_barrier,0.12626582803784245,0.12970337339899868,0.9734968700422192,0.33030641506074176,-0.12795278382419498,0.3804844398998799,0.33030641506074176
KimiMV,family,all_reviewed_roles,100,propagation_minus_barrier,0.36300962920179547,0.13935353707640338,2.6049545409297226,0.009188645040049053,0.08987669653204483,0.6361425618715462,0.018377290080098106
DeepSeek,publication,direct_partial_only,50,propagation_minus_barrier,0.38667239534553327,0.10987923398016022,3.519067082460283,0.0004330671898369964,0.17130909674441924,0.6020356939466474,
KimiMV,publication,direct_partial_only,50,propagation_minus_barrier,0.19301120369206215,0.13271293819338334,1.4543510702085043,0.14584899815161428,-0.06710615516696922,0.4531285625510935,
DeepSeek,family,direct_partial_only,50,propagation_minus_barrier,0.18580818238418675,0.11125725096657442,1.6700770580787587,0.09490411857341899,-0.0322560295102991,0.4038723942786726,
KimiMV,family,direct_partial_only,50,propagation_minus_barrier,0.12626582803799324,0.12970337339912666,0.9734968700424212,0.3303064150606414,-0.12795278382429498,0.38048443990028147,
