model,corpus_unit,role_scope,k,term,coef_log_odds_per_sd,std_error,odds_ratio_per_sd,ci_lower,ci_upper,or_ci_lower,or_ci_upper,p_value,n_observations,n_scenarios,converged,q_value
DeepSeek,publication,all_reviewed_roles,25,z_safety_barrier_k25,-0.3640256724076174,0.10207242255797742,0.6948733554418993,-0.564083944436007,-0.16396740037922788,0.5688810347770883,0.8487696909992524,0.0003619920657549319,1276,319,True,0.0010859761972647956
DeepSeek,publication,all_reviewed_roles,25,z_propagation_node_k25,-0.11849741777809741,0.07546173047806523,0.8882541093230593,-0.2663996917261738,0.029404856169978955,0.7661328493356429,1.0298414477508486,0.11634575818467333,1276,319,True,0.4251187664925993
DeepSeek,publication,all_reviewed_roles,25,z_other_k25,0.1408407330199164,0.04442162116931432,1.1512412786609927,0.05377595539317828,0.2279055106466545,1.0552481530109508,1.255966644349335,0.0015215345084162622,1276,319,True,
DeepSeek,publication,all_reviewed_roles,50,z_safety_barrier_k50,-0.31716076973286633,0.08395319806502119,0.7282136709968061,-0.4817060143272656,-0.15261552513846705,0.6177286384422411,0.8584597145502558,0.00015820186748526958,1276,319,True,0.0009492112049116176
DeepSeek,publication,all_reviewed_roles,50,z_propagation_node_k50,0.10395522747214105,0.07504682915505899,1.1095507764104269,-0.04313385482570507,0.25104430976998715,0.9577831775859934,1.2853670373871733,0.1659898554370841,1276,319,True,0.4251187664925993
DeepSeek,publication,all_reviewed_roles,50,z_other_k50,0.10392529278266446,0.07256051886690386,1.109517562849598,-0.03829071089600619,0.24614129646133512,0.9624331104264097,1.2790802902929008,0.152070356418989,1276,319,True,
DeepSeek,publication,all_reviewed_roles,100,z_safety_barrier_k100,-0.29034790063703764,0.08755574998482002,0.7480032914844672,-0.4619540172466783,-0.11874178402739702,0.6300513107698311,0.8880370765167654,0.0009126719976977461,1276,319,True,0.0018253439953954923
DeepSeek,publication,all_reviewed_roles,100,z_propagation_node_k100,0.026815706994693544,0.08739413049032432,1.027178483509206,-0.14447364122653594,0.19810505521592303,0.8654777250337414,1.2190904589059626,0.7589678429986667,1276,319,True,0.7589678429986667
DeepSeek,publication,all_reviewed_roles,100,z_other_k100,0.07013456887504774,0.0767054544732,1.0726525171849914,-0.08020535931020104,0.2204744970602965,0.9229267953142114,1.2466681306306433,0.3605402480987989,1276,319,True,
KimiMV,publication,all_reviewed_roles,25,z_safety_barrier_k25,-0.15500050155822107,0.1231645846110183,0.8564147479416483,-0.3963986515666531,0.08639764845021097,0.672738454234723,1.0902397742764571,0.20821723236393197,1232,308,True,0.24986067883671836
KimiMV,publication,all_reviewed_roles,25,z_propagation_node_k25,-0.07167327959155202,0.09280325504549224,0.9308349689162982,-0.25356431712880184,0.11021775794569781,0.7760298313093894,1.1165211753463717,0.4399283066085108,1232,308,True,0.6598924599127662
KimiMV,publication,all_reviewed_roles,25,z_other_k25,-0.10157291970655777,0.09835078700643939,0.903415300161717,-0.29433692009034884,0.09119108067723333,0.7450254351157919,1.0954783099981518,0.30171546121634674,1232,308,True,
KimiMV,publication,all_reviewed_roles,50,z_safety_barrier_k50,-0.1106904497455582,0.10489465138322976,0.8952158203280204,-0.3162801886275731,0.0948992891364567,0.7288552046158387,1.0995481131097558,0.29130939414432333,1232,308,True,0.29130939414432333
KimiMV,publication,all_reviewed_roles,50,z_propagation_node_k50,0.05843268730861528,0.09910471027367299,1.0601736201530134,-0.13580897552606044,0.252674350143291,0.873009382719603,1.287463946111272,0.5554551292902041,1232,308,True,0.6665461551482449
KimiMV,publication,all_reviewed_roles,50,z_other_k50,-0.13927492441337802,0.10227939436650482,0.8699888144124199,-0.3397388537322964,0.06118900490554033,0.7119562231984073,1.0630998262821578,0.1732892688138027,1232,308,True,
KimiMV,publication,all_reviewed_roles,100,z_safety_barrier_k100,-0.17364741313606746,0.10782940793621112,0.8405932275442917,-0.3849891691653188,0.037694342893183824,0.680458006092848,1.038413785812544,0.10731271622551186,1232,308,True,0.1609690743382678
KimiMV,publication,all_reviewed_roles,100,z_propagation_node_k100,0.11821297236548498,0.09483145892429377,1.125483782788277,-0.06765327172752031,0.30407921645849023,0.9345844642623824,1.355376419957033,0.21255938324629964,1232,308,True,0.4251187664925993
KimiMV,publication,all_reviewed_roles,100,z_other_k100,0.08602426355032872,0.09459196704305663,1.089832771196622,-0.09937258508086202,0.27142111218151943,0.9054053046630717,1.311827380574162,0.3631260316135356,1232,308,True,
DeepSeek,family,all_reviewed_roles,25,z_safety_barrier_k25,-0.28628990229216544,0.08982738163314573,0.7510448547587637,-0.4623483351186658,-0.11023146946566509,0.6298029192535509,0.8956268010446066,0.001437012482383276,1276,319,True,0.004311037447149829
DeepSeek,family,all_reviewed_roles,25,z_propagation_node_k25,0.028888405184854117,0.07624266220919937,1.0293097224374848,-0.12054446683062969,0.1783212772003379,0.8864376693952803,1.1952092530398652,0.7047615351760614,1276,319,True,0.7303027071025694
DeepSeek,family,all_reviewed_roles,25,z_other_k25,0.15238347864976498,0.055861138087665345,1.1646067526369333,0.04289765986252224,0.2618692974370077,1.0438310635695927,1.2993567020791361,0.0063739342261767895,1276,319,True,
DeepSeek,family,all_reviewed_roles,50,z_safety_barrier_k50,-0.2153123616529881,0.08445215234409265,0.8062895469028176,-0.3808355386642996,-0.04978918464167659,0.6832902552077916,0.9514299794119728,0.010787165253742036,1276,319,True,0.02157433050748407
DeepSeek,family,all_reviewed_roles,50,z_propagation_node_k50,-0.029504179268891498,0.08558810574302313,0.9709268198684609,-0.1972537840302226,0.13824542549243957,0.8209822546868569,1.1482573273151335,0.7303027071025694,1276,319,True,0.7303027071025694
DeepSeek,family,all_reviewed_roles,50,z_other_k50,0.03633903598559747,0.08332844224413172,1.037007369713708,-0.1269817097007267,0.1996597816719216,0.8807497816269279,1.2209872852356376,0.6627685102579259,1276,319,True,
DeepSeek,family,all_reviewed_roles,100,z_safety_barrier_k100,-0.358663336100983,0.0851039581901271,0.6986095083658906,-0.5254640290954347,-0.1918626431065313,0.5912809291440768,0.8254202378651511,2.5042724885148148e-05,1276,319,True,0.0001502563493108889
