condition,speed_mps,delay_ms,offset_m,rescue_c1,rescue_c2,n,n_propagated,rate,wilson_lo,wilson_hi,local_pass_rate,min_margin_median_m,min_margin_p05_m,stop_latency_median_s,peak_force_median_n,peak_force_max_n,n_contained,n_ordinary_failure,n_breach_unordered,n_unresolved
C0,0.15,0,0.0,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.019082572904862843,0.015862166798098647,,0.0,0.0,50,0,0,0
C0,0.3,0,0.0,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.017077853492188128,0.01217474187869411,,0.0,0.0,50,0,0,0
C0,0.45,0,0.0,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.014615079907415507,0.009295541047856648,,0.0,0.0,50,0,0,0
C1,0.15,25,0.0,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.013082572904862949,0.009862166798098752,0.029999999999996696,0.0,0.0,50,0,0,0
C1,0.15,50,0.0,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.010082572904863002,0.006862166798098805,0.04999999999999449,0.0,0.0,50,0,0,0
C1,0.15,75,0.0,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.007082572904863055,0.003862166798098858,0.07999999999999119,0.0,0.0,50,0,0,0
C1,0.15,100,0.0,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.004082572904863108,0.0008621667980989109,0.09999999999998899,0.0,0.0,50,0,0,0
C1,0.15,150,0.0,False,False,50,41,0.82,0.6920394632569922,0.9022980732976582,1.0,-0.004917427095136734,-0.00813783320190093,0.14999999999998348,0.0,0.0,0,0,9,0
C1,0.15,200,0.0,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,-0.010917427095136628,-0.014137833201900825,0.19999999999997797,0.0,0.0,0,0,50,0
C1,0.3,25,0.0,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.005077853492188339,0.00017474187869432063,0.029999999999996696,0.0,0.0,50,0,0,0
C1,0.3,50,0.0,False,False,50,27,0.54,0.40398871399157477,0.6703034780777566,1.0,-0.0009221465078115554,-0.005825258121305574,0.04999999999999449,0.0,0.0,23,0,0,0
C1,0.3,75,0.0,False,False,50,50,1.0,0.9286524008666414,1.0,1.0,-0.00692214650781145,-0.011825258121305467,0.07999999999999119,0.0,0.0,0,0,0,0
C1,0.3,100,0.0,False,False,50,50,1.0,0.9286524008666414,1.0,1.0,-0.012922146507811344,-0.01782525812130536,0.09999999999998899,0.0,0.0,0,0,0,0
