family,kind,speed_mps,delay_ms,b,c,mcnemar_p,risk_diff,rd_ci_lo,rd_ci_hi,fisher_p_sensitivity,bh_q,offset_m,trend_Z,trend_p
C1,c1_vs_c0,0.15,25.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,
C1,c1_vs_c0,0.15,50.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,
C1,c1_vs_c0,0.15,75.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,
C1,c1_vs_c0,0.15,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,
C1,c1_vs_c0,0.15,150.0,41.0,0.0,9.094947017729282e-13,0.82,0.7,0.92,2.4909314704048044e-19,2.7284841053187847e-12,,,
C1,c1_vs_c0,0.15,200.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,
C1,c1_vs_c0,0.3,25.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,
C1,c1_vs_c0,0.3,50.0,27.0,0.0,1.4901161193847656e-08,0.54,0.4,0.68,1.1270041776509601e-10,3.3527612686157227e-08,,,
C1,c1_vs_c0,0.3,75.0,50.0,0.0,1.7763568394002505e-15,1.0,1.0,1.0,1.9823306042836675e-29,6.394884621840902e-15,,,
C1,c1_vs_c0,0.3,100.0,50.0,0.0,1.7763568394002505e-15,1.0,1.0,1.0,1.9823306042836675e-29,6.394884621840902e-15,,,
C1,c1_vs_c0,0.3,150.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,
C1,c1_vs_c0,0.3,200.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,
C1,c1_vs_c0,0.45,25.0,36.0,0.0,2.9103830456733704e-11,0.72,0.6,0.84,9.486581861777759e-16,7.48384211744581e-11,,,
C1,c1_vs_c0,0.45,50.0,50.0,0.0,1.7763568394002505e-15,1.0,1.0,1.0,1.9823306042836675e-29,6.394884621840902e-15,,,
C1,c1_vs_c0,0.45,75.0,50.0,0.0,1.7763568394002505e-15,1.0,1.0,1.0,1.9823306042836675e-29,6.394884621840902e-15,,,
C1,c1_vs_c0,0.45,100.0,50.0,0.0,1.7763568394002505e-15,1.0,1.0,1.0,1.9823306042836675e-29,6.394884621840902e-15,,,
C1,c1_vs_c0,0.45,150.0,15.0,0.0,6.103515625e-05,0.3,0.18,0.44,1.776934678042219e-05,0.0001220703125,,,
C1,c1_vs_c0,0.45,200.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,
C2,c2_vs_c0,0.15,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-0.06,,
C2,c2_vs_c0,0.15,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-0.03,,
C2,c2_vs_c0,0.15,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.03,,
C2,c2_vs_c0,0.15,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.06,,
C2,c2_vs_c0,0.3,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-0.06,,
C2,c2_vs_c0,0.3,,50.0,0.0,1.7763568394002505e-15,1.0,1.0,1.0,1.9823306042836675e-29,1.0658141036401503e-14,-0.03,,
C2,c2_vs_c0,0.3,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.03,,
C2,c2_vs_c0,0.3,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.06,,
C2,c2_vs_c0,0.45,,49.0,0.0,3.552713678800501e-15,0.98,0.94,1.0,1.0109886081846705e-27,1.4210854715202004e-14,-0.06,,
C2,c2_vs_c0,0.45,,50.0,0.0,1.7763568394002505e-15,1.0,1.0,1.0,1.9823306042836675e-29,1.0658141036401503e-14,-0.03,,
C2,c2_vs_c0,0.45,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.03,,
C2,c2_vs_c0,0.45,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.06,,
C4,rescue_c1,0.15,25.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,
C4,rescue_c1,0.15,50.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,
C4,rescue_c1,0.15,75.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,
C4,rescue_c1,0.15,100.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,
C4,rescue_c1,0.15,150.0,41.0,0.0,9.094947017729282e-13,0.82,0.7,0.92,,2.7284841053187847e-12,,,
C4,rescue_c1,0.15,200.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,
C4,rescue_c1,0.3,25.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,
C4,rescue_c1,0.3,50.0,27.0,0.0,1.4901161193847656e-08,0.54,0.4,0.68,,3.3527612686157227e-08,,,
C4,rescue_c1,0.3,75.0,50.0,0.0,1.7763568394002505e-15,1.0,1.0,1.0,,6.394884621840902e-15,,,
C4,rescue_c1,0.3,100.0,50.0,0.0,1.7763568394002505e-15,1.0,1.0,1.0,,6.394884621840902e-15,,,
C4,rescue_c1,0.3,150.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,
C4,rescue_c1,0.3,200.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,
C4,rescue_c1,0.45,25.0,36.0,0.0,2.9103830456733704e-11,0.72,0.6,0.84,,7.48384211744581e-11,,,
C4,rescue_c1,0.45,50.0,50.0,0.0,1.7763568394002505e-15,1.0,1.0,1.0,,6.394884621840902e-15,,,
C4,rescue_c1,0.45,75.0,50.0,0.0,1.7763568394002505e-15,1.0,1.0,1.0,,6.394884621840902e-15,,,
C4,rescue_c1,0.45,100.0,50.0,0.0,1.7763568394002505e-15,1.0,1.0,1.0,,6.394884621840902e-15,,,
C4,rescue_c1,0.45,150.0,15.0,0.0,6.103515625e-05,0.3,0.18,0.44,,0.0001220703125,,,
C4,rescue_c1,0.45,200.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,
C4,rescue_c2,0.15,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,-0.06,,
C4,rescue_c2,0.15,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,-0.03,,
C4,rescue_c2,0.15,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.03,,
C4,rescue_c2,0.15,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.06,,
C4,rescue_c2,0.3,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,-0.06,,
C4,rescue_c2,0.3,,50.0,0.0,1.7763568394002505e-15,1.0,1.0,1.0,,1.0658141036401503e-14,-0.03,,
C4,rescue_c2,0.3,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.03,,
C4,rescue_c2,0.3,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.06,,
C4,rescue_c2,0.45,,49.0,0.0,3.552713678800501e-15,0.98,0.94,1.0,,1.4210854715202004e-14,-0.06,,
C4,rescue_c2,0.45,,50.0,0.0,1.7763568394002505e-15,1.0,1.0,1.0,,1.0658141036401503e-14,-0.03,,
C4,rescue_c2,0.45,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.03,,
C4,rescue_c2,0.45,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.06,,
C1,trend_cochran_armitage,0.15,,,,,,,,,,,6.711907807204885,1.920952286127431e-11
C1,trend_cochran_armitage,0.3,,,,,,,,,,,-1.3382251192932892,0.1808230630211045
C1,trend_cochran_armitage,0.45,,,,,,,,,,,-4.684840477880975,2.8017805966396025e-06
