trial_id,condition,speed,delay_ms,offset_m,seed,rescue_c1,rescue_c2,c3_fault,speed_mps,config_sha256,initial_gap_m,t_start_s,perception_ok,planner_ok,monitor_ok,controller_ok,no_fault_flags,all_pass,nan_or_unstable,label,ordered_events,margin_breach,t_mismatch_s,trigger_t_s,breach_start_t_s,positive_cmd_during_delay,pos_cmd_runs_json,min_margin_m,peak_contact_force_n,gate_violations,first_gate_violation_t_s,reconciliation_logged,c3_fault_start_t_s,t_final_s,baseline_trigger_t_s,stop_latency_s
T0000,C0,0.15,0,0.0,2000,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8030054527543055,0.10625698437171549,True,True,True,True,True,True,False,CONTAINED,False,False,,4.061999999999775,,False,"[(0.1220000000000001, 4.059999999999775)]",0.017635452754319436,0,0,,False,,4.1359999999997665,,
T0001,C0,0.15,0,0.0,2001,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7969467920998143,0.08814898057116742,True,True,True,True,True,True,False,CONTAINED,False,False,,3.981999999999783,,False,"[(0.10200000000000008, 3.9799999999997833)]",0.0205767920998276,0,0,,False,,4.055999999999775,,
T0002,C0,0.15,0,0.0,2002,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8155503742941208,0.11842844910122304,True,True,True,True,True,True,False,CONTAINED,False,False,,4.121999999999768,,False,"[(0.1220000000000001, 4.119999999999768)]",0.021180374294136106,0,0,,False,,4.19599999999976,,
T0003,C0,0.15,0,0.0,2003,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7917851899824734,0.11524635688352662,True,True,True,True,True,True,False,CONTAINED,False,False,,4.001999999999781,,False,"[(0.1220000000000001, 3.999999999999781)]",0.015415189982486172,0,0,,False,,4.075999999999773,,
T0004,C0,0.15,0,0.0,2004,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8056081206603932,0.09163625115989077,True,True,True,True,True,True,False,CONTAINED,False,False,,4.041999999999777,,False,"[(0.10200000000000008, 4.039999999999777)]",0.02023812066040745,0,0,,False,,4.115999999999769,,
T0005,C0,0.15,0,0.0,2005,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8087098800885579,0.09935483591218101,True,True,True,True,True,True,False,CONTAINED,False,False,,4.0819999999997725,,False,"[(0.10200000000000008, 4.079999999999773)]",0.01733988008857254,0,0,,False,,4.155999999999764,,
T0006,C0,0.15,0,0.0,2006,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8148790546334592,0.10236286484297535,True,True,True,True,True,True,False,CONTAINED,False,False,,4.141999999999766,,False,"[(0.1220000000000001, 4.139999999999766)]",0.01750905463347452,0,0,,False,,4.215999999999758,,
T0007,C0,0.15,0,0.0,2007,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.810394875271181,0.09929178544331645,True,True,True,True,True,True,False,CONTAINED,False,False,,4.10199999999977,,False,"[(0.10200000000000008, 4.0999999999997705)]",0.016024875271195865,0,0,,False,,4.175999999999762,,
T0008,C0,0.15,0,0.0,2008,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8158063004135472,0.10743808115605875,True,True,True,True,True,True,False,CONTAINED,False,False,,4.141999999999766,,False,"[(0.1220000000000001, 4.139999999999766)]",0.018436300413562562,0,0,,False,,4.215999999999758,,
T0009,C0,0.15,0,0.0,2009,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7884783102283679,0.10405825161735721,True,True,True,True,True,True,False,CONTAINED,False,False,,3.9619999999997852,,False,"[(0.1220000000000001, 3.9599999999997855)]",0.018108310228380275,0,0,,False,,4.0359999999997775,,
T0010,C0,0.15,0,0.0,2010,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7897396498151904,0.10337277553749558,True,True,True,True,True,True,False,CONTAINED,False,False,,3.9619999999997852,,False,"[(0.1220000000000001, 3.9599999999997855)]",0.019369649815202894,0,0,,False,,4.0359999999997775,,
T0011,C0,0.15,0,0.0,2011,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8099000000367622,0.09007591927072212,True,True,True,True,True,True,False,CONTAINED,False,False,,4.0819999999997725,,False,"[(0.10200000000000008, 4.079999999999773)]",0.018530000036776934,0,0,,False,,4.155999999999764,,
T0012,C0,0.15,0,0.0,2012,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.789512751771736,0.08292894093741042,True,True,True,True,True,True,False,CONTAINED,False,False,,3.9419999999997875,,False,"[(0.10200000000000008, 3.9399999999997877)]",0.01914275177174843,0,0,,False,,4.01599999999978,,
T0013,C0,0.15,0,0.0,2013,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7908453791260267,0.09047304222016159,True,True,True,True,True,True,False,CONTAINED,False,False,,3.9619999999997852,,False,"[(0.10200000000000008, 3.9599999999997855)]",0.017475379126039303,0,0,,False,,4.0359999999997775,,
T0014,C0,0.15,0,0.0,2014,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8167433611245867,0.10857002910916988,True,True,True,True,True,True,False,CONTAINED,False,False,,4.141999999999766,,False,"[(0.1220000000000001, 4.139999999999766)]",0.01937336112460214,0,0,,False,,4.215999999999758,,
T0015,C0,0.15,0,0.0,2015,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8001628881859826,0.08889580491419458,True,True,True,True,True,True,False,CONTAINED,False,False,,4.001999999999781,,False,"[(0.10200000000000008, 3.999999999999781)]",0.0207928881859962,0,0,,False,,4.075999999999773,,
T0016,C0,0.15,0,0.0,2016,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8186875540037776,0.09358703521697766,True,True,True,True,True,True,False,CONTAINED,False,False,,4.141999999999766,,False,"[(0.10200000000000008, 4.139999999999766)]",0.01831755400379323,0,0,,False,,4.215999999999758,,
T0017,C0,0.15,0,0.0,2017,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.817677091792478,0.10139056452629175,True,True,True,True,True,True,False,CONTAINED,False,False,,4.161999999999764,,False,"[(0.1220000000000001, 4.159999999999764)]",0.01730709179249365,0,0,,False,,4.2359999999997555,,
T0018,C0,0.15,0,0.0,2018,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7994961317005199,0.08716973069253682,True,True,True,True,True,True,False,CONTAINED,False,False,,4.021999999999779,,False,"[(0.10200000000000008, 4.019999999999779)]",0.01712613170053348,0,0,,False,,4.095999999999771,,
T0019,C0,0.15,0,0.0,2019,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.785787985588478,0.09768854383740702,True,True,True,True,True,True,False,CONTAINED,False,False,,3.9419999999997875,,False,"[(0.10200000000000008, 3.9399999999997877)]",0.015417985588490085,0,0,,False,,4.01599999999978,,
T0020,C0,0.15,0,0.0,2020,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7987323017328916,0.10057368924581626,True,True,True,True,True,True,False,CONTAINED,False,False,,4.021999999999779,,False,"[(0.1220000000000001, 4.019999999999779)]",0.01936230173290504,0,0,,False,,4.095999999999771,,
T0021,C0,0.15,0,0.0,2021,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8102779131173867,0.11765527465844795,True,True,True,True,True,True,False,CONTAINED,False,False,,4.10199999999977,,False,"[(0.1220000000000001, 4.0999999999997705)]",0.018907913117401448,0,0,,False,,4.175999999999762,,
T0022,C0,0.15,0,0.0,2022,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.789897042538104,0.08371960246701945,True,True,True,True,True,True,False,CONTAINED,False,False,,3.9419999999997875,,False,"[(0.10200000000000008, 3.9399999999997877)]",0.019527042538116463,0,0,,False,,4.01599999999978,,
T0023,C0,0.15,0,0.0,2023,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7835221781905114,0.08881760177349057,True,True,True,True,True,True,False,CONTAINED,False,False,,3.9219999999997897,,False,"[(0.10200000000000008, 3.91999999999979)]",0.016152178190523253,0,0,,False,,3.9959999999997815,,
T0024,C0,0.15,0,0.0,2024,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8070332535192514,0.0885729280495303,True,True,True,True,True,True,False,CONTAINED,False,False,,4.061999999999775,,False,"[(0.10200000000000008, 4.059999999999775)]",0.018663253519265732,0,0,,False,,4.1359999999997665,,
T0025,C0,0.15,0,0.0,2025,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8197783122067105,0.09528038963668592,True,True,True,True,True,True,False,CONTAINED,False,False,,4.141999999999766,,False,"[(0.10200000000000008, 4.139999999999766)]",0.019408312206726286,0,0,,False,,4.215999999999758,,
T0026,C0,0.15,0,0.0,2026,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7871573925470174,0.10559652662860619,True,True,True,True,True,True,False,CONTAINED,False,False,,3.9619999999997852,,False,"[(0.1220000000000001, 3.9599999999997855)]",0.016787392547029656,0,0,,False,,4.0359999999997775,,
T0027,C0,0.15,0,0.0,2027,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7803202184162308,0.09543530203540339,True,True,True,True,True,True,False,CONTAINED,False,False,,3.901999999999792,,False,"[(0.10200000000000008, 3.899999999999792)]",0.01595021841624225,0,0,,False,,3.9759999999997837,,
T0028,C0,0.15,0,0.0,2028,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7954700926092027,0.10370226895769075,True,True,True,True,True,True,False,CONTAINED,False,False,,4.001999999999781,,False,"[(0.1220000000000001, 3.999999999999781)]",0.019100092609215774,0,0,,False,,4.075999999999773,,
T0029,C0,0.15,0,0.0,2029,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8119647070605372,0.0815364767823116,True,True,True,True,True,True,False,CONTAINED,False,False,,4.0819999999997725,,False,"[(0.10200000000000008, 4.079999999999773)]",0.020594707060552164,0,0,,False,,4.155999999999764,,
T0030,C0,0.15,0,0.0,2030,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7958523197198362,0.11224317685757487,True,True,True,True,True,True,False,CONTAINED,False,False,,4.001999999999781,,False,"[(0.1220000000000001, 3.999999999999781)]",0.019482319719849317,0,0,,False,,4.075999999999773,,
T0031,C0,0.15,0,0.0,2031,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7954243525546194,0.10119909925680591,True,True,True,True,True,True,False,CONTAINED,False,False,,4.021999999999779,,False,"[(0.1220000000000001, 4.019999999999779)]",0.016054352554632584,0,0,,False,,4.095999999999771,,
T0032,C0,0.15,0,0.0,2032,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8006693967560362,0.10449057070516544,True,True,True,True,True,True,False,CONTAINED,False,False,,4.041999999999777,,False,"[(0.1220000000000001, 4.039999999999777)]",0.018299396756049885,0,0,,False,,4.115999999999769,,
T0033,C0,0.15,0,0.0,2033,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7834350532004981,0.10716253948526198,True,True,True,True,True,True,False,CONTAINED,False,False,,3.9219999999997897,,False,"[(0.1220000000000001, 3.91999999999979)]",0.019065053200509913,0,0,,False,,3.9959999999997815,,
T0034,C0,0.15,0,0.0,2034,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7821556515010136,0.11161165316890741,True,True,True,True,True,True,False,CONTAINED,False,False,,3.901999999999792,,False,"[(0.1220000000000001, 3.899999999999792)]",0.020785651501025265,0,0,,False,,3.9759999999997837,,
T0035,C0,0.15,0,0.0,2035,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.786803986032521,0.11249397853681042,True,True,True,True,True,True,False,CONTAINED,False,False,,3.9419999999997875,,False,"[(0.1220000000000001, 3.9399999999997877)]",0.019433986032533157,0,0,,False,,4.01599999999978,,
T0036,C0,0.15,0,0.0,2036,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8189342653395623,0.09613438368255466,True,True,True,True,True,True,False,CONTAINED,False,False,,4.121999999999768,,False,"[(0.10200000000000008, 4.119999999999768)]",0.02156426533957792,0,0,,False,,4.19599999999976,,
T0037,C0,0.15,0,0.0,2037,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8159728042300509,0.09244486982705116,True,True,True,True,True,True,False,CONTAINED,False,False,,4.10199999999977,,False,"[(0.10200000000000008, 4.0999999999997705)]",0.02160280423006622,0,0,,False,,4.175999999999762,,
T0038,C0,0.15,0,0.0,2038,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8063500029495926,0.11939689460506749,True,True,True,True,True,True,False,CONTAINED,False,False,,4.061999999999775,,False,"[(0.1220000000000001, 4.059999999999775)]",0.020980002949606863,0,0,,False,,4.1359999999997665,,
T0039,C0,0.15,0,0.0,2039,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8047207709297616,0.11654742399412817,True,True,True,True,True,True,False,CONTAINED,False,False,,4.041999999999777,,False,"[(0.1220000000000001, 4.039999999999777)]",0.022350770929775665,0,0,,False,,4.115999999999769,,
T0040,C0,0.15,0,0.0,2040,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8075192745553561,0.1065864587383118,True,True,True,True,True,True,False,CONTAINED,False,False,,4.10199999999977,,False,"[(0.1220000000000001, 4.0999999999997705)]",0.016149274555370602,0,0,,False,,4.175999999999762,,
