trial_id,condition,speed,delay_ms,offset_m,seed,rescue_c1,rescue_c2,c3_fault,exec_order
T0000,C0,0.15,0.0,0.0,2000,False,False,False,3223
T0001,C0,0.15,0.0,0.0,2001,False,False,False,2968
T0002,C0,0.15,0.0,0.0,2002,False,False,False,1074
T0003,C0,0.15,0.0,0.0,2003,False,False,False,2100
T0004,C0,0.15,0.0,0.0,2004,False,False,False,2866
T0005,C0,0.15,0.0,0.0,2005,False,False,False,2534
T0006,C0,0.15,0.0,0.0,2006,False,False,False,358
T0007,C0,0.15,0.0,0.0,2007,False,False,False,324
T0008,C0,0.15,0.0,0.0,2008,False,False,False,825
T0009,C0,0.15,0.0,0.0,2009,False,False,False,1009
T0010,C0,0.15,0.0,0.0,2010,False,False,False,2787
T0011,C0,0.15,0.0,0.0,2011,False,False,False,130
T0012,C0,0.15,0.0,0.0,2012,False,False,False,1380
T0013,C0,0.15,0.0,0.0,2013,False,False,False,2427
T0014,C0,0.15,0.0,0.0,2014,False,False,False,1587
T0015,C0,0.15,0.0,0.0,2015,False,False,False,673
T0016,C0,0.15,0.0,0.0,2016,False,False,False,3253
T0017,C0,0.15,0.0,0.0,2017,False,False,False,1426
T0018,C0,0.15,0.0,0.0,2018,False,False,False,2770
T0019,C0,0.15,0.0,0.0,2019,False,False,False,914
T0020,C0,0.15,0.0,0.0,2020,False,False,False,36
T0021,C0,0.15,0.0,0.0,2021,False,False,False,2101
T0022,C0,0.15,0.0,0.0,2022,False,False,False,1214
T0023,C0,0.15,0.0,0.0,2023,False,False,False,556
T0024,C0,0.15,0.0,0.0,2024,False,False,False,206
T0025,C0,0.15,0.0,0.0,2025,False,False,False,2148
T0026,C0,0.15,0.0,0.0,2026,False,False,False,792
T0027,C0,0.15,0.0,0.0,2027,False,False,False,3289
T0028,C0,0.15,0.0,0.0,2028,False,False,False,1761
T0029,C0,0.15,0.0,0.0,2029,False,False,False,2369
T0030,C0,0.15,0.0,0.0,2030,False,False,False,227
T0031,C0,0.15,0.0,0.0,2031,False,False,False,2603
T0032,C0,0.15,0.0,0.0,2032,False,False,False,1195
T0033,C0,0.15,0.0,0.0,2033,False,False,False,2453
T0034,C0,0.15,0.0,0.0,2034,False,False,False,188
T0035,C0,0.15,0.0,0.0,2035,False,False,False,1806
T0036,C0,0.15,0.0,0.0,2036,False,False,False,1017
T0037,C0,0.15,0.0,0.0,2037,False,False,False,1716
T0038,C0,0.15,0.0,0.0,2038,False,False,False,2310
T0039,C0,0.15,0.0,0.0,2039,False,False,False,1036
T0040,C0,0.15,0.0,0.0,2040,False,False,False,2756
T0041,C0,0.15,0.0,0.0,2041,False,False,False,570
T0042,C0,0.15,0.0,0.0,2042,False,False,False,1232
T0043,C0,0.15,0.0,0.0,2043,False,False,False,1581
