review_priority,bertopic_id,bertopic_name,source_subsystem,target_subsystem,evidence_type_proposal,evidence_strength_proposal,evidence_patent_number,evidence_location,source_mention,target_mention,exact_evidence_excerpt,evidence_status,evidence_selection_reason,evidence_source_file,supporting_patent_numbers,standard_clauses,rationale,human_coimplementation_decision,reviewer_confidence,reviewer_note
1,22,22_force_external force_human robot_robot,PERCEPTION,SAFETY_MONITORING,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN105690383A;CN107765686A;CN108297056A;CN108297056B;CN108789408A,ISO 10218-1:2025 5.10.4;ISO 10218-2:2025 5.14.6;ISO/TS 15066:2016 5.5.5,"PERCEPTION <-> SAFETY_MONITORING: CO_IMPLEMENTATION (undirected, same topic patents)",,,
1,22,22_force_external force_human robot_robot,EMERGENCY_FAILSAFE,PERCEPTION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN105690383A;CN107765686A;CN108297056A;CN108297056B;CN108789408A,ISO 10218-1:2025 5.10.4;ISO 10218-2:2025 5.14.6;ISO/TS 15066:2016 5.5.5,"PERCEPTION <-> EMERGENCY_FAILSAFE: CO_IMPLEMENTATION (undirected, same topic patents)",,,
1,22,22_force_external force_human robot_robot,ACTUATION_MECHANICS,SAFETY_MONITORING,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN105690383A;CN107765686A;CN108297056A;CN108297056B;CN108789408A,ISO 10218-1:2025 5.10.4;ISO 10218-2:2025 5.14.6;ISO/TS 15066:2016 5.5.5,"ACTUATION_MECHANICS <-> SAFETY_MONITORING: CO_IMPLEMENTATION (undirected, same topic patents)",,,
1,22,22_force_external force_human robot_robot,ACTUATION_MECHANICS,EMERGENCY_FAILSAFE,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN105690383A;CN107765686A;CN108297056A;CN108297056B;CN108789408A,ISO 10218-1:2025 5.10.4;ISO 10218-2:2025 5.14.6;ISO/TS 15066:2016 5.5.5,"ACTUATION_MECHANICS <-> EMERGENCY_FAILSAFE: CO_IMPLEMENTATION (undirected, same topic patents)",,,
1,22,22_force_external force_human robot_robot,EMERGENCY_FAILSAFE,SAFETY_MONITORING,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN105690383A;CN107765686A;CN108297056A;CN108297056B;CN108789408A,ISO 10218-1:2025 5.10.4;ISO 10218-2:2025 5.14.6;ISO/TS 15066:2016 5.5.5,"SAFETY_MONITORING <-> EMERGENCY_FAILSAFE: CO_IMPLEMENTATION (undirected, same topic patents)",,,
1,22,22_force_external force_human robot_robot,HRI_INTERFACE,SAFETY_MONITORING,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN105690383A;CN107765686A;CN108297056A;CN108297056B;CN108789408A,ISO 10218-1:2025 5.10.4;ISO 10218-2:2025 5.14.6;ISO/TS 15066:2016 5.5.5,"SAFETY_MONITORING <-> HRI_INTERFACE: CO_IMPLEMENTATION (undirected, same topic patents)",,,
1,22,22_force_external force_human robot_robot,SAFETY_MONITORING,SYSTEM_INTEGRATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN105690383A;CN107765686A;CN108297056A;CN108297056B;CN108789408A,ISO 10218-1:2025 5.10.4;ISO 10218-2:2025 5.14.6;ISO/TS 15066:2016 5.5.5,"SAFETY_MONITORING <-> SYSTEM_INTEGRATION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
1,22,22_force_external force_human robot_robot,EMERGENCY_FAILSAFE,HRI_INTERFACE,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN105690383A;CN107765686A;CN108297056A;CN108297056B;CN108789408A,ISO 10218-1:2025 5.10.4;ISO 10218-2:2025 5.14.6;ISO/TS 15066:2016 5.5.5,"EMERGENCY_FAILSAFE <-> HRI_INTERFACE: CO_IMPLEMENTATION (undirected, same topic patents)",,,
1,22,22_force_external force_human robot_robot,EMERGENCY_FAILSAFE,SYSTEM_INTEGRATION,CO_IMPLEMENTATION,WEAK,,,,,,INSUFFICIENT,,,CN105690383A;CN107765686A;CN108297056A;CN108297056B;CN108789408A,ISO 10218-1:2025 5.10.4;ISO 10218-2:2025 5.14.6;ISO/TS 15066:2016 5.5.5,"EMERGENCY_FAILSAFE <-> SYSTEM_INTEGRATION: CO_IMPLEMENTATION (undirected, same topic patents)",,,
1,29,29_module_intelligent_service_display,EMERGENCY_FAILSAFE,PERCEPTION,CO_IMPLEMENTATION,WEAK,CN112578716B,CLAIM,emergency stop,radar,"1. A humanoid robot control system for shoes and clothes display, comprising a power supply module, a chassis control module, a network control module, a model motion control module and a visual voice module, further comprising a PC end software system; the power supply module comprises a power supply and a power supply electric quantity display device; the chassis control module comprises an industrial computer, a chassis control plate, a laser radar, a lamp belt controller, a coulometer, an anti-collision switch, an emergency stop switch, an ultrasonic wave, an IR receiver, a motor driver and a motor; the network control module comprises a switch and a router; the visual voice module comprises a camera, a core plate, a microphone bottom plate, a microphone array, a",FOUND,BERTopic_representative,topic_summary.csv,CN103759734A;CN104375417B;CN106891338A;CN112578716B;CN113858158A,ISO 13482:2014 5.14;ISO 10218-2:2025 5.7.8;ISO 13482:2014 6.11,"PERCEPTION <-> EMERGENCY_FAILSAFE: CO_IMPLEMENTATION (undirected, same topic patents)",,,
