bertopic_id,bertopic_name,proposed_safety,subsystem_id,proposed_role,supporting_patent_numbers,evidence_patent_number,evidence_location,exact_evidence_excerpt,evidence_status,human_subsystem_decision,human_role_judgment,reviewer_confidence,reviewer_note
0,0_leg_end_wheel_connected,PARTIAL,PERCEPTION,SECONDARY,CN109733500A;CN112429112A;CN115609629B;CN116142349A;CN116215692B;CN116607905A;CN116946390B;CN119503044A;CN122324149A;CN201020717Y,CN119503044A,CLAIM,"1. A wheel-leg type robot based on stable control technology, wherein it comprises : a fixed frame; a control box mounted on the fixed frame; an obstacle avoiding detection module, a signal receiving module, an IMU module and a controller, which are all installed in the control box; a power supply mounted on the fixed frame; a pair of leg connecting rod mechanisms symmetrically arranged under the fixed framework; each leg connecting rod mechanism comprises a front servo motor, a rear servo motor and a connecting rod mechanism; the connecting rod mechanism comprises a first connecting rod mechanism and a second connecting rod mechanism, the first connecting rod mechanism comprises a front upper end connecting rod connected with the output of the front servo motor and a front lo",FOUND,,,,
0,0_leg_end_wheel_connected,PARTIAL,PLANNING_DECISION,CONTEXT_ONLY,CN109733500A;CN112429112A;CN115609629B;CN116142349A;CN116215692B;CN116607905A;CN116946390B;CN119503044A;CN122324149A;CN201020717Y,CN201020717Y,CLAIM,"[CLAIM 1] A modularized embedded motion controller for multi-legged robot, wherein said controller includes PC module (1), main body control module (2) and leg unit control module (3) lies on each leg; PC module (1) includes operating software module (11) and the first communication module (12), operating software module (11) is used to achieve environmental identification, route plan and pace plan function, and it delivers calculated data to the first communication module (12); the first communication module (12) had function of processing main body bus and it connects main body control module (2) and PC module (1) together through USB bus; main body control module (2) includes the second communication module (21), status display module (22) and main body controller (23); the se",FOUND,,,,
0,0_leg_end_wheel_connected,PARTIAL,MOTION_CONTROL,SECONDARY,CN109733500A;CN112429112A;CN115609629B;CN116142349A;CN116215692B;CN116607905A;CN116946390B;CN119503044A;CN122324149A;CN201020717Y,CN119503044A,CLAIM,"1. A wheel-leg type robot based on stable control technology, wherein it comprises : a fixed frame; a control box mounted on the fixed frame; an obstacle avoiding detection module, a signal receiving module, an IMU module and a controller, which are all installed in the control box; a power supply mounted on the fixed frame; a pair of leg connecting rod mechanisms symmetrically arranged under the fixed framework; each leg connecting rod mechanism comprises a front servo motor, a rear servo motor and a connecting rod mechanism; the connecting rod mechanism comprises a first connecting rod mechanism and a second connecting rod mechanism, the first connecting rod mechanism comprises a front upper end connecting rod connected with the output of the front servo motor and a front lo",FOUND,,,,
0,0_leg_end_wheel_connected,PARTIAL,ACTUATION_MECHANICS,PRIMARY,CN109733500A;CN112429112A;CN115609629B;CN116142349A;CN116215692B;CN116607905A;CN116946390B;CN119503044A;CN122324149A;CN201020717Y,CN119503044A,CLAIM,"1. A wheel-leg type robot based on stable control technology, wherein it comprises : a fixed frame; a control box mounted on the fixed frame; an obstacle avoiding detection module, a signal receiving module, an IMU module and a controller, which are all installed in the control box; a power supply mounted on the fixed frame; a pair of leg connecting rod mechanisms symmetrically arranged under the fixed framework; each leg connecting rod mechanism comprises a front servo motor, a rear servo motor and a connecting rod mechanism; the connecting rod mechanism comprises a first connecting rod mechanism and a second connecting rod mechanism, the first connecting rod mechanism comprises a front upper end connecting rod connected with the output of the front servo motor and a front lo",FOUND,,,,
0,0_leg_end_wheel_connected,PARTIAL,EMERGENCY_FAILSAFE,CONTEXT_ONLY,CN109733500A;CN112429112A;CN115609629B;CN116142349A;CN116215692B;CN116607905A;CN116946390B;CN119503044A;CN122324149A;CN201020717Y,,,,NO_DIRECT_EVIDENCE,,,,
0,0_leg_end_wheel_connected,PARTIAL,HRI_INTERFACE,SECONDARY,CN109733500A;CN112429112A;CN115609629B;CN116142349A;CN116215692B;CN116607905A;CN116946390B;CN119503044A;CN122324149A;CN201020717Y,CN122324149A,ABSTRACT,"The invention relates to the field of fully autonomous robots, specifically an unmanned autonomous small hexapod robot that can climb columns and a column climbing method. A column-climbing unmanned autonomous small six-legged robot, including a body; six machine legs are installed on the machine body, and the six machine legs are paired in pairs and respectively installed at the front end, middle part and rear end of the machine body; the paired robot legs have at least four movement postures : holding column posture, releasing posture, moving forward posture and retreating posture, and each robot leg can move independently; the body is equipped with a central control system that can receive wireless signals for remote control and/or autonomously control the movement of the six ro",FOUND,,,,
0,0_leg_end_wheel_connected,PARTIAL,SYSTEM_INTEGRATION,SECONDARY,CN109733500A;CN112429112A;CN115609629B;CN116142349A;CN116215692B;CN116607905A;CN116946390B;CN119503044A;CN122324149A;CN201020717Y,,,,INSUFFICIENT,,,,
1,1_humanoid robot_humanoid_joint_robot,PARTIAL,PERCEPTION,CONTEXT_ONLY,CN106737671B;CN111055285A;CN112859901B;CN115616898B;CN116520869A;CN118331283B;CN121916894A;CN122353585A;CN1807135A;JP2010137289A,CN1807135A,CLAIM,"1. A quasi-magneto imitating automotive vehicle intelligent control of the active suspension component posture coordinated method, comprising the steps of : (1) using an acceleration sensor and an inclination sensor on-line extraction of the car body motion gesture signal; (2) a method of using the humanoid intelligent control, determining a motion gesture; (3) adopt different control modes for different motion gesture; (4) determining a control parameter so that the vertical vibration, pitch and roll motion in each of the resonant frequency has a minimum pass characteristic, thereby adjusting the magneto-rheological damper damping force, causing the car to obtain good ride comfort and steering stability;",FOUND,,,,
1,1_humanoid robot_humanoid_joint_robot,PARTIAL,STATE_ESTIMATION,CONTEXT_ONLY,CN106737671B;CN111055285A;CN112859901B;CN115616898B;CN116520869A;CN118331283B;CN121916894A;CN122353585A;CN1807135A;JP2010137289A,CN122353585A,ABSTRACT,"The invention relates to a dual-arm humanoid robot trajectory tracking method based on an improved terminal sliding mode algorithm The method aims at the problems that the controller is easy to induce high-frequency vibration and the robustness is reduced due to neglect of joint flexibility in the prior art, and the instantaneous vibration frequency and damping characteristic parameters of the system are extracted on line by establishing a state space model containing flexibility dynamics Using these characteristic parameters to dynamically construct an adaptive non-singular terminal sliding mode surface with frequency avoidance and damping injection capabilities; combined with linear expansion state observer, the lumped disturbance of the system is estimated in real time and feedforward",FOUND,,,,
1,1_humanoid robot_humanoid_joint_robot,PARTIAL,PLANNING_DECISION,SECONDARY,CN106737671B;CN111055285A;CN112859901B;CN115616898B;CN116520869A;CN118331283B;CN121916894A;CN122353585A;CN1807135A;JP2010137289A,CN106737671B,CLAIM,"[CLAIM 1] 1. The seven-freedom imitated double layer humanoid motion planning method of mechanical arm, the method comprising first layer motion planning and second layer motion planning, first layer motion planning is the mechanical arm task space in the complex environment of anthropomorphic path planning, the second layer motion planning is imitated human arm configuration programming human-like mechanical arm along the end arm configuration without available space of the collision path; the method comprises : step one, in the task space of the humanoid mechanical arm, end effector is planning of the humanoid mechanical arm with a strip from its initial position to a target position of the humanoid collision-free path; step three, step two, using the smoothing spline path smoo",FOUND,,,,
1,1_humanoid robot_humanoid_joint_robot,PARTIAL,MOTION_CONTROL,SECONDARY,CN106737671B;CN111055285A;CN112859901B;CN115616898B;CN116520869A;CN118331283B;CN121916894A;CN122353585A;CN1807135A;JP2010137289A,CN118331283B,CLAIM,"1. A reaction-type step planning and motion control method for human-shaped robot, wherein it comprises the following steps : obtaining the external control speed, calculating the motion step length and direction of the humanoid robot; establishing a human-shaped robot linear inverted pendulum model, based on the periodic motion characteristic and track energy conservation of the linear inverted pendulum model, combining with the condition of the stability recovery of the disturbed linear inverted pendulum model, obtaining the footprint compensation of the disturbed human-shaped robot; based on the motion step length and direction of the human-shaped robot, combining the footprint compensation, generating a plurality of foot-standing points of the human-shaped robot, based on a",FOUND,,,,
1,1_humanoid robot_humanoid_joint_robot,PARTIAL,ACTUATION_MECHANICS,PRIMARY,CN106737671B;CN111055285A;CN112859901B;CN115616898B;CN116520869A;CN118331283B;CN121916894A;CN122353585A;CN1807135A;JP2010137289A,CN115616898B,CLAIM,"1. A variable-load standing method of humanoid robot based on model reference self-adaptive control, wherein it comprises the following steps : step one : constructing a simplified humanoid robot dynamics model, deducing dynamics equation, specifically realized by the following method : the humanoid robot with two legs standing side by side is equivalently simplified into a three-connecting-rod model; deducing the dynamic equation of the three-link model based on the Lagrange equation; converting the form of the dynamic equation to obtain a three-link model joint moment expression related to the dynamic parameter; step two : Designing the model reference adaptive control algorithm under the parallel standing of the two legs of the humanoid robot, specifically realized by the fol",FOUND,,,,
1,1_humanoid robot_humanoid_joint_robot,PARTIAL,EMERGENCY_FAILSAFE,CONTEXT_ONLY,CN106737671B;CN111055285A;CN112859901B;CN115616898B;CN116520869A;CN118331283B;CN121916894A;CN122353585A;CN1807135A;JP2010137289A,,,,NO_DIRECT_EVIDENCE,,,,
