item_no,topic_id,topic_label,rep_patent_numbers,rep_patent_titles,rep_abstract_excerpts,human_safety_judgment,human_harm_link,cascade_role,plausible_cascade_path,scope_limitation,reviewer_confidence,reviewer_note
1,47,47_fault_health_state_data,CN121200084B;CN120029227B;US11511431B2;CN121580141B;CN120533752A;CN119717618B;CN118927306A;EP1842630A1,,"1. A human-shaped robot state monitoring method, wherein it is applied to the controller in the human-shaped robot, the method comprises : obtaining the multi-modal information data of the humanoid robot, the multi-modal information data is used for representing the multi-dimensional physical information sensed by the humanoid robot in the current anthropomorphic functional scene, the multi-modal information data comprises energy state data, an external environment data and posture dynamics data, the energy state data is used for representing the energy using condition of the humanoid robot, the external environment data is used for representing the external environment condition of the humanoid robot, the posture dynamics data is used for representing the body movement condition",,,,,,,
2,3,3_foot_robot_foot robot_leg,CN120295284A;CN121979265B;CN117182904B;CN118061197B;CN107045552B;CN116339362B;CN119328772B;CN121133868A;WO2012011182A1;CN122299574A,,"1. A combined eight-foot robot multi-constraint motion planning method, wherein it comprises : The combined eight-foot robot is divided into front and back four-foot robots : a first four-foot robot and a second four-foot robot; taking the structured step terrain as the obstacle terrain, dividing the swinging phase into climbing legs and non-climbing legs, establishing a double-arc reference curve under the condition of multi-constraint of the foot end track of the climbing leg, on the basis of the double-arc reference curve, establishing a control point distance collision-free inequality constraint, setting the number of control points on the double-circular arc reference curve, so that the control point distance satisfies the non-collision inequality constraint of the control p",,,,,,,
3,65,65_social_reasoning_instruction_remote,CN120620231B;CN117103261B;CN121989231A;CN121290419A;CN120572534A;CN121290419B;CN120416181A;KR1020100003097A;CN122231896A,,,,,,,,,
4,71,71_moving_double mechanical_mechanical_double,CN119927945A;CN105751200B;CN105751199B;CN115958575B;CN115958575A,A large-load explosion-proof humanoid robot ||| All-hydraulic autonomous mobile mechanical movements of the arm method ||| All-hydraulic autonomous mobile mechanical movements of the arm method ||| Humanoid dexterity to operate mobile robots ||| Human-like dexterous operation mobile robot,"CN119927945A | The invention belongs to the technical field of humanoid robots, and specifically relates to a large-load explosion-proof humanoid robot, which includes modular components and a multi-modal sensing network; the modular components include : a mobile chassis assembly for providing omni-directional mov ||| CN105751200B | The invention discloses an action method of a fully hydraulic autonomous moving mechanical arm, and belongs to the technical field of a mechanical arm. The fully hydraulic autonomous moving mechanical arm comprises an omnibearing moving platform, wherein double mechanical arms, a power system, a vis ||| CN105751199B | The invention discloses an action method of a fully hydraulic autonomous moving mechanical arm, and belongs to the technical field of a mechanical arm. The fully hydraulic autonomous moving mechanical arm comprises an omnibearing moving platform, wherein double mechanical arms, a power system, a vis ||| CN115958575B | The present invention provides a humanoid dexterous operation mobile robot, involving the field of robotics, comprising : a support chassis, a mobile unit, a camera unit, a lidar unit, a torso unit and a control unit, a mobile unit, a camera unit, a lidar unit and a torso unit are connected to the s ||| CN115958575A | The present invention provides a human-like dexterous operation mobile robot, Relates to the field of robot technology, The system comprises a support chassis, a mobile unit, a camera unit, a laser radar unit, a trunk unit and a control unit, wherein the mobile unit, the camera unit, the laser radar",,,,,,,
5,28,28_tobacco_robotic_operation_shelf,CN118544362B;CN120717223B;CN120717223A;EP4025394A1;IN202311074144A;US10668623B2;CN121403406A;IN202511040243A;CN202794402U;CN121973246A,,"1. A human-guided visual-force fusion mechanical arm impedance iterative learning control method, wherein the method comprises the following steps : S100 : obtaining the coordinate conversion relation between the camera carried on the actuator at the tail end of the mechanical arm and the tail end of the mechanical arm by hand-eye calibration, solving the coordinate relation between the six-dimensional force sensor and the tail end of the mechanical arm by geometric relation; S200 : according to the coordinate conversion relation between the camera and the mechanical arm end, deducing the visual servo acceleration model, combining the human-mechanical arm interactive dynamic equation and the coordinate conversion relation between the mechanical arm end and the six-dimensional force",,,,,,,
6,76,76_elements_elements articulation_articulation_given,JP6556167B2;JP2017516672A;IN201617039124A;KR1020170021800A;JP6449337B2;FR3021572A1;DE102007022973A1,,,,,,,,,
7,54,54_unmanned_aerial_unmanned aerial_unmanned boat,KR1020210127558A;CN111580550A;CN112937911A;CN105035287A;CN113342011A,"Multi-agent based personal and robot collaboration system and method ||| Unmanned aerial vehicle humanoid intelligent control method ||| Fault detection method and device of unmanned aerial vehicle,  storage medium and processor ||| Underwater remain exploring method based on data communication ||| Method for controlling gliding course of manta ray imitating aircraft based on transverse rolling mechanism","KR1020210127558A | The present invention relates to a multi-agent-based human and robot collaboration system to enhance survivability and combat power of combatants. According to the present invention, the multi-agent-based human and robot collaboration system comprises : a plurality of autonomous driving robots formi ||| CN111580550A | The invention provides a humanoid intelligent control method for an unmanned aerial vehicle. The method comprises steps of determining an unmanned aerial vehicle flight mathematical model; designing ahumanoid intelligent controller; the humanoid intelligent control comprising a three-layer structure ||| CN112937911A | The invention discloses a fault detection method and device of an unmanned aerial vehicle, a storage medium and a processor. The method comprises the following steps : acquiring an imitated flight state of an unmanned aerial vehicle from a flight log of the unmanned aerial vehicle; determining wheth ||| CN105035287A | The invention relates to an underwater remain exploring method based on data communication. The method comprises the steps that 1, an underwater remain exploring system based on data communication is provided and comprises an underwater robot body, a remain detection device and an overwater processi ||| CN113342011A | The invention relates to a method for controlling the gliding course of a manta ray imitating aircraft based on a transverse rolling mechanism. The method comprises the steps that an attitude sensor is used for obtaining course deviation and deviation change rate of a current course angle and an exp",,,,,,,
8,23,23_image_vehicle_images_camera,CN205628635U;CN221281612U;CN106353769A;CN103075999A;CN110683240A,Portable article X -ray safety inspection device ||| Safety detection and early warning device for non-motor vehicles and pedestrians ||| Humanoid target identification method using multi-line laser radar and anti-collision device of automobile ||| Real-time multi-target position detection method and system based on image ||| Garbage classification processing system based on image processing,"CN205628635U | The utility model relates to a portable article X -ray safety inspection device. Fixation cabinet on the chassis of automobile body, box internal fixation X ray security installations and the supervisory equipment who is connected with X ray security installations electricity, X ray security install ||| CN221281612U | The utility model discloses a safety detection and early warning device for non-motor vehicles and pedestrians, which mainly relates to the field of safety monitoring Including solid-state lidar (2) connected to the vehicle central control system (1); the solid-state lidar (2) includes a stator (3)  ||| CN106353769A | The invention provides a humanoid target identification method using multi-line laser radar and anti-collision device of automobile. The method comprises obtaining detection data of the multi-line laser radar. The detection data package shall include coordinates data of several point clouds of at le ||| CN103075999A | The invention provides a real-time multi-target position detection method and a system based on an image and relates to a real-time visual detection technology. The invention solves the problem that a traditional real-time visual detection technology can not satisfy continuous real-time high-precisi ||| CN110683240A | The invention discloses a garbage classification processing system based on image processing. The garbage classification processing system based on image processing comprises an image collecting module, an image processing module, an image comparison module, and a garbage classifying module. The ima",,,,,,,
9,26,26_face_image_video_frame,CN121686550A;TW202103488A;TW201340706A;CN114040140A;TW201216711A,"A multi-target tracking face snapshot method and related equipment ||| The invention discloses a multi-camera monitoring and tracking system and a method thereof ||| METHOD FOR GENERATING PANORAMIC IMAGE AND IMAGE CAPTURING DEVICE THEREOF ||| Video matting method,  video matting device,  video matting system and storage medium ||| TOF image capturing device and image monitoring method using the TOF image capturing device","CN121686550A | The invention provides a multi-target tracking human face snapshot method and related equipment. The method comprises the following steps of : acquiring tracking targets in a current frame image, and assigning an identification number to each tracking target; the face identification number of the i- ||| TW202103488A | A multi-camera monitoring and tracking system and method, comprising : capturing a plurality of target images for a target character, and obtaining a plurality of target feature values according to the target images respectively capturing a video by the plurality of image input devices when judging  ||| TW201340706A | A method for generating a panoramic image and an image capturing device thereof are provided. The method includes the following steps. First, a first original image and a second original image are obtained. A first overlapping area of the first original image and a second overlapping area of the sec ||| CN114040140A | The invention provides a video matting method, a video matting device, a video matting system and a storage medium. The method comprises the following steps of : coding an initial video to obtain a video code stream and dividing the video code stream into three paths; Processing the first path of vi ||| TW201216711A | The present invention provides a TOF (Time of Flight) image capturing device installed on an orbital system. The TOF image capturing device includes : a model creating module constructs a plurality of 3D models of human beings by collecting character data of the human beings; a capturing module cont",,,,,,,
10,15,15_point_point cloud_cloud_map,CN121541648B;CN120125755B;CN116147642B;US20210276185A1;EP4114622A1;CN114663754B;CN110954100A;CN113865556B;JP2009042145A;CN121682451B,,"The invention discloses a building model reconstruction method and system based on a quadruped robot and machine vision. Based on the quadruped robot equipped with a laser scanner, a global map of an area to be reconstructed is generated by using synchronous positioning and map construction technology. Combine three-dimensional ray tracing and A * path search algorithm to determine the target scanning point and perform global path planning. Based on the high-precision sensor carried by the quadruped robot, the adaptive Monte Carlo positioning and improved dynamic window method algorithm are used to achieve the precise positioning and obstacle avoidance of the quadruped robot in complex environments. After moving to the target scanning point, the robot stops and starts the laser scanner",,,,,,,
