item_no,pair_id,bertopic_id,mechanism_label,mechanism_summary,representative_evidence,scope_limitation,standard,clause_id,clause_title,clause_level,normative_text_checked,requirement_type,mapping_judgment,confidence,reviewer_comment
1,T25_ISO_10218-1_5.9,25,Shared-workspace state-dependent motion control,"Human presence and workspace/tactile state are used to assign a hazard state and select robot speed, force, or operating behavior near a person.","[CLAIM 1] 1. A work station having a programmable industrial robot (4), wherein said work station (1) of the industrial robot (4) has a manual station near the worker (5), wherein said work station (1) is designed for human collaboration, MRK, wherein the industrial robot (4) and the working space of the worker (5) crossing the working space, and can have physical contact between the said industrial robot (4) and said worker (5). wherein said work station (1) is divided into a plurality of different areas (17, 18, 19, 20), the regions with different degree, from dangerous degree of the industrial robot (4), and wherein the industrial robot (4) is designed to be suitable to the MRK, wherein s",证据主要是工业机器人和协作工作站，不应被表述为人形机器人发生率证据。,ISO 10218-1:2025,5.9,Lasers and laser equipment,2,Y,NONE,NONE,HIGH,"ISO 10218-1:2025 clause 5.9 addresses laser and laser equipment hazards, which are entirely unrelated to the shared-workspace state-dependent motion control mechanism described. The mechanism concerns human presence detection, hazard-zone partitioning, and adaptive speed/force control in collaborative robot workstations. There is no defensible normative correspondence between this mechanism and laser safety requirements."
2,T25_ISO_10218-1_5.5.3,25,Shared-workspace state-dependent motion control,"Human presence and workspace/tactile state are used to assign a hazard state and select robot speed, force, or operating behavior near a person.","[CLAIM 1] 1. A work station having a programmable industrial robot (4), wherein said work station (1) of the industrial robot (4) has a manual station near the worker (5), wherein said work station (1) is designed for human collaboration, MRK, wherein the industrial robot (4) and the working space of the worker (5) crossing the working space, and can have physical contact between the said industrial robot (4) and said worker (5). wherein said work station (1) is divided into a plurality of different areas (17, 18, 19, 20), the regions with different degree, from dangerous degree of the industrial robot (4), and wherein the industrial robot (4) is designed to be suitable to the MRK, wherein s",证据主要是工业机器人和协作工作站，不应被表述为人形机器人发生率证据。,ISO 10218-1:2025,5.5.3,Speed limit(s) monitoring,2,Y,SAFEGUARD,PARTIAL,MEDIUM,"The mechanism addresses zone-based hazard state assignment and speed/force selection based on human presence, which aligns with the general intent of speed limiting near persons. However, ISO 10218-1:2025 clause 5.5.3 normatively specifies monitoring requirements for speed limits (e.g., how speed is measured, monitored, and enforced as a safety function), whereas the patent claim focuses on area partitioning and behavioral mode selection without explicitly addressing the monitoring architecture, safety-rated speed feedback, or stop response required by a speed limit monitoring clause. The correspondence is real but incomplete because the patent does not address the monitoring/verification aspect of the speed limit function."
3,T22_ISO_10218-2_5.14.6,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 10218-2:2025,5.14.6,Power and force limiting (PFL),2,Y,SAFEGUARD,PARTIAL,MEDIUM,"The mechanism addresses contact-force detection and protective response (reduce force or stop), which aligns with PFL intent. However, ISO 10218-2:2025 clause 5.14.6 on Power and Force Limiting normatively requires compliance with specific biomechanical limits (body-region force/pressure thresholds per ISO/TS 15066 or successor tables) and validated limiting parameters. The patent evidence describes threshold-based stopping/force-reduction logic and distinguishes guidance from abnormal contact, but does not demonstrate that the threshold values are set to or validated against the normative biomechanical injury-risk limits required by PFL. The distinction between intended guidance and abnormal contact also introduces a mode-switching element not straightforwardly addressed in the PFL clause, which focuses on limiting contact forces regardless of intent. These gaps prevent a DIRECT mapping."
4,T22_ISO_13482_6.7,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 13482:2014,6.7,Safety-related force control,2,N,SAFEGUARD,INSUFFICIENT,LOW,"ISO 13482:2014 clause 6.7 is cited by title only. The normative text of that clause is not known to this reviewer, and its specific requirements for safety-related force control — including any prescribed force thresholds, response times, or architectural constraints — cannot be inferred from the title alone. A judgment of DIRECT or PARTIAL would require access to the actual normative language to verify correspondence."
5,T25_ISO_13482_6.4,25,Shared-workspace state-dependent motion control,"Human presence and workspace/tactile state are used to assign a hazard state and select robot speed, force, or operating behavior near a person.","[CLAIM 1] 1. A work station having a programmable industrial robot (4), wherein said work station (1) of the industrial robot (4) has a manual station near the worker (5), wherein said work station (1) is designed for human collaboration, MRK, wherein the industrial robot (4) and the working space of the worker (5) crossing the working space, and can have physical contact between the said industrial robot (4) and said worker (5). wherein said work station (1) is divided into a plurality of different areas (17, 18, 19, 20), the regions with different degree, from dangerous degree of the industrial robot (4), and wherein the industrial robot (4) is designed to be suitable to the MRK, wherein s",证据主要是工业机器人和协作工作站，不应被表述为人形机器人发生率证据。,ISO 13482:2014,6.4,Safety-related speed control,2,N,SAFEGUARD,INSUFFICIENT,LOW,"ISO 13482:2014 clause 6.4 normative text is not known to this reviewer with sufficient certainty to judge correspondence. The clause title suggests speed control requirements for personal care robots, but the specific normative conditions, thresholds, and triggers required by 6.4 cannot be reliably recalled. The mechanism involves zone-based speed/force modulation in an industrial MRK context, which may or may not align with 13482's personal care robot scope and the specific speed control obligations in 6.4. Judgment would require access to the actual normative text."
6,T22_ISO_13482_5.2,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 13482:2014,5.2,Hazards related to charging battery,2,Y,NONE,NONE,HIGH,"ISO 13482:2014 clause 5.2 addresses hazards related to charging a battery, which has no normative correspondence to contact-force detection or protective stop mechanisms. The mechanism concerns physical human-robot interaction safety, not battery charging hazards."
7,T25_ISO_10218-2_5.10.2,25,Shared-workspace state-dependent motion control,"Human presence and workspace/tactile state are used to assign a hazard state and select robot speed, force, or operating behavior near a person.","[CLAIM 1] 1. A work station having a programmable industrial robot (4), wherein said work station (1) of the industrial robot (4) has a manual station near the worker (5), wherein said work station (1) is designed for human collaboration, MRK, wherein the industrial robot (4) and the working space of the worker (5) crossing the working space, and can have physical contact between the said industrial robot (4) and said worker (5). wherein said work station (1) is divided into a plurality of different areas (17, 18, 19, 20), the regions with different degree, from dangerous degree of the industrial robot (4), and wherein the industrial robot (4) is designed to be suitable to the MRK, wherein s",证据主要是工业机器人和协作工作站，不应被表述为人形机器人发生率证据。,ISO 10218-2:2025,5.10.2,Prevention of falling hazards,2,Y,HAZARD,NONE,HIGH,"ISO 10218-2:2025 clause 5.10.2 addresses prevention of falling hazards (e.g., dropped loads, tipping robots, or objects falling on persons). The mechanism describes shared-workspace state-dependent motion control based on human presence and proximity zones — this is a speed/force/behavior modulation safeguard for contact hazards, not a falling hazard prevention measure. There is no defensible normative correspondence between the two."
8,T25_ISO_10218-1_5.10.3,25,Shared-workspace state-dependent motion control,"Human presence and workspace/tactile state are used to assign a hazard state and select robot speed, force, or operating behavior near a person.","[CLAIM 1] 1. A work station having a programmable industrial robot (4), wherein said work station (1) of the industrial robot (4) has a manual station near the worker (5), wherein said work station (1) is designed for human collaboration, MRK, wherein the industrial robot (4) and the working space of the worker (5) crossing the working space, and can have physical contact between the said industrial robot (4) and said worker (5). wherein said work station (1) is divided into a plurality of different areas (17, 18, 19, 20), the regions with different degree, from dangerous degree of the industrial robot (4), and wherein the industrial robot (4) is designed to be suitable to the MRK, wherein s",证据主要是工业机器人和协作工作站，不应被表述为人形机器人发生率证据。,ISO 10218-1:2025,5.10.3,Speed and separation monitoring (SSM),2,Y,SAFEGUARD,PARTIAL,MEDIUM,"The mechanism shares SSM's core logic of modulating robot behavior based on human proximity, but ISO 10218-1:2025 clause 5.10.3 SSM normatively requires continuous measurement of the separation distance between robot and human and speed limitation as a function of that measured distance, typically with defined protective separation distances and validated sensing. The patent claim describes zone-based hazard-state assignment and behavioral selection (speed/force) but does not explicitly address continuous distance measurement, the minimum protective separation distance calculation, or the validated sensing requirements that SSM mandates. Tactile/contact state inclusion also suggests the mechanism may extend into power-and-force limiting territory (5.10.5), further diluting the SSM correspondence."
9,T25_ISO_13482_5.10,25,Shared-workspace state-dependent motion control,"Human presence and workspace/tactile state are used to assign a hazard state and select robot speed, force, or operating behavior near a person.","[CLAIM 1] 1. A work station having a programmable industrial robot (4), wherein said work station (1) of the industrial robot (4) has a manual station near the worker (5), wherein said work station (1) is designed for human collaboration, MRK, wherein the industrial robot (4) and the working space of the worker (5) crossing the working space, and can have physical contact between the said industrial robot (4) and said worker (5). wherein said work station (1) is divided into a plurality of different areas (17, 18, 19, 20), the regions with different degree, from dangerous degree of the industrial robot (4), and wherein the industrial robot (4) is designed to be suitable to the MRK, wherein s",证据主要是工业机器人和协作工作站，不应被表述为人形机器人发生率证据。,ISO 13482:2014,5.10,Hazards due to robot motion,2,N,HAZARD,INSUFFICIENT,LOW,"ISO 13482:2014 clause 5.10 normative text is not known to me with sufficient certainty to judge correspondence. The clause title 'Hazards due to robot motion' is suggestive, but the specific normative requirements (e.g., speed/force limits, zone-based safeguarding obligations, detection thresholds) cannot be reliably inferred from the title alone. A direct comparison against the actual clause text is required before a DIRECT or PARTIAL judgment can be rendered."
10,T22_ISO_10218-2_5.12.3,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 10218-2:2025,5.12.3,Material flow,2,Y,NONE,NONE,HIGH,"ISO 10218-2:2025 clause 5.12.3 addresses material flow requirements in robot system integration, which concerns workpiece/part handling, conveyance, and process flow — not contact-force detection or human-robot collaborative safety responses. There is no defensible normative correspondence between the contact-force protective mechanism and a material flow clause."
