pair_id,bertopic_id,mechanism_label,mechanism_summary,representative_evidence,scope_limitation,standard,clause_id,clause_title,clause_level,A,B
T22_ISO_10218-1_5.10.4,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 10218-1:2025,5.10.4,Power and force limiting (PFL),2,PARTIAL,PARTIAL
T22_ISO_10218-1_5.4.3,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 10218-1:2025,5.4.3,Protective stop,2,PARTIAL,PARTIAL
T22_ISO_10218-1_5.1.6,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 10218-1:2025,5.1.6,Temperature and fire risks,2,NONE,INSUFFICIENT
T22_ISO_10218-2_5.14.6,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 10218-2:2025,5.14.6,Power and force limiting (PFL),2,PARTIAL,PARTIAL
T22_ISO_10218-2_6.3.3,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 10218-2:2025,6.3.3,Biomechanical limits,2,INSUFFICIENT,INSUFFICIENT
T22_ISO_10218-2_5.12.3,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 10218-2:2025,5.12.3,Material flow,2,NONE,INSUFFICIENT
T22_ISO_13482_5.13,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 13482:2014,5.13,Hazards due to contact with moving components,2,PARTIAL,INSUFFICIENT
T22_ISO_13482_6.7,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 13482:2014,6.7,Safety-related force control,2,INSUFFICIENT,INSUFFICIENT
T22_ISO_13482_5.2,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 13482:2014,5.2,Hazards related to charging battery,2,NONE,NONE
T25_ISO_10218-1_5.10.3,25,Shared-workspace state-dependent motion control,"Human presence and workspace/tactile state are used to assign a hazard state and select robot speed, force, or operating behavior near a person.","[CLAIM 1] 1. A work station having a programmable industrial robot (4), wherein said work station (1) of the industrial robot (4) has a manual station near the worker (5), wherein said work station (1) is designed for human collaboration, MRK, wherein the industrial robot (4) and the working space of the worker (5) crossing the working space, and can have physical contact between the said industrial robot (4) and said worker (5). wherein said work station (1) is divided into a plurality of different areas (17, 18, 19, 20), the regions with different degree, from dangerous degree of the industrial robot (4), and wherein the industrial robot (4) is designed to be suitable to the MRK, wherein s",证据主要是工业机器人和协作工作站，不应被表述为人形机器人发生率证据。,ISO 10218-1:2025,5.10.3,Speed and separation monitoring (SSM),2,PARTIAL,PARTIAL
