topic_id,topic_label,top_keywords,rep1_patent,rep1_excerpt_220,in_frozen20,P1_safety_judgment,A_safety_judgment,B_safety_judgment,final_safety_judgment
3,3_foot_robot_foot robot_leg,"foot, robot, foot robot, leg, foot end, gait, step, force, control, terrain",CN120295284A,"The invention discloses a foot end trajectory motion control method of a quadruped robot based on local terrain adaptation, and relates to the field of robot motion control; the robot first classifies the current moving ",Y,PARTIAL,INCIDENTAL,INCIDENTAL,
8,8_patient_medical_device_user,"patient, medical, device, user, health, data, heart, heart rate, care, cognitive function",CN106214163A,"The invention provides an artificial psychological counseling device for rehabilitation after a lower limb malformation correction operation, which can help postoperative patients performing mental treatment. The artific",,,PARTIAL,NOT_SAFETY,
15,15_point_point cloud_cloud_map,"point, point cloud, cloud, map, image, target, data, feature, foot, foot robot",CN121541648A,"The present disclosure provides a method, device, equipment and medium for target following of a legged robot. The method includes : performing bounding box representation on a following target to obtain a real-time boun",Y,INCIDENTAL,INCIDENTAL,NOT_SAFETY,
16,16_test_testing_plate_device,"test, testing, plate, device, sliding, rod, guide, end, connected, frame",CN119223608A,The invention relates to the technical field of measurement and testing Especially a humanoid robot joint module performance testing system Comprises a test frame and a top frame fixed on the surface of the test frame It,,,NOT_SAFETY,INCIDENTAL,
23,23_image_vehicle_images_camera,"image, vehicle, images, camera, module, unit, door, detection, device, scene",TWM520036U,"A surveillance system of 3D panoramic images is provided, which is applied to mobile vehicles. The surveillance system includes a plurality of camera modules, a control module and a transmission module. The plurality of ",,,NOT_SAFETY,UNCLEAR,
25,25_industrial robot_industrial_tool_work,"industrial robot, industrial, tool, work, device, robot, workstation, working, workpiece, worker",DE202013104264U1,"A human-robot cooperation (HRC) workstation has a programmable industrial robot (4) and a manual working area (14) for a worker (5) in a region surrounding the industrial robot (4). In the HRC workstation (1), the workin",Y,DIRECT,DIRECT,INCIDENTAL,
27,27_path_navigation_obstacle_point,"path, navigation, obstacle, point, node, humanoid robot, map, humanoid, robot, environment",CN120447563A,"The invention provides a humanoid robot autonomous navigation path planning method, a humanoid robot autonomous navigation path planning device and a humanoid robot autonomous navigation path planning device in a complex",Y,DIRECT,INCIDENTAL,INCIDENTAL,
28,28_tobacco_robotic_operation_shelf,"tobacco, robotic, operation, shelf, production, parameter, material, key process, manufacturing, process",CN118544362A,The invention discloses a human-guided vision-force fusion robotic arm impedance iterative learning control method. By analyzing the robot-environment interaction dynamics equation and solving the visual servo accelerati,Y,INCIDENTAL,NOT_SAFETY,NOT_SAFETY,
29,29_module_intelligent_service_display,"module, intelligent, service, display, robot, control, unit, voice, security, power",CN112578716A,"The invention discloses a humanoid robot control system for shoe and clothing display. The humanoid robot control system comprises a power module, a chassis control module, a network control module, amodel motion control",Y,INCIDENTAL,NOT_SAFETY,NOT_SAFETY,
30,30_inspection_detection_disease_tunnel,"inspection, detection, disease, tunnel, radar, foot robot, cable, cable tunnel, robot, module",CN120856960A,"The invention relates to the field of industrial inspection, and in particular to a legged robot intelligent inspection method and system combined with a drone. A leg-foot robot intelligent inspection system combined wit",,,INCIDENTAL,NOT_SAFETY,
31,31_lamp_light_display_led,"lamp, light, display, led, panel, indicating, evacuation, board, warning, light guide",CN210378298U,"The utility model relates to a fire-fighting emergency indication lamp. The device comprises a front shell, a rear cover and a plug, a human-shaped light guide plate, an emergency exit light guide plate, an entrance forb",,,NOT_SAFETY,DIRECT,
32,32_action_data_sequence_motion,"action, data, sequence, motion, humanoid robot, robot, vector, humanoid, modal, target",CN106078752A,"The invention discloses a Kinect-based human behavior imitation method of a humanoid robot. The method comprises the following step : 1) extracting human skeleton information from an RGB-D image acquired by Kinect, and b",Y,PARTIAL,NOT_SAFETY,NOT_SAFETY,
33,33_path_grid_map_point,"path, grid, map, point, point cloud, cloud, planning, obstacle, data, area",CN120742904A,The invention discloses a quadruped robot obstacle avoidance control method and system based on path planning Relates to the technical field of quadruped robot obstacle avoidance control The method comprises the followin,Y,DIRECT,INCIDENTAL,INCIDENTAL,
34,34_commands_position sensor_position velocity_velocity,"commands, position sensor, position velocity, velocity, omnidirectional mobile, useful data, omnidirectional, useful, measures, actuators",EP2933069A1,"The object of the invention is a humanoid robot (100) with a body (190) joined to an omnidirectional mobile ground base (140), equipped with : - a body position sensor, a base position sensor and an angular velocity sens",,,INCIDENTAL,NOT_SAFETY,
35,35_image_chess_point cloud_cloud,"image, chess, point cloud, cloud, point, obtain, object, step, clothes, map",CN118982678A,The invention discloses a humanoid robot scene intelligent understanding method based on a laser point cloud. The humanoid robot scene intelligent understanding method comprises the following steps of : autonomously navi,,,INCIDENTAL,NOT_SAFETY,
37,37_foot_sole_heel_arch,"foot, sole, heel, arch, toe, connecting, cylinder, elastic, plate, rear",CN118928586A,"The present invention discloses a humanoid mechanical foot for humanoid robot Comprises a foot frame for connecting the lower leg of the humanoid robot and other foot components, a split-type foot arch, an elastic buffer",Y,PARTIAL,INCIDENTAL,INCIDENTAL,
38,38_control_robot_core_nios,"control, robot, core, nios, state, control end, data, task, nios ii, operation",CN102853831B,"The present invention discloses a legged robot state sensing system based on a dual core processing technology, wherein a dual core system structure is adopted, and a SOPC technology is adopted to embed two RISC embedded",,,PARTIAL,NOT_SAFETY,
40,40_wheel_leg_wheel leg_wheel legged,"wheel, leg, wheel leg, wheel legged, legged, legged robot, balance, joint, joint motor, state quantity",CN119322514A,"A balance control method, device, equipment and storage medium for a wheel-legged robot relate to the field of robot technology Wheel-legged robots include : The moving wheel, n connecting rods and n rotating joints. The",Y,DIRECT,PARTIAL,PARTIAL,
41,41_image_detection_human_human shape,"image, detection, human, human shape, shape, humanoid detection, feature, target, video, detected",CN112101139B,"The invention discloses a humanoid detection method, device, equipment and storage medium. The method includes : obtaining an image to be detected; performing feature extraction on the image to be detected to obtain a fe",,,INCIDENTAL,NOT_SAFETY,
45,45_legged robot_legged_desired trajectory_trajectory,"legged robot, legged, desired trajectory, trajectory, expected, expected path, desired, foot type, foot, type robot",CN116985110A,"Embodiments of the present disclosure provide a method and apparatus for controlling a legged robot, a legged robot, an apparatus for controlling a legged robot, and a non-volatile computer-readable storage medium. The l",,,PARTIAL,NOT_SAFETY,
46,46_module_signal_household_internet things,"module, signal, household, internet things, things, alarm, internet, emergency, appliance, household appliance",CN106992909A,The invention discloses a household appliance network configuration control method. An infrared sensor is mounted on a household appliance. The household appliance network configuration control method comprises the follo,,,NOT_SAFETY,PARTIAL,
47,47_fault_health_state_data,"fault, health, state, data, humanoid robot, information, robot, humanoid, current, svm",CN121200084A,A method and device for monitoring the state of humanoid robot are disclosed. The method obtains the multi-modal information data of humanoid robot Determine physical examination result information based on multi-modal i,Y,DIRECT,PARTIAL,PARTIAL,
50,50_image_detection_monitoring_human,"image, detection, monitoring, human, target, human shape, frame, shape, monitoring image, target object",CN120976976A,"This application relates to the technical field of humanoid detection Specifically, it discloses a self-adaptive range humanoid detection method and system The method comprises the following steps of : after the equipmen",,,INCIDENTAL,NOT_SAFETY,
53,53_image_detection_human_target,"image, detection, human, target, information, fall, monitoring, image processing, position information, frame",CN118379800A,"The invention relates to the technical field of human body fall detection, solves the problem in the prior art that human body fall events cannot be accurately detected under shielding conditions, and provides a human bo",,,PARTIAL,DIRECT,
55,55_respective object_respective_self location_object,"respective object, respective, self location, object, moving, detected, parameters respective, time series, unmanned moving, protective",EP3722904A1,"The present disclosure relates to a control device and a control method that can quickly estimate a self-location again even when the self-location is unknown, a program, and a mobile object. In a case of storing informa",,,INCIDENTAL,NOT_SAFETY,
56,56_information pairs_pairs_ml_spatial,"information pairs, pairs, ml, spatial, ml model, multi dimensional, scene, information, time information, dimensional",US20250363792A1,"An artificial intelligence system based on spatial-temporal information pairs is provided by the present disclosure. By integrally deploying paired vision, auditory and olfactory acquisition devices, a device that can co",,,INCIDENTAL,NOT_SAFETY,
