topic_id,final_safety_judgment
0,INCIDENTAL
1,PARTIAL
2,NOT_SAFETY
3,INCIDENTAL
4,NOT_SAFETY
5,INCIDENTAL
6,INCIDENTAL
7,NOT_SAFETY
8,PARTIAL
9,NOT_SAFETY
10,NOT_SAFETY
11,NOT_SAFETY
12,PARTIAL
13,NOT_SAFETY
14,NOT_SAFETY
15,INCIDENTAL
16,NOT_SAFETY
17,NOT_SAFETY
18,NOT_SAFETY
19,NOT_SAFETY
20,NOT_SAFETY
21,NOT_SAFETY
22,DIRECT
23,NOT_SAFETY
24,NOT_SAFETY
25,DIRECT
26,NOT_SAFETY
27,INCIDENTAL
28,NOT_SAFETY
29,NOT_SAFETY
30,INCIDENTAL
31,NOT_SAFETY
32,NOT_SAFETY
33,INCIDENTAL
34,INCIDENTAL
35,INCIDENTAL
36,NOT_SAFETY
37,INCIDENTAL
38,PARTIAL
39,NOT_SAFETY
40,PARTIAL
41,INCIDENTAL
42,NOT_SAFETY
43,INCIDENTAL
44,NOT_SAFETY
45,PARTIAL
46,NOT_SAFETY
47,PARTIAL
48,PARTIAL
49,NOT_SAFETY
50,INCIDENTAL
51,NOT_SAFETY
52,NOT_SAFETY
53,PARTIAL
54,NOT_SAFETY
55,INCIDENTAL
56,INCIDENTAL
57,INCIDENTAL
58,NOT_SAFETY
59,NOT_SAFETY
60,PARTIAL
61,NOT_SAFETY
62,INCIDENTAL
63,NOT_SAFETY
64,NOT_SAFETY
65,NOT_SAFETY
66,NOT_SAFETY
67,NOT_SAFETY
68,NOT_SAFETY
69,INCIDENTAL
70,NOT_SAFETY
71,NOT_SAFETY
72,NOT_SAFETY
73,NOT_SAFETY
74,INCIDENTAL
75,INCIDENTAL
76,DIRECT
